int, int, int, EItemAcquireType, string, string, EQuest, bool, int, int
Id, ScheduleId, SortOrder, AcquireType, Name, Desc, AchieveType, IsSpecial, AchieveValue, NeedCount
0, "", 0, "None", "profile_name_0", "profile_desc_0", "SpawnMythicalUnit", "FALSE", 1005, 0
1, "", 1, "None", "profile_name_1", "profile_desc_1", "Login", "FALSE", -1, 30
2, "", 1, "None", "profile_name_2", "profile_desc_2", "BusGuide", "FALSE", -1, 10
3, "", 1, "None", "profile_name_3", "profile_desc_3", "PayStamina", "FALSE", -1, 1000
4, "", 1, "None", "profile_name_4", "profile_desc_4", "PayGold", "FALSE", -1, 10000000
5, "", 1, "None", "profile_name_5", "profile_desc_5", "PayDiamond", "FALSE", -1, 100000
6, "", 1, "None", "profile_name_6", "profile_desc_6", "TryAds", "FALSE", -1, 1000
7, "", 1, "None", "profile_name_7", "profile_desc_7", "BuyDailyProduct", "FALSE", -1, 1000
8, "", 1, "None", "profile_name_8", "profile_desc_8", "GameClear", "FALSE", -1, 111
9, "", 1, "None", "profile_name_9", "profile_desc_9", "TryRecruit", "FALSE", -1, 1000
10, "", 1, "None", "profile_name_10", "profile_desc_10", "TotalUnitLevel", "FALSE", -1, 300
11, "", 1, "None", "profile_name_11", "profile_desc_11", "TotalRelicLevel", "FALSE", -1, 150
12, "", 1, "None", "profile_name_12", "profile_desc_12", "WithFriend", "FALSE", -1, 100
130040, "", 0, "None", "player_unit_name_3004", "profile_desc_130040", "SpawnMythicalUnit", "FALSE", 3004, 100
130041, "", 0, "None", "profile_name_130041", "profile_desc_130041", "HiddenProfile", "TRUE", -1, 30
130070, "", 0, "None", "player_unit_name_3007", "profile_desc_130070", "SpawnMythicalUnit", "FALSE", 3007, 100
130071, "", 0, "None", "profile_name_130071", "profile_desc_130071", "HiddenProfile", "TRUE", -1, 30
140010, "", 0, "None", "player_unit_name_4001", "profile_desc_140010", "SpawnMythicalUnit", "FALSE", 4001, 100
140011, "", 0, "None", "profile_name_140011", "profile_desc_140011", "HiddenProfile", "TRUE", -1, 30
140020, "", 0, "None", "player_unit_name_4002", "profile_desc_140020", "SpawnMythicalUnit", "FALSE", 4002, 100
140021, "", 0, "None", "profile_name_140021", "profile_desc_140021", "HiddenProfile", "TRUE", -1, 30
140060, "", 0, "None", "player_unit_name_4006", "profile_desc_140060", "SpawnMythicalUnit", "FALSE", 4006, 100
140061, "", 0, "None", "profile_name_140061", "profile_desc_140061", "HiddenProfile", "TRUE", -1, 30
150010, "", 0, "None", "player_unit_name_5001", "profile_desc_150010", "SpawnMythicalUnit", "FALSE", 5001, 100
150011, "", 0, "None", "profile_name_150011", "profile_desc_150011", "HiddenProfile", "TRUE", -1, 30
150020, "", 0, "None", "player_unit_name_5002", "profile_desc_150020", "SpawnMythicalUnit", "FALSE", 5002, 100
150021, "", 0, "None", "profile_name_150021", "profile_desc_150021", "HiddenProfile", "TRUE", -1, 30
150030, "", 0, "None", "player_unit_name_5003", "profile_desc_150030", "SpawnMythicalUnit", "FALSE", 5003, 100
150031, "", 0, "None", "profile_name_150031", "profile_desc_150031", "HiddenProfile", "TRUE", -1, 30
150040, "", 0, "None", "player_unit_name_5004", "profile_desc_150040", "SpawnMythicalUnit", "FALSE", 5004, 100
150041, "", 0, "None", "profile_name_150041", "profile_desc_150041", "HiddenProfile", "TRUE", -1, 30
150050, "", 0, "None", "player_unit_name_5005", "profile_desc_150050", "SpawnMythicalUnit", "FALSE", 5005, 100
150051, "", 0, "None", "profile_name_150051", "profile_desc_150051", "HiddenProfile", "TRUE", -1, 30
150060, "", 0, "None", "player_unit_name_5006", "profile_desc_150060", "SpawnMythicalUnit", "FALSE", 5006, 100
150061, "", 0, "None", "profile_name_150061", "profile_desc_150061", "HiddenProfile", "TRUE", -1, 30
150070, "", 0, "None", "player_unit_name_5007", "profile_desc_150070", "SpawnMythicalUnit", "FALSE", 5007, 100
150071, "", 0, "None", "profile_name_150071", "profile_desc_150071", "HiddenProfile", "TRUE", -1, 30
150080, "", 0, "None", "player_unit_name_5008", "profile_desc_150080", "SpawnMythicalUnit", "FALSE", 5008, 100
150090, "", 0, "None", "player_unit_name_5009", "profile_desc_150090", "SpawnMythicalUnit", "FALSE", 5009, 100
150091, "", 0, "None", "profile_name_150091", "profile_desc_150091", "HiddenProfile", "TRUE", -1, 30
150100, "", 0, "None", "player_unit_name_5010", "profile_desc_150100", "SpawnMythicalUnit", "FALSE", 5010, 100
150101, "", 0, "None", "profile_name_150101", "profile_desc_150101", "HiddenProfile", "TRUE", -1, 30
150110, "", 0, "None", "player_unit_name_5011", "profile_desc_150110", "SpawnMythicalUnit", "FALSE", 5011, 100
150111, "", 0, "None", "profile_name_150111", "profile_desc_150111", "HiddenProfile", "TRUE", -1, 30
150120, "", 0, "None", "player_unit_name_5012", "profile_desc_150120", "SpawnMythicalUnit", "FALSE", 5012, 100
