int, int, bool, bool, int, EFrameGradeType, string, string
Id, ScheduleId, HideUnacquired, IsLimited, Order, Grade, Name, Description
0, "", "FALSE", "FALSE", 0, "Common", "frame_name_0", "frame_description_0"
1000, 1, "FALSE", "FALSE", 10, "Special", "frame_name_1000", "frame_description_1000"
1001, 2, "FALSE", "FALSE", 11, "Special", "frame_name_1001", "frame_description_1001"
1002, 3, "FALSE", "FALSE", 12, "Special", "frame_name_1002", "frame_description_1002"
1003, 4, "FALSE", "FALSE", 13, "Special", "frame_name_1003", "frame_description_1003"
1004, 5, "FALSE", "FALSE", 14, "Special", "frame_name_1004", "frame_description_1004"
1005, 6, "FALSE", "FALSE", 15, "Special", "frame_name_1005", "frame_description_1005"
1006, 7, "FALSE", "FALSE", 16, "Special", "frame_name_1006", "frame_description_1006"
1007, 8, "FALSE", "FALSE", 17, "Special", "frame_name_1007", "frame_description_1007"
1008, 9, "FALSE", "FALSE", 18, "Special", "frame_name_1008", "frame_description_1008"
1009, 10, "FALSE", "FALSE", 19, "Special", "frame_name_1009", "frame_description_1009"
1010, 11, "FALSE", "FALSE", 20, "Special", "frame_name_1010", "frame_description_1010"
1011, 12, "FALSE", "FALSE", 21, "Special", "frame_name_1011", "frame_description_1011"
1012, 13, "FALSE", "FALSE", 22, "Special", "frame_name_1012", "frame_description_1012"
1013, 14, "FALSE", "FALSE", 23, "Special", "frame_name_1013", "frame_description_1013"
1014, 15, "FALSE", "FALSE", 24, "Special", "frame_name_1014", "frame_description_1014"
1015, 16, "FALSE", "FALSE", 25, "Special", "frame_name_1015", "frame_description_1015"
1016, 17, "FALSE", "FALSE", 26, "Special", "frame_name_1016", "frame_description_1016"
1017, 18, "FALSE", "FALSE", 27, "Special", "frame_name_1017", "frame_description_1017"
1018, 19, "FALSE", "FALSE", 28, "Special", "frame_name_1018", "frame_description_1018"
1019, 20, "FALSE", "FALSE", 29, "Special", "frame_name_1019", "frame_description_1019"
1020, 21, "FALSE", "FALSE", 30, "Special", "frame_name_1020", "frame_description_1020"
1021, 22, "FALSE", "FALSE", 31, "Special", "frame_name_1021", "frame_description_1021"
1022, 23, "FALSE", "FALSE", 32, "Special", "frame_name_1022", "frame_description_1022"
1023, 24, "FALSE", "FALSE", 33, "Special", "frame_name_1023", "frame_description_1023"
1024, 25, "FALSE", "FALSE", 34, "Special", "frame_name_1024", "frame_description_1024"
1025, 26, "FALSE", "FALSE", 35, "Special", "frame_name_1025", "frame_description_1025"
1026, 27, "FALSE", "FALSE", 36, "Special", "frame_name_1026", "frame_description_1026"
1027, 28, "FALSE", "FALSE", 37, "Special", "frame_name_1027", "frame_description_1027"
1028, 29, "FALSE", "FALSE", 38, "Special", "frame_name_1028", "frame_description_1028"
1029, 30, "FALSE", "FALSE", 39, "Special", "frame_name_1029", "frame_description_1029"
90001, 90001, "FALSE", "FALSE", 99, "Special", "frame_name_90001", "frame_description_90001"
960001, "", "TRUE", "TRUE", 1, "Special", "frame_name_tier6_1", "frame_description_960001"
960002, "", "TRUE", "TRUE", 1, "Special", "frame_name_tier6_2", "frame_description_960002"
960003, "", "TRUE", "TRUE", 1, "Special", "frame_name_tier6_3", "frame_description_960003"
960004, "", "TRUE", "TRUE", 1, "Special", "frame_name_tier6_4", "frame_description_960004"
960005, "", "TRUE", "TRUE", 1, "Special", "frame_name_tier6_5", "frame_description_960005"
960006, "", "TRUE", "TRUE", 1, "Special", "frame_name_tier6_6", "frame_description_960006"
