int, int, int, EQuest, string, int, int, bool, TableReward
Id, Group, versionIndex, Type, Text, Step, NeedCount, IsOnce, Reward
100001, 1000, "", "Login", "quest_daily_Login", 0, 1, "FALSE", "12, 10,10"
100002, 1000, "", "BuyDailyProduct", "quest_daily_BuyDailyProduct", 0, 3, "FALSE", "12, 20,20"
100003, 1000, "", "TryRecruit", "quest_daily_TryRecruit", 0, 5, "FALSE", "12, 10,10"
100004, 1000, "", "UpgradeUnitRepeat", "quest_daily_UpgradeUnit", 0, 1, "FALSE", "12, 10,10"
100005, 1000, "", "UpgradeRelic", "quest_daily_UpgradeRelic", 0, 1, "FALSE", "12, 10,10"
100006, 1000, "", "SpawnUnit", "quest_daily_SpawnUnit", 0, 100, "FALSE", "12, 10,10"
100007, 1000, "", "KillMonster", "quest_daily_KillMonster", 0, 5000, "FALSE", "12, 10,10"
100008, 1000, "", "KillBossMonster", "quest_daily_KillBossMonster", 0, 20, "FALSE", "12, 10,10"
100009, 1000, "", "TryGiveRelic", "quest_daily_TryGiveRelic", 0, 1, "FALSE", "12, 10,10"
100010, 1000, "", "GamePlay", "quest_daily_GamePlay", 0, 3, "FALSE", "12, 10,10"
100011, 1000, "", "TryAds", "quest_daily_TryAds", 0, 3, "FALSE", "12, 10,10"
100012, 1000, "", "TryPurchase", "quest_daily_TryPurchase", 0, 1, "FALSE", "12, 20, 20"
110001, 1100, "", "GuideUpgrade", "quest_guide_1", 0, 5, "TRUE", "103, 100, 100"
110002, 1100, "", "GuideSell", "quest_guide_2", 0, 5, "TRUE", "102, 300, 300"
110003, 1100, "", "GuideGamble", "quest_guide_3", 0, 5, "TRUE", "101, 5000, 5000"
110004, 1100, "", "GuideClearMission", "quest_guide_4", 0, 1, "TRUE", "201, 1, 1"
110005, 1100, "", "GuideKillChallenge", "quest_guide_5", 0, 3, "TRUE", "104, 10, 10"
110006, 1100, "", "GuideSpawnMyth", "quest_guide_6", 0, 3, "TRUE", "103, 100, 100"
110007, 1100, "", "GuideBestPosition", "quest_guide_7", 0, 1, "TRUE", "600, 1, 1"
120001, 1200, "", "Login", "quest_daily_Login", 0, 1, "FALSE", "103, 300, 300"
120002, 1200, "", "CompleteDailyQuest", "quest_CompleteDailyQuest", 0, 2, "FALSE", "600, 1, 1"
120003, 1200, "", "GamePlay", "quest_daily_GamePlay", 0, 5, "FALSE", "101, 10000, 10000"
120004, 1200, "", "MythUnitLevel10", "quest_MythUnitLevel10", 0, 2, "FALSE", "201, 3, 3"
120005, 1200, "", "PlayGuild", "quest_PlayGuild", 0, 2, "FALSE", "107, 10, 10"
120006, 1200, "", "TryGiveHallow", "quest_TryGiveHallow", 0, 3, "FALSE", "102, 3000, 3000"
120007, 1200, "", "PlayChallenge", "quest_PlayChallenge", 0, 5, "FALSE", "201, 5, 5"
10010101, 1001, "", "Login", "quest_daily_Login", 0, 1, "FALSE", "13, 10, 10"
10010102, 1001, "", "Login", "quest_daily_Login", 1, 2, "FALSE", "13, 15, 15"
10010103, 1001, "", "Login", "quest_daily_Login", 2, 3, "FALSE", "13, 20, 20"
10010104, 1001, "", "Login", "quest_daily_Login", 3, 4, "FALSE", "13, 25, 25"
10010105, 1001, "", "Login", "quest_daily_Login", 4, 5, "FALSE", "13, 30, 30"
10010106, 1001, "", "Login", "quest_daily_Login", 5, 6, "FALSE", "13, 35, 35"
10010107, 1001, "", "Login", "quest_daily_Login", 6, 7, "FALSE", "13, 40,40"
10010201, 1001, "", "PayStamina", "profile_desc_3", 0, 30, "FALSE", "13, 10, 10"
10010202, 1001, "", "PayStamina", "profile_desc_3", 1, 60, "FALSE", "13, 15, 15"
10010203, 1001, "", "PayStamina", "profile_desc_3", 2, 90, "FALSE", "13, 20, 20"
10010204, 1001, "", "PayStamina", "profile_desc_3", 3, 120, "FALSE", "13, 25, 25"
10010205, 1001, "", "PayStamina", "profile_desc_3", 4, 150, "FALSE", "13, 30, 30"
10010206, 1001, "", "PayStamina", "profile_desc_3", 5, 180, "FALSE", "13, 35, 35"
10010207, 1001, "", "PayStamina", "profile_desc_3", 6, 210, "FALSE", "13, 40, 40"
10010301, 1001, "", "KillEventMonster", "quest_KillEventMonster", 0, 10, "FALSE", "13, 10, 10"
10010302, 1001, "", "KillEventMonster", "quest_KillEventMonster", 1, 20, "FALSE", "13, 15, 15"
10010303, 1001, "", "KillEventMonster", "quest_KillEventMonster", 2, 30, "FALSE", "13, 20, 20"
10010304, 1001, "", "KillEventMonster", "quest_KillEventMonster", 3, 40, "FALSE", "13, 25, 25"
10010305, 1001, "", "KillEventMonster", "quest_KillEventMonster", 4, 50, "FALSE", "13, 30, 30"
10010306, 1001, "", "KillEventMonster", "quest_KillEventMonster", 5, 60, "FALSE", "13, 35, 35"
