int, int, int, System.DateTime, System.DateTime, System.DateTime, System.DateTime, bool
Id, SeasonGroupId, SeasonNumber, StartAt, EndAt, SettleStartAt, SettleEndAt, GiveReward
1, 1, 1, "2026-01-06 0:00:00", "2026-02-05 0:00:00", "2026-02-05 0:00:00", "2026-02-05 1:00:00", "FALSE"
2, 1, 2, "2026-02-05 0:00:00", "2026-03-07 0:00:00", "2026-03-07 0:00:00", "2026-03-07 1:00:00", "FALSE"
3, 1, 3, "2026-03-07 0:00:00", "2026-04-06 0:00:00", "2026-04-06 0:00:00", "2026-04-06 1:00:00", "FALSE"
4, 1, 4, "2026-04-06 0:00:00", "2026-05-06 0:00:00", "2026-05-06 0:00:00", "2026-05-06 1:00:00", "FALSE"
5, 1, 5, "2026-05-06 0:00:00", "2026-06-05 0:00:00", "2026-06-05 0:00:00", "2026-06-05 1:00:00", "FALSE"
6, 1, 6, "2026-06-05 0:00:00", "2026-07-05 0:00:00", "2026-07-05 0:00:00", "2026-07-05 1:00:00", "FALSE"
7, 1, 7, "2026-07-05 0:00:00", "2026-08-04 0:00:00", "2026-08-04 0:00:00", "2026-08-04 1:00:00", "FALSE"
8, 1, 8, "2026-08-04 0:00:00", "2026-09-03 0:00:00", "2026-09-03 0:00:00", "2026-09-03 1:00:00", "FALSE"
9, 1, 9, "2026-09-03 0:00:00", "2026-10-03 0:00:00", "2026-10-03 0:00:00", "2026-10-03 1:00:00", "FALSE"
10, 1, 10, "2026-10-03 0:00:00", "2026-11-02 0:00:00", "2026-11-02 0:00:00", "2026-11-02 1:00:00", "FALSE"
11, 1, 11, "2026-11-02 0:00:00", "2026-12-02 0:00:00", "2026-12-02 0:00:00", "2026-12-02 1:00:00", "FALSE"
12, 1, 12, "2026-12-02 0:00:00", "2027-01-01 0:00:00", "2027-01-01 0:00:00", "2027-01-01 1:00:00", "FALSE"
13, 1, 13, "2027-01-01 0:00:00", "2027-01-31 0:00:00", "2027-01-31 0:00:00", "2027-01-31 1:00:00", "FALSE"
14, 1, 14, "2027-01-31 0:00:00", "2027-03-02 0:00:00", "2027-03-02 0:00:00", "2027-03-02 1:00:00", "FALSE"
15, 1, 15, "2027-03-02 0:00:00", "2027-04-01 0:00:00", "2027-04-01 0:00:00", "2027-04-01 1:00:00", "FALSE"
16, 1, 16, "2027-04-01 0:00:00", "2027-05-01 0:00:00", "2027-05-01 0:00:00", "2027-05-01 1:00:00", "FALSE"
17, 1, 17, "2027-05-01 0:00:00", "2027-05-31 0:00:00", "2027-05-31 0:00:00", "2027-05-31 1:00:00", "FALSE"
18, 1, 18, "2027-05-31 0:00:00", "2027-06-30 0:00:00", "2027-06-30 0:00:00", "2027-06-30 1:00:00", "FALSE"
19, 1, 19, "2027-06-30 0:00:00", "2027-07-30 0:00:00", "2027-07-30 0:00:00", "2027-07-30 1:00:00", "FALSE"
20, 1, 20, "2027-07-30 0:00:00", "2027-08-29 0:00:00", "2027-08-29 0:00:00", "2027-08-29 1:00:00", "FALSE"
21, 1, 21, "2027-08-29 0:00:00", "2027-09-28 0:00:00", "2027-09-28 0:00:00", "2027-09-28 1:00:00", "FALSE"
22, 1, 22, "2027-09-28 0:00:00", "2027-10-28 0:00:00", "2027-10-28 0:00:00", "2027-10-28 1:00:00", "FALSE"
23, 1, 23, "2027-10-28 0:00:00", "2027-11-27 0:00:00", "2027-11-27 0:00:00", "2027-11-27 1:00:00", "FALSE"
24, 1, 24, "2027-11-27 0:00:00", "2027-12-27 0:00:00", "2027-12-27 0:00:00", "2027-12-27 1:00:00", "FALSE"
25, 1, 25, "2027-12-27 0:00:00", "2028-01-26 0:00:00", "2028-01-26 0:00:00", "2028-01-26 1:00:00", "FALSE"
26, 1, 26, "2028-01-26 0:00:00", "2028-02-25 0:00:00", "2028-02-25 0:00:00", "2028-02-25 1:00:00", "FALSE"
27, 1, 27, "2028-02-25 0:00:00", "2028-03-26 0:00:00", "2028-03-26 0:00:00", "2028-03-26 1:00:00", "FALSE"
28, 1, 28, "2028-03-26 0:00:00", "2028-04-25 0:00:00", "2028-04-25 0:00:00", "2028-04-25 1:00:00", "FALSE"
29, 1, 29, "2028-04-25 0:00:00", "2028-05-25 0:00:00", "2028-05-25 0:00:00", "2028-05-25 1:00:00", "FALSE"
30, 1, 30, "2028-05-25 0:00:00", "2028-06-24 0:00:00", "2028-06-24 0:00:00", "2028-06-24 1:00:00", "FALSE"
31, 1, 31, "2028-06-24 0:00:00", "2028-07-24 0:00:00", "2028-07-24 0:00:00", "2028-07-24 1:00:00", "FALSE"
32, 1, 32, "2028-07-24 0:00:00", "2028-08-23 0:00:00", "2028-08-23 0:00:00", "2028-08-23 1:00:00", "FALSE"
