int, ERunType, int, int, int
Id, AiType, AiPlayerGroup, AiAction, ActionTime
1, "Run_1", 1, 2, 300
2, "Run_1", 1, 2, 600
3, "Run_1", 1, 2, 1800
4, "Run_1", 1, 2, 3000
5, "Run_1", 1, 2, 3600
6, "Run_1", 1, 2, 11100
7, "Run_1", 1, 2, 12000
8, "Run_1", 1, 2, 13200
9, "Run_1", 1, 2, 15000
10, "Run_1", 1, 2, 15600
11, "Run_1", 1, 2, 16200
12, "Run_1", 1, 2, 36000
13, "Run_1", 1, 2, 38400
14, "Run_1", 1, 2, 42000
15, "Run_1", 1, 2, 42600
16, "Run_1", 1, 2, 43200
17, "Run_1", 1, 2, 44400
18, "Run_1", 1, 2, 72000
19, "Run_1", 1, 2, 73200
20, "Run_1", 1, 2, 74400
21, "Run_1", 1, 2, 96000
22, "Run_1", 1, 2, 98400
23, "Run_1", 1, 2, 102000
24, "Run_1", 1, 2, 103200
25, "Run_1", 1, 2, 135000
26, "Run_1", 1, 2, 136200
27, "Run_1", 1, 2, 138000
28, "Run_1", 1, 2, 140400
29, "Run_1", 1, 2, 210000
30, "Run_1", 1, 2, 213000
31, "Run_1", 1, 2, 216000
32, "Run_1", 1, 2, 240000
33, "Run_1", 1, 2, 241200
34, "Run_1", 1, 2, 242400
35, "Run_1", 1, 2, 252000
36, "Run_1", 2, 1, 720
37, "Run_1", 2, 1, 780
38, "Run_1", 2, 1, 840
39, "Run_1", 2, 1, 900
40, "Run_1", 2, 1, 960
41, "Run_1", 2, 2, 3600
42, "Run_1", 2, 2, 4800
43, "Run_1", 2, 2, 6000
44, "Run_1", 2, 2, 7800
45, "Run_1", 2, 2, 27600
46, "Run_1", 2, 2, 28800
47, "Run_1", 2, 2, 30000
48, "Run_1", 2, 2, 48600
49, "Run_1", 2, 2, 49800
50, "Run_1", 2, 2, 96600
51, "Run_1", 2, 2, 97680
52, "Run_1", 2, 2, 97800
53, "Run_1", 2, 2, 120600
54, "Run_1", 2, 2, 121500
55, "Run_1", 2, 2, 121920
56, "Run_1", 2, 2, 122400
57, "Run_1", 2, 2, 137400
58, "Run_1", 2, 2, 144600
59, "Run_1", 2, 2, 145800
60, "Run_1", 2, 2, 147000
61, "Run_1", 2, 2, 169200
62, "Run_1", 2, 2, 175800
