int, bool, bool, string
Id, IsResettable, IsMailReward, Placement
1, "FALSE", "FALSE", "normal_shop"
2, "TRUE", "FALSE", "normal_shop"
3, "FALSE", "FALSE", "normal_shop"
4, "FALSE", "FALSE", "normal_shop"
5, "TRUE", "FALSE", "normal_shop"
6, "FALSE", "FALSE", "normal_shop"
7, "FALSE", "FALSE", "vip_shop"
9, "FALSE", "FALSE", "normal_shop"
100, "FALSE", "FALSE"
200, "FALSE", "FALSE", "trigger_shop"
300, "FALSE", "FALSE"
301, "FALSE", "FALSE"
302, "FALSE", "FALSE"
400, "FALSE", "FALSE", "skin_shop"
500, "FALSE", "FALSE"
501, "TRUE", "FALSE"
600, "FALSE", "FALSE"
700, "FALSE", "FALSE"
701, "FALSE", "FALSE"
910, "FALSE", "FALSE"
911, "FALSE", "FALSE", "unit_mileage_shop"
912, "FALSE", "FALSE", "combat_mileage_shop"
913, "FALSE", "FALSE", "eventmode_mileage_shop"
915, "FALSE", "FALSE"
916, "TRUE", "FALSE"
917, "TRUE", "FALSE", "new_year_v2_shop"
918, "FALSE", "FALSE", "new_year_v2_shop"
10000, "FALSE", "TRUE"
10010, "TRUE", "FALSE", "moon_shop"
10011, "FALSE", "FALSE", "moon_shop"
10020, "TRUE", "FALSE", "xmas_shop"
10021, "FALSE", "FALSE", "xmas_shop"
10030, "TRUE", "FALSE", "new_year_shop"
10031, "FALSE", "FALSE", "new_year_shop"
10040, "TRUE", "FALSE", "lucky_carnival_shop"
10041, "FALSE", "FALSE", "lucky_carnival_shop"
10050, "TRUE", "FALSE", "pet_picnic_shop"
10051, "FALSE", "FALSE", "pet_picnic_shop"
10060, "TRUE", "FALSE", "first_anniversary_shop"
10061, "FALSE", "FALSE", "first_anniversary_shop"
10070, "TRUE", "FALSE", "summer_shop"
10071, "FALSE", "FALSE", "summer_shop"
10080, "TRUE", "FALSE", "petstival_shop"
10081, "FALSE", "FALSE", "petstival_shop"
10090, "TRUE", "FALSE", "unnori_shop"
10091, "FALSE", "FALSE", "unnori_shop"
10092, "FALSE", "FALSE", "unnori_shop"
10100, "TRUE", "FALSE", "halloween_shop"
10101, "FALSE", "FALSE", "halloween_shop"
10110, "TRUE", "FALSE", "xmas_v2_shop"
10111, "FALSE", "FALSE", "xmas_v2_shop"
10112, "FALSE", "FALSE", "xmas_v2_shop"
10113, "FALSE", "FALSE", "xmas_v2_shop"
10120, "TRUE", "FALSE", "newbie_shop"
10121, "FALSE", "FALSE", "newbie_shop"
10140, "TRUE", "FALSE", "event_rune_shop"
10141, "FALSE", "FALSE", "event_rune_shop"
