int, int, int, int, string, string, EShopProductPayType, int, bool, float, float, int, float, string, int, int, int, float, TableReward, TableReward, TableReward, TableReward, bool, bool, bool, string, bool
Id, SlotIndex, ScheduleId, ShopId, GroupName, Name, PayType, CostId, ShowSale, Sale, Efficient, CostPrice, USD, StoreProductId, Count, BuyLimit, Cooltime, Weight, Reward_1, Reward_2, Reward_3, Reward_4, IsFirstDouble, CanTrigger, CanMultiBuy, IconResourceName, CannotRefund
1101, 1, "", 1, "", "shop_package_1101", "IAP", "", "FALSE", 50, 2, "", "7.99", "product_package_bamba", 1, 1, "", "", "2000, 5001, 1, 1", "", "", "", "FALSE", "FALSE", "FALSE", "", "TRUE"
1102, 2, "", 1, "", "shop_package_1102", "IAP", "", "FALSE", 50, 2, "", "7.99", "product_package_coldy", 1, 1, "", "", "2000, 5002, 1, 1", "", "", "", "FALSE", "FALSE", "FALSE", "", "TRUE"
1001, 1, "", 1, "뉴비 패키지", "shop_package_1001", "IAP", "", "FALSE", 90, 10, "", "4.99", "product_package_stater_1", 1, 1, "", "", "201, 12, 12", "102, 1000, 1000", "101, 30000, 30000", "", "FALSE", "FALSE", "FALSE", "", "FALSE"
1002, 2, "", 1, "뉴비 패키지", "shop_package_1002", "IAP", "", "FALSE", 89, 9, "", "7.99", "product_package_stater_2", 1, 1, "", "", "201, 16, 16", "103, 1000, 1000", "102, 1000, 1000", "101, 30000, 30000", "FALSE", "FALSE", "FALSE", "", "FALSE"
1003, 3, "", 1, "뉴비 패키지", "shop_package_1003", "IAP", "", "FALSE", 88, 8, "", "12.99", "product_package_stater_3", 1, 1, "", "", "104, 160, 160", "201, 15, 15", "103, 1000, 1000", "101, 50000, 50000", "FALSE", "FALSE", "FALSE", "", "FALSE"
1004, 1, "", 1, "뉴비 패키지", "product_name_1004", "IAP", "", "FALSE", 90, 10, "", "0.99", "product_package_new_stater_1", 1, 1, "", "", "201, 5, 5", "102, 300, 300", "101, 3000, 3000", "", "FALSE", "FALSE", "FALSE", "", "FALSE"
1005, 2, "", 1, "뉴비 패키지", "product_name_1005", "IAP", "", "FALSE", 89, 9, "", "2.99", "product_package_new_stater_2", 1, 1, "", "", "201, 8, 8", "103, 100, 100", "102, 500, 500", "101, 5000, 5000", "FALSE", "FALSE", "FALSE", "", "FALSE"
1006, 3, "", 1, "뉴비 패키지", "product_name_1006", "IAP", "", "FALSE", 88, 8, "", "4.99", "product_package_new_stater_3", 1, 1, "", "", "201, 10, 10", "103, 300, 300", "102, 1000, 1000", "101, 5000, 5000", "FALSE", "FALSE", "FALSE", "", "FALSE"
1007, 1, "", 1, "신화 소환 패키지", "shop_package_1103", "IAP", "", "FALSE", 50, 2, "", "7.99", "product_package_random_mythic", 1, 1, "", "", "600, 1, 1", "", "", "", "FALSE", "FALSE", "FALSE", "", "TRUE"
1008, 5, "", 200, "신화 강화 패키지", "product_name_1008", "IAP", "", "TRUE", "16.668", 4, "", "3.99", "product_sale_trigger_upgrade_2", 1, 1, "", "", "104, 100, 100", "101, 10000, 10000", "", "", "FALSE", "TRUE", "FALSE", "", "FALSE"
1009, 4, "", 1, "유물 열쇠 패키지", "product_name_1009", "IAP", "", "FALSE", 83, 6, "", "4.99", "product_package_relic_key", 1, 1, "", "", "201, 10, 10", "", "", "", "FALSE", "FALSE", "FALSE", "", "FALSE"
10001, 1, "", 200, "돌파 패키지", "trigger_package_10001", "IAP", "", "FALSE", 83, 6, "", "12.99", "product_trigger_wave_1", 1, 1, "", "", "104, 80, 80", "201, 13, 13", "103, 1000, 1000", "101, 50000, 50000", "FALSE", "TRUE", "FALSE", "", "FALSE"
10002, 2, "", 200, "돌파 패키지", "trigger_package_10002", "IAP", "", "FALSE", 67, 3, "", "7.99", "product_trigger_relic", 1, 1, "", "", "201, 8, 8", "101, 10000, 10000", "", "", "FALSE", "TRUE", "FALSE", "", "FALSE"
10003, 3, "", 200, "돌파 패키지", "trigger_package_10003", "IAP", "", "FALSE", 67, 3, "", "7.99", "product_trigger_scroll", 1, 1, "", "", "103, 2000, 2000", "101, 10000, 10000", "", "", "FALSE", "TRUE", "FALSE", "", "FALSE"
10004, 4, "", 200, "신화 강화 패키지", "trigger_package_10004", "IAP", "", "FALSE", 67, 3, "", "5.99", "product_trigger_upgrade_1", 1, 1, "", "", "104, 60, 60", "101, 10000, 10000", "", "", "FALSE", "TRUE", "FALSE", "", "FALSE"
10005, 5, "", 200, "신화 강화 패키지", "trigger_package_10005", "IAP", "", "FALSE", 75, 4, "", "4.99", "product_trigger_upgrade_2", 1, 1, "", "", "104, 100, 100", "101, 10000, 10000", "", "", "FALSE", "TRUE", "FALSE", "", "FALSE"
10006, 6, "", 200, "신화 강화 패키지", "trigger_package_10006", "IAP", "", "FALSE", 80, 5, "", "12.99", "product_trigger_upgrade_3", 1, 1, "", "", "104, 260, 260", "101, 26000, 26000", "", "", "FALSE", "TRUE", "FALSE", "", "FALSE"
10007, 7, "", 200, "신화 강화 패키지", "trigger_package_10007", "IAP", "", "FALSE", 83, 6, "", "24.99", "product_trigger_upgrade_4", 1, 1, "", "", "104, 520, 520", "101, 52000, 52000", "", "", "FALSE", "TRUE", "FALSE", "", "FALSE"
10008, 8, "", 200, "클리어 기념 패키지", "package_batman1", "IAP", "", "TRUE", 80, 5, "", "14.99", "product_trigger_clear_1", 1, 1, "", "", "2000, 5010, 1, 1", "104, 230, 230", "102, 3000, 3000", "", "FALSE", "TRUE", "FALSE", "", "TRUE"
10009, 9, "", 200, "클리어 기념 패키지", "package_vayne1", "IAP", "", "TRUE", 80, 5, "", "14.99", "product_trigger_clear_2", 1, 1, "", "", "2000, 5011, 1, 1", "104, 230, 230", "102, 3000, 3000", "", "FALSE", "TRUE", "FALSE", "", "TRUE"
10010, 10, "", 200, "돌파 패키지", "product_name_10010", "IAP", "", "FALSE", 83, 6, "", "2.99", "product_trigger_wave_0", 1, 1, "", "", "102, 2000, 2000", "201, 2, 2", "", "", "FALSE", "TRUE", "FALSE", "", "FALSE"
10011, 11, "", 200, "돌파 패키지", "product_name_10011", "IAP", "", "FALSE", 83, 6, "", "14.99", "product_trigger_wave_22", 1, 1, "", "", "104, 100, 100", "201, 15, 15", "103, 1200, 1200", "101, 60000, 60000", "FALSE", "TRUE", "FALSE", "", "FALSE"
10012, 12, "", 200, "돌파 패키지", "product_name_10012", "IAP", "", "FALSE", 83, 6, "", "17.99", "product_trigger_wave_33", 1, 1, "", "", "104, 120, 120", "201, 17, 17", "103, 1400, 1400", "101, 70000, 70000", "FALSE", "TRUE", "FALSE", "", "FALSE"
10013, 13, "", 200, "클리어 기념 패키지", "package_indy1", "IAP", "", "TRUE", 80, 5, "", "14.99", "product_trigger_clear_indi", 1, 1, "", "", "2000, 5012, 1, 1", "104, 230, 230", "102, 3000, 3000", "", "FALSE", "TRUE", "FALSE", "", "TRUE"
10014, 14, "", 200, "클리어 기념 패키지", "package_watt1", "IAP", "", "TRUE", 80, 5, "", "14.99", "product_trigger_clear_bart", 1, 1, "", "", "2000, 5013, 1, 1", "104, 230, 230", "102, 3000, 3000", "", "FALSE", "TRUE", "FALSE", "", "TRUE"
10015, 15, "", 200, "클리어 기념 패키지", "package_tar1", "IAP", "", "TRUE", 80, 5, "", "14.99", "product_trigger_clear_tar", 1, 1, "", "", "2000, 5014, 1, 1", "104, 230, 230", "102, 3000, 3000", "", "FALSE", "TRUE", "FALSE", "", "TRUE"
10016, 16, "", 200, "클리어 기념 패키지", "package_rocketchu1", "IAP", "", "TRUE", 80, 5, "", "14.99", "product_trigger_clear_rocketchu", 1, 1, "", "", "2000, 5015, 1, 1", "104, 230, 230", "102, 3000, 3000", "", "FALSE", "TRUE", "FALSE", "", "TRUE"
10017, 17, "", 200, "클리어 기념 패키지", "package_dongdong_1", "IAP", "", "TRUE", 80, 5, "", "14.99", "product_trigger_clear_uchi", 1, 1, "", "", "2000, 5016, 1, 1", "104, 230, 230", "102, 3000, 3000", "", "FALSE", "TRUE", "FALSE", "", "TRUE"
10018, 18, "", 200, "보물 패키지", "trigger_package_10018", "IAP", "", "FALSE", 80, 5, "", "23.99", "product_trigger_treasure_open", 1, 1, "", "", "107, 70, 70", "101, 100000, 100000", "102, 3000, 3000", "", "FALSE", "TRUE", "FALSE", "", "FALSE"
10019, 19, "", 200, "보물 패키지", "trigger_package_10019", "IAP", "", "FALSE", 67, 3, "", "12.99", "product_trigger_treasure", 1, 1, "", "", "107, 25, 25", "101, 30000, 30000", "102, 1000, 1000", "", "FALSE", "TRUE", "FALSE", "", "FALSE"
10020, 20, "", 200, "클리어 기념 패키지", "package_gigi_1", "IAP", "", "TRUE", 80, 5, "", "14.99", "product_trigger_clear_gigi", 1, 1, "", "", "2000, 5017, 1, 1", "104, 230, 230", "102, 3000, 3000", "", "FALSE", "TRUE", "FALSE", "", "TRUE"
10021, 21, "", 200, "클리어 기념 패키지", "package_masterkun_1", "IAP", "", "TRUE", 80, 5, "", "14.99", "product_trigger_clear_masterkun", 1, 1, "", "", "2000, 5018, 1, 1", "104, 230, 230", "102, 3000, 3000", "", "FALSE", "TRUE", "FALSE", "", "TRUE"
10022, 22, "", 200, "난이도 클리어 패키지", "product_name_10022", "IAP", "", "FALSE", 80, 5, "", "6.99", "product_trigger_clear_normal", 1, 1, "", "", "104, 80, 80", "201, 5, 5", "102, 1000, 1000", "", "FALSE", "TRUE", "FALSE", "", "FALSE"
10023, 23, "", 200, "난이도 클리어 패키지", "product_name_10023", "IAP", "", "FALSE", 80, 5, "", "12.99", "product_trigger_clear_hard", 1, 1, "", "", "104, 120, 120", "201, 12, 12", "102, 2000, 2000", "", "FALSE", "TRUE", "FALSE", "", "FALSE"
10024, 24, "", 200, "난이도 클리어 패키지", "product_name_10024", "IAP", "", "FALSE", 80, 5, "", "17.99", "product_trigger_clear_hell", 1, 1, "", "", "201, 20, 20", "107, 20, 20", "102, 2500, 2500", "", "FALSE", "TRUE", "FALSE", "", "FALSE"
10025, 25, "", 200, "난이도 클리어 패키지", "product_name_10025", "IAP", "", "FALSE", 80, 5, "", "24.99", "product_trigger_clear_god", 1, 1, "", "", "201, 30, 30", "107, 20, 20", "102, 3000, 3000", "", "FALSE", "TRUE", "FALSE", "", "FALSE"
10026, 26, "", 200, "클리어 기념 패키지", "package_chona_1", "IAP", "", "TRUE", 80, 5, "", "14.99", "product_trigger_clear_chona", 1, 1, "", "", "2000, 5019, 1, 1", "104, 230, 230", "102, 3000, 3000", "", "FALSE", "TRUE", "FALSE", "", "TRUE"
10027, 27, "", 200, "클리어 기념 패키지", "package_penguin_1", "IAP", "", "TRUE", 80, 5, "", "14.99", "product_trigger_clear_penguinmusician", 1, 1, "", "", "2000, 5020, 1, 1", "104, 230, 230", "102, 3000, 3000", "", "FALSE", "TRUE", "FALSE", "", "TRUE"
10028, 28, "", 200, "펫 오픈 패키지", "product_name_10028", "IAP", "", "FALSE", 80, 5, "", "17.99", "product_trigger_pet_open", 1, 1, "", "", "113, 200, 200", "115, 500, 500", "102, 3000, 3000", "", "FALSE", "TRUE", "FALSE", "", "FALSE"
10029, 29, "", 200, "불멸 강화 패키지", "package_hyper_1", "IAP", "", "FALSE", 80, 5, "", "17.99", "product_trigger_hyper_open", 1, 1, "", "", "116,200,200", "101, 10000, 10000", "102, 500, 500", "", "FALSE", "TRUE", "FALSE", "", "FALSE"
10030, 30, "", 200, "클리어 기념 패키지", "package_hailey_1", "IAP", "", "TRUE", 80, 5, "", "14.99", "product_trigger_clear_hailey", 1, 1, "", "", "2000, 5021, 1, 1", "104, 230, 230", "102, 3000, 3000", "", "FALSE", "TRUE", "FALSE", "", "TRUE"
10031, 31, "", 200, "신화 강화 패키지", "trigger_package_10031", "IAP", "", "FALSE", 88, 8, "", "35.99", "product_trigger_upgrade_5", 1, 1, "", "", "104, 1100, 1100", "101, 220000, 220000", "", "", "FALSE", "TRUE", "FALSE", "", "FALSE"
10032, 32, "", 200, "불멸 강화 패키지", "package_hyper_package_1", "IAP", "", "FALSE", 80, 5, "", "12.99", "product_trigger_hyper_upgrade_1", 1, 1, "", "", "116, 130, 130", "101, 26000, 26000", "102, 3000, 3000", "", "FALSE", "TRUE", "FALSE", "", "FALSE"
