int, string, float[], bool, bool, bool, int, EShopTriggerType, float[], EShopTriggerType, float[], float, float, bool, bool, bool, bool, string, bool, bool, bool, string
Id, Name, NameParam, IsHide, IsSpecial, IsGuild, ScheduleId, TriggerType_1, Parameters_1, TriggerType_2, Parameters_2, Duration, Cooltime, IsOneTimeBuy, IsRepeatTrigger, IsExpendBuyLimit, IsSingle, SinglePopupName, IsPopup, IsCondition, IsGuildRequired, ResourcePath
10001, "", "", "FALSE", "FALSE", "FALSE", "", "BestWaveFailed", 7, "", "", 259200, 82800, "FALSE", "TRUE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView4"
10002, "", "", "FALSE", "FALSE", "FALSE", "", "UserLevel", 5, "", "", 259200, 0, "FALSE", "TRUE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView11"
10003, "", "", "FALSE", "FALSE", "FALSE", "", "UserLevel", 5, "ForceTrigger", 1, 259200, 86400, "FALSE", "TRUE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView12"
10004, "", "", "FALSE", "FALSE", "FALSE", "", "NewMyth", "", "", "", 259200, 0, "FALSE", "TRUE", "TRUE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView13"
10005, "", "", "FALSE", "FALSE", "FALSE", "", "MythUpgrade", 5, "", "", 259200, 0, "FALSE", "TRUE", "TRUE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView7"
10006, "", "", "FALSE", "FALSE", "FALSE", "", "MythUpgrade", 8, "", "", 259200, 0, "FALSE", "TRUE", "TRUE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView8"
10007, "", "", "FALSE", "FALSE", "FALSE", "", "MythUpgrade", 11, "", "", 259200, 0, "FALSE", "TRUE", "TRUE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView9"
10008, "", "", "TRUE", "FALSE", "FALSE", "", "ModeFirstOpen", 2, "", "", 86400, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView16"
10009, "", "", "TRUE", "FALSE", "FALSE", "", "ModeFirstOpen", 2, "", "", 86400, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView15"
10010, "", "", "FALSE", "FALSE", "FALSE", "", "BestWaveFailed", 7, "", "", 259200, 82800, "FALSE", "TRUE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView4"
10011, "", "", "FALSE", "FALSE", "FALSE", "", "BestWaveFailed", 7, "", "", 259200, 82800, "FALSE", "TRUE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView4"
10012, "", "", "FALSE", "FALSE", "FALSE", "", "BestWaveFailed", 7, "", "", 259200, 82800, "FALSE", "TRUE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView4"
10013, "", "", "TRUE", "FALSE", "FALSE", "", "ModeFirstOpen", 2, "", "", 86400, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView18"
10014, "", "", "TRUE", "FALSE", "FALSE", "", "ModeFirstOpen", 2, "", "", 86400, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView19"
10015, "", "", "TRUE", "FALSE", "FALSE", "", "ModeFirstOpen", 2, "", "", 86400, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView21"
10016, "", "", "TRUE", "FALSE", "FALSE", "", "ModeFirstOpen", 2, "", "", 86400, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView22"
10017, "", "", "TRUE", "FALSE", "FALSE", "", "ModeFirstOpen", 2, "", "", 86400, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView23"
10018, "", "", "FALSE", "FALSE", "FALSE", "", "HallowGachaFree", "", "", "", 259200, 0, "FALSE", "TRUE", "TRUE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView24"
10019, "", "", "FALSE", "FALSE", "FALSE", "", "HallowGachaFailed", "10 | 2", "", "", 259200, 82800, "FALSE", "TRUE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView25"
10020, "", "", "TRUE", "FALSE", "FALSE", "", "ModeFirstOpen", 2, "", "", 604800, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView27"
10021, "", "", "TRUE", "FALSE", "FALSE", "", "ModeFirstOpen", 2, "", "", 86400, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView33"
10022, "", "", "TRUE", "FALSE", "FALSE", "", "ClearWave", "1 | 80", "", "", 86400, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView36"
10023, "", "", "TRUE", "FALSE", "FALSE", "", "ClearWave", "2 | 80", "", "", 86400, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView37"
10024, "", "", "TRUE", "FALSE", "FALSE", "", "ClearWave", "3 | 80", "", "", 86400, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView38"
10025, "", "", "TRUE", "FALSE", "FALSE", "", "ClearWave", "4 | 80", "", "", 86400, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView39"
10026, "", "", "TRUE", "FALSE", "FALSE", "", "ModeFirstOpen", 2, "", "", 86400, 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "FALSE", "FALSE", "FALSE", "TriggerPackage/ShopPackageProductView40"
