int, int, int, int[], int[], float[]
Id, Height, TreeCount, TreeLevel, TreeTypes, Weights
1, 2, 1400, 1, "1 | 2", "2 | 8"
2, 2, 1300, "1 | 2", "1 | 2 | 3 | 4", "1 | 2 | 3.5 | 3.5"
3, 2, 1200, "1 | 2 | 3", "1 | 2 | 3 | 4 | 5 | 6", "0.66 | 1.33 | 1 | 1 | 3 | 3"
4, 2, 1100, "2 | 3 | 4", "3 | 4 | 5 | 6 | 7 | 8", "1 | 1 | 1 | 1 | 3 | 3"
5, 2, 1050, "3 | 4 | 5", "5 | 6 | 7 | 8 | 10", "1 | 1 | 1 | 1 | 6"
6, 2, 1000, "4 | 5 | 6", "7 | 8 | 10 | 12", "1 | 1 | 2 | 6"
7, 2, 950, "5 | 6 | 7", "10 | 12 | 14", "2 | 2 | 6"
8, 2, 900, "6 | 7 | 8", "12 | 14 | 16", "2 | 2 | 6"
9, 2, 850, "7 | 8 | 9", "14 | 16 | 18", "2 | 2 | 6"
10, 2, 800, "8 | 9 | 10", "16 | 18 | 22", "2 | 2 | 6"
