int, int, bool, string, int, int, TableReward, TableReward
Id, Type, IsSpecial, ResourceName, FarmLevel, Hp, Reward, Reward_2
101, 1, "FALSE", "SingleModeTree_1_1", 1, 3, "210, 2, 2"
201, 2, "FALSE", "SingleModeTree_1_2", 1, 3, "210, 2, 2"
301, 3, "FALSE", "SingleModeTree_2_1", 2, 6, "210, 4, 4"
401, 4, "FALSE", "SingleModeTree_2_2", 2, 6, "210, 4, 4"
501, 5, "FALSE", "SingleModeTree_3_1", 3, 12, "210, 8, 8"
601, 6, "FALSE", "SingleModeTree_3_2", 3, 12, "210, 8, 8"
701, 7, "FALSE", "SingleModeTree_4_1", 4, 15, "210, 12, 12"
801, 8, "FALSE", "SingleModeTree_4_2", 4, 15, "210, 12, 12"
901, 9, "TRUE", "SingleModeTree_5_1", 5, 50, "210, 100, 100", "102, 500, 500"
902, 9, "TRUE", "SingleModeTree_5_1", 5, 50, "210, 100, 100", "103, 300, 300"
903, 9, "TRUE", "SingleModeTree_5_1", 5, 50, "210, 100, 100", "201, 1, 1"
904, 9, "TRUE", "SingleModeTree_5_1", 5, 50, "210, 100, 100", "104, 10, 10"
905, 9, "TRUE", "SingleModeTree_5_1", 5, 50, "210, 100, 100", "101, 3000, 3000"
906, 9, "TRUE", "SingleModeTree_5_1", 5, 50, "210, 100, 100", "104, 10, 10"
1001, 10, "FALSE", "SingleModeTree_5_2", 5, 20, "210, 16, 16"
1101, 11, "TRUE", "SingleModeTree_6_1", 6, 72, "210, 120, 120", "102, 500, 500"
1102, 11, "TRUE", "SingleModeTree_6_1", 6, 72, "210, 120, 120", "101, 3000, 3000"
1103, 11, "TRUE", "SingleModeTree_6_1", 6, 72, "210, 120, 120", "107, 3, 3"
1104, 11, "TRUE", "SingleModeTree_6_1", 6, 72, "210, 120, 120", "102, 500, 500"
1105, 11, "TRUE", "SingleModeTree_6_1", 6, 72, "210, 120, 120", "103, 300, 300"
1201, 12, "FALSE", "SingleModeTree_6_2", 6, 25, "210, 20, 20"
1301, 13, "TRUE", "SingleModeTree_7_1", 7, 98, "210, 150, 150", "104, 10, 10"
1302, 13, "TRUE", "SingleModeTree_7_1", 7, 98, "210, 150, 150", "113, 10, 10"
1303, 13, "TRUE", "SingleModeTree_7_1", 7, 98, "210, 150, 150", "201, 1, 1"
1304, 13, "TRUE", "SingleModeTree_7_1", 7, 98, "210, 150, 150", "102, 500, 500"
1305, 13, "TRUE", "SingleModeTree_7_1", 7, 98, "210, 150, 150", "201, 1, 1"
1306, 13, "TRUE", "SingleModeTree_7_1", 7, 98, "210, 150, 150", "201, 1, 1"
1401, 14, "FALSE", "SingleModeTree_7_2", 7, 30, "210, 30, 30"
1501, 15, "TRUE", "SingleModeTree_8_1", 8, 120, "210, 200, 200", "103, 300, 300"
1502, 15, "TRUE", "SingleModeTree_8_1", 8, 120, "210, 200, 200", "115, 30, 30"
1503, 15, "TRUE", "SingleModeTree_8_1", 8, 120, "210, 200, 200", "107, 3, 3"
1504, 15, "TRUE", "SingleModeTree_8_1", 8, 120, "210, 200, 200", "104, 10, 10"
1601, 16, "FALSE", "SingleModeTree_8_2", 8, 40, "210, 40, 40"
1701, 17, "TRUE", "SingleModeTree_9_1", 9, 144, "210, 300, 300", "113, 10, 10"
1702, 17, "TRUE", "SingleModeTree_9_1", 9, 144, "210, 300, 300", "201, 1, 1"
1703, 17, "TRUE", "SingleModeTree_9_1", 9, 144, "210, 300, 300", "101, 3000, 3000"
1704, 17, "TRUE", "SingleModeTree_9_1", 9, 144, "210, 300, 300", "107, 3, 3"
1705, 17, "TRUE", "SingleModeTree_9_1", 9, 144, "210, 300, 300", "102, 500, 500"
1706, 17, "TRUE", "SingleModeTree_9_1", 9, 144, "210, 300, 300", "113, 10, 10"
1801, 18, "FALSE", "SingleModeTree_9_2", 9, 45, "210, 50, 50"
1901, 19, "TRUE", "SingleModeTree_10_1", 10, 200, "210, 500, 500", "102, 1000, 1000"
2001, 20, "TRUE", "SingleModeTree_10_2", 10, 200, "210, 500, 500", "102, 1000, 1000"
2101, 21, "TRUE", "SingleModeTree_10_3", 10, 200, "210, 500, 500", "102, 3000, 3000"
2201, 22, "FALSE", "SingleModeTree_10_4", 10, 50, "210, 55, 55"
10001, 101, "TRUE", "SingleModeTree_101", 1, 10, "201, 1, 1", ""
10002, 102, "TRUE", "SingleModeTree_102", 1, 10, "104, 10, 10", ""
10003, 103, "TRUE", "SingleModeTree_103", 1, 10, "101, 3000, 3000", ""
10004, 104, "TRUE", "SingleModeTree_104", 1, 10, "201, 1, 1", ""
10005, 105, "TRUE", "SingleModeTree_105", 1, 10, "104, 10, 10", ""
10006, 101, "TRUE", "SingleModeTree_101", 1, 10, "102, 500, 500", ""
10007, 102, "TRUE", "SingleModeTree_102", 1, 20, "103, 100, 100", ""
10008, 103, "TRUE", "SingleModeTree_103", 1, 20, "201, 1, 1", ""
10009, 104, "TRUE", "SingleModeTree_104", 1, 20, "102, 500, 500", ""
10010, 105, "TRUE", "SingleModeTree_105", 1, 20, "104, 10, 10", ""
10011, 101, "TRUE", "SingleModeTree_101", 1, 20, "101, 3000, 3000", ""
10012, 102, "TRUE", "SingleModeTree_102", 1, 20, "201, 1, 1", ""
10013, 103, "TRUE", "SingleModeTree_103", 1, 30, "102, 500, 500", ""
10014, 104, "TRUE", "SingleModeTree_104", 1, 30, "104, 10, 10", ""
10015, 105, "TRUE", "SingleModeTree_105", 1, 30, "103, 100, 100", ""
10016, 101, "TRUE", "SingleModeTree_101", 1, 30, "104, 10, 10", ""
10017, 102, "TRUE", "SingleModeTree_102", 1, 30, "201, 1, 1", ""
10018, 103, "TRUE", "SingleModeTree_103", 1, 40, "201, 1, 1", ""
10019, 104, "TRUE", "SingleModeTree_104", 1, 40, "101, 3000, 3000", ""
10020, 105, "TRUE", "SingleModeTree_105", 1, 40, "104, 10, 10", ""
10021, 101, "TRUE", "SingleModeTree_101", 1, 40, "201, 1, 1", ""
10022, 102, "TRUE", "SingleModeTree_102", 1, 40, "113, 10, 10", ""
10023, 103, "TRUE", "SingleModeTree_103", 1, 50, "115, 30, 30", ""
10024, 104, "TRUE", "SingleModeTree_104", 1, 50, "201, 1, 1", ""
10025, 105, "TRUE", "SingleModeTree_105", 1, 50, "107, 3, 3", ""
10026, 101, "TRUE", "SingleModeTree_101", 1, 50, "101, 3000, 3000", ""
10027, 102, "TRUE", "SingleModeTree_102", 1, 60, "103, 100, 100", ""
10028, 103, "TRUE", "SingleModeTree_103", 1, 60, "113, 10, 10", ""
10029, 104, "TRUE", "SingleModeTree_104", 1, 60, "201, 1, 1", ""
10030, 105, "TRUE", "SingleModeTree_105", 1, 70, "104, 10, 10", ""
10031, 101, "TRUE", "SingleModeTree_101", 1, 70, "103, 100, 100", ""
10032, 102, "TRUE", "SingleModeTree_102", 1, 70, "113, 10, 10", ""
10033, 103, "TRUE", "SingleModeTree_103", 1, 70, "102, 500, 500", ""
10034, 104, "TRUE", "SingleModeTree_104", 1, 80, "201, 1, 1", ""
10035, 105, "TRUE", "SingleModeTree_105", 1, 80, "113, 10, 10", ""
10036, 101, "TRUE", "SingleModeTree_101", 1, 80, "107, 3, 3", ""
10037, 102, "TRUE", "SingleModeTree_102", 1, 90, "102, 500, 500", ""
10038, 103, "TRUE", "SingleModeTree_103", 1, 90, "201, 1, 1", ""
10039, 104, "TRUE", "SingleModeTree_104", 1, 90, "201, 1, 1", ""
10040, 105, "TRUE", "SingleModeTree_105", 1, 100, "102, 500, 500", ""
10041, 101, "TRUE", "SingleModeTree_101", 1, 100, "201, 1, 1", ""
10042, 102, "TRUE", "SingleModeTree_102", 1, 100, "113, 10, 10", ""
