int, int, int, ESingleBonusType, bool, string, string, FP, int, ESingleBonusType, bool, string, string, FP, TableReward[]
Id, Step, NeedExp, SingleBonusType_1, IsOnlySingleMode, Description_1, BonusResouceName_1, Paramter_1, FarmLevel, SingleBonusType_2, IsOnlySingleMode_2, Description_2, BonusResouceName_2, Paramter_2, BonusRewards
1, 1, 100, "AfterAttackDamage", "TRUE", "skill_description_afterattackdamage", "icon_singlemode_grow_1", 1000, 1, "FarmDamage", "TRUE", "", "icon_singlemode_grow_ax_0", 1
2, 2, 110, "None", "TRUE", "skill_description_none", "", "", 1, "None", "FALSE", "", "", "", "[101,3000,3000]"
3, 3, 120, "None", "TRUE", "skill_description_none", "", "", 1, "None", "FALSE", "", "", "", "[201,1,1]"
4, 4, 130, "None", "TRUE", "skill_description_none", "", "", 1, "None", "FALSE", "", "", "", "[104,5,5]"
5, 5, 140, "None", "TRUE", "skill_description_none", "", "", 1, "None", "FALSE", "", "", "", "[102,100,100]"
6, 6, 200, "None", "TRUE", "skill_description_none", "", "", 2, "FarmDamage", "TRUE", "skill_description_farmdamage", "icon_singlemode_grow_ax_1 ", 1, "[103,100,100]"
7, 7, 230, "None", "TRUE", "skill_description_none", "", "", 2, "None", "FALSE", "", "", "", "[201,1,1]"
8, 8, 260, "None", "TRUE", "skill_description_none", "", "", 2, "FarmRange", "TRUE", "skill_description_farmrange", "icon_singlemode_grow_ax_10 ", "0.1", "[104,10,10]"
9, 9, 290, "None", "TRUE", "skill_description_none", "", "", 2, "None", "FALSE", "", "", "", "[103,100,100]"
10, 10, 320, "None", "TRUE", "skill_description_none", "", "", 3, "FarmDamage", "TRUE", "skill_description_farmdamage", "icon_singlemode_grow_ax_2", 1, "[104,5,5]"
11, 11, 360, "None", "TRUE", "skill_description_none", "", "", 3, "None", "FALSE", "", "", "", "[201,1,1] | [102,300,300]"
12, 12, 390, "None", "TRUE", "skill_description_none", "", "", 3, "None", "FALSE", "", "", "", "[103,150,150]"
