int, string, string, ESkillType, bool, bool, bool, bool, EUnitAnimation, bool, string, string, FP, int, FP, EDamageType, ESkillPosition, ETargetType, ERangeType, ESkillParamType, FP, ESkillParamType, FP, ESkillParamType, FP, ESkillParamType, FP, ESkillParamType, FP, ESkillParamType, FP, ESkillParamType, FP, ESkillParamType, FP, ESkillParamType, FP, ESkillTag[], int, string, string, bool
Id, IconName, Name, SkillType, IsUltimate, HideDescription, IsAbilityLock, IsHallowLock, AnimationType, IsSkill, SkillSpecificName, Description, Cooltime, AttackCount, Chance, DamageType, Position, TargetType, RangeType, ParamterType_1, Paramter_1, ParamterType_2, Paramter_2, ParamterType_3, Paramter_3, ParamterType_4, Paramter_4, ParamterType_5, Paramter_5, ParamterType_6, Paramter_6, ParamterType_7, Paramter_7, ParamterType_8, Paramter_8, ParamterType_9, Paramter_9, SkillTag, SkillOrder, EffectName, SoundName, IsSkinVariable
10010, "IconSkill10010", "skill_name_10010", "Attack", "FALSE", "FALSE", "TRUE", "FALSE", "Default", "TRUE", "Skill_1001_1", "skill_description_10010", "", "", "", "Physical", "Source", "Target", "Multi", "Damage", 100, "Chance", 20, "Count", 2, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
10020, "IconSkill10020", "skill_name_10020", "Attack", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_1002_Attack", "skill_description_10020", "", "", "", "Physical", "", "Target", "Multi", "Damage", 80, "Range", "0.5", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
10030, "IconSkill_CriticalUp", "skill_name_10030", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_CriticalUp", "skill_description_10030", "", "", "", "Physical", "", "Me", "Single", "Critical", 30, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
10031, "IconSkill10031", "skill_name_10031", "Attack", "FALSE", "FALSE", "TRUE", "FALSE", "Default", "FALSE", "Skill_1003_Attack", "skill_description_10031", "", "", "", "Physical", "Source", "Target", "Single", "Damage", 100, "Count", 3, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
10040, "IconSkill_GlobalSlow", "skill_name_10040", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_GlobalSlow", "skill_description_10040", "", "", "", "Magical", "", "Target", "Multi", "Slow", 1, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
10050, "IconSkill10050", "skill_name_10050", "Chance", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_1005_1", "skill_description_10050", "", "", 5, "Physical", "Source", "Target", "Single", "Count", 2, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
10051, "IconSkill10051", "skill_name_10051", "Initialize", "FALSE", "FALSE", "TRUE", "FALSE", "Default", "TRUE", "Skill_1005_2", "skill_description_10051", "", "", "", "Physical", "Source", "Target", "Single", "Count", 10, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
20010, "IconSkill20010", "skill_name_20010", "Chance", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_2001_1", "skill_description_20010", "", "", 12, "Magical", "Target", "Target", "Multi", "Damage", 800, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
20020, "IconSkill20020", "skill_name_20020", "Chance", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_2002_1", "skill_description_20020", "", "", 12, "Magical", "Target", "Target", "Multi", "Damage", 300, "Stun", "0.75", "Range", 1, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
