int, FP, int, FP, FP, int
Level, PlusAttackDamagePercentage, Cost, SuccessPercentage, DestroyPercentage, AnimationIndex
-1, 0, 0, 0, 0, 4
0, 0, 30, 99, 0, 0
1, 80, 30, 98, 0, 0
2, 120, 30, 97, 0, 0
3, 160, 30, 96, 0, 0
4, 200, 30, 95, 0, 0
5, 400, 60, 90, 1, 1
6, 550, 60, 85, 2, 1
7, 700, 60, 80, 3, 1
8, 900, 60, 75, 4, 1
9, 1000, 60, 70, 5, 1
10, 1500, 120, 60, 5, 2
11, 2000, 120, 50, 10, 2
12, 2400, 120, 40, 15, 2
13, 3000, 120, 30, 25, 2
14, 3500, 120, 20, 30, 2
15, 4500, 220, 15, 40, 3
16, 5500, 220, 14, 50, 3
17, 7000, 220, 13, 60, 3
18, 9000, 220, 12, 70, 3
19, 11000, 220, 11, 80, 3
20, 13000, 220, 10, 90, 3
