int, int, FP, FP, int[], FP[], string, string, string
TreasureId, Grade, ExcavatePercentage, ExcavationDuration, BuffIds, BuffValues, IconName, TreasureName, TreasureDesc
0, 0, 250, 5, 0, 0, "icon_treasure_0", "treasure_name_0", "treasure_txet_0"
1, 1, 10, 5, 1, 1, "icon_treasure_1", "treasure_name_1", "treasure_txet_1"
2, 1, 15, 5, 1, 2, "icon_treasure_1", "treasure_name_1", "treasure_txet_1"
3, 1, 20, 5, 1, 3, "icon_treasure_1", "treasure_name_1", "treasure_txet_1"
4, 1, 25, 5, 1, 4, "icon_treasure_1", "treasure_name_1", "treasure_txet_1"
5, 1, 30, 5, 1, 5, "icon_treasure_1", "treasure_name_1", "treasure_txet_1"
6, 1, 35, 5, 1, 6, "icon_treasure_1", "treasure_name_1", "treasure_txet_1"
7, 1, 40, 5, 1, 7, "icon_treasure_1", "treasure_name_1", "treasure_txet_1"
8, 1, 45, 5, 1, 8, "icon_treasure_1", "treasure_name_1", "treasure_txet_1"
9, 1, 50, 5, 1, 9, "icon_treasure_1", "treasure_name_1", "treasure_txet_1"
10, 1, 55, 5, 1, 10, "icon_treasure_1", "treasure_name_1", "treasure_txet_1"
11, 1, 60, 5, 1, 12, "icon_treasure_1", "treasure_name_1", "treasure_txet_1"
12, 1, 60, 5, 1, 14, "icon_treasure_1", "treasure_name_1", "treasure_txet_1"
13, 1, 60, 5, 1, 16, "icon_treasure_1", "treasure_name_1", "treasure_txet_1"
14, 1, 60, 5, 1, 18, "icon_treasure_1", "treasure_name_1", "treasure_txet_1"
15, 1, 60, 5, 1, 20, "icon_treasure_1", "treasure_name_1", "treasure_txet_1"
16, 1, 10, 5, 2, 1, "icon_treasure_2", "treasure_name_2", "treasure_txet_2"
17, 1, 15, 5, 2, 2, "icon_treasure_2", "treasure_name_2", "treasure_txet_2"
18, 1, 20, 5, 2, 3, "icon_treasure_2", "treasure_name_2", "treasure_txet_2"
19, 1, 25, 5, 2, 4, "icon_treasure_2", "treasure_name_2", "treasure_txet_2"
20, 1, 30, 5, 2, 5, "icon_treasure_2", "treasure_name_2", "treasure_txet_2"
