int, int, EProductPopupType, int, bool, bool, EResetType, EShopProductPayType, int, int[], TableReward
Id, SlotIndex, PopupType, BuyLimit, IsFirstBuyBonus, CanMultiBuy, ResetType, PayType, CostId, CostPrice, Reward
100401, 1, "LuckyCarnival", 0, "FALSE", "TRUE", "None", "Cost", 102, 100, "112,1,1"
100501, 1, "PetPicnic", 0, "FALSE", "TRUE", "None", "Cost", 102, 100, "114,10,10"
100701, 1, "Summer", 0, "FALSE", "TRUE", "None", "Cost", 102, 100, "119,1,1"
100801, 1, "Petstival", 0, "FALSE", "TRUE", "None", "Cost", 102, 100, "120,10,10"
100901, 1, "Unnori", 0, "FALSE", "TRUE", "None", "Cost", 102, 100, "121,1,1"
101001, 1, "Halloween", 0, "FALSE", "TRUE", "None", "Cost", 102, 100, "123,10,10"
101101, 1, "Xmas", 0, "FALSE", "TRUE", "None", "Cost", 102, 100, "124,1,1"
101201, 1, "Newbie", 0, "FALSE", "TRUE", "None", "Cost", 102, 100, "127,10,10"
113001, 1, "Battery", 1, "FALSE", "FALSE", "Daily", "Free", 102, "", "113, 5, 5"
113002, 1, "Battery", 1, "FALSE", "FALSE", "Daily", "Ads", 102, "", "113, 5, 5"
113003, 2, "Battery", 0, "FALSE", "TRUE", "None", "Cost", 102, 500, "113, 10, 10"
115001, 1, "PetFood", 1, "FALSE", "FALSE", "Daily", "Free", 102, "", "115, 10, 10"
115002, 1, "PetFood", 1, "FALSE", "FALSE", "Daily", "Ads", 102, "", "115, 10, 10"
115003, 2, "PetFood", 0, "FALSE", "TRUE", "None", "Cost", 102, 500, "115, 50, 50"
1001, 1, "Stamina", 3, "FALSE", "FALSE", "Daily", "Ads", 102, "", "1, 5, 5"
1002, 2, "Stamina", 0, "TRUE", "FALSE", "Daily", "Cost", 102, "100 | 100 | 100 | 300 | 500 | 1000 | 1500 | 2000 | 2500 | 3000 | 3500 | 4000 | 4500 | 5000", "1, 15, 15"
2001, 1, "CombatTicket", 3, "FALSE", "FALSE", "Daily", "Ads", 102, "", "2, 1, 1"
2002, 2, "CombatTicket", 0, "FALSE", "TRUE", "None", "Cost", 102,  100, "2, 1, 1"
7001, 1, "RuneTicket", 1, "FALSE", "FALSE", "Daily", "Free", "", "", "141, 10, 10"
7002, 1, "RuneTicket", 1, "FALSE", "FALSE", "Daily", "Ads", "", "", "141, 10, 10"
