int, int, int, TableReward, TableReward, TableReward
Id, SlotCount, NeedLevel, Reward_1, Reward_2, Reward_3
1, 3, 1, "101,1000,1000"
2, 3, 2, "103,50,50"
3, 3, 3, "102,100,100"
4, 4, 4, "101,1000,1000"
5, 4, 5, "103,50,50"
6, 4, 6, "102,100,100"
7, 5, 7, "101,1000,1000"
8, 5, 8, "103,50,50"
9, 5, 9, "102,100,100"
10, 6, 10, "104,50,50"
11, 3, 1, "101,1000,1000"
12, 3, 2, "103,50,50"
13, 3, 3, "102,100,100"
14, 4, 4, "101,1000,1000"
15, 4, 5, "103,50,50"
16, 4, 6, "102,100,100"
17, 5, 7, "101,1000,1000"
18, 5, 8, "103,50,50"
19, 5, 9, "102,100,100"
20, 6, 10, "201,10,10"
