int, System.DateTime, System.DateTime, int, int, int[]
Id, StartAt, EndAt, Duration, Seed, MileageShopProducts
1, "2024-11-21 0:00:00", "2024-12-10 0:00:00", 1641600, 1, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008"
2, "2024-12-10 0:00:00", "2024-12-17 0:00:00", 604800, 2, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008"
3, "2024-12-17 0:00:00", "2024-12-24 0:00:00", 604800, 3, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008"
4, "2024-12-24 0:00:00", "2024-12-31 0:00:00", 604800, 4, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008"
5, "2024-12-31 0:00:00", "2025-01-07 0:00:00", 604800, 5, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008"
6, "2025-01-07 0:00:00", "2025-01-14 0:00:00", 604800, 6, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008"
7, "2025-01-14 0:00:00", "2025-01-21 0:00:00", 604800, 7, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008"
8, "2025-01-21 0:00:00", "2025-01-28 0:00:00", 604800, 8, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008"
9, "2025-01-28 0:00:00", "2025-02-04 0:00:00", 604800, 9, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008"
10, "2025-02-04 0:00:00", "2025-02-11 0:00:00", 604800, 10, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008"
11, "2025-02-11 0:00:00", "2025-02-18 0:00:00", 604800, 11, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008"
12, "2025-02-18 0:00:00", "2025-02-25 0:00:00", 604800, 12, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008"
13, "2025-02-25 0:00:00", "2025-03-04 0:00:00", 604800, 13, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008"
14, "2025-03-04 0:00:00", "2025-03-11 0:00:00", 604800, 14, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008"
15, "2025-03-11 0:00:00", "2025-03-18 0:00:00", 604800, 15, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008"
16, "2025-03-18 0:00:00", "2025-03-25 0:00:00", 604800, 16, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008"
17, "2025-03-25 0:00:00", "2025-04-01 0:00:00", 604800, 17, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008"
18, "2025-04-01 0:00:00", "2025-04-08 0:00:00", 604800, 18, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008"
19, "2025-04-08 0:00:00", "2025-04-15 0:00:00", 604800, 19, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008"
20, "2025-04-15 0:00:00", "2025-04-22 0:00:00", 604800, 20, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008"
21, "2025-04-22 0:00:00", "2025-04-29 0:00:00", 604800, 21, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008"
22, "2025-04-29 0:00:00", "2025-05-06 0:00:00", 604800, 22, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008"
23, "2025-05-06 0:00:00", "2025-05-13 0:00:00", 604800, 23, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008"
24, "2025-05-13 0:00:00", "2025-05-20 0:00:00", 604800, 24, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008 | 110009"
25, "2025-05-20 0:00:00", "2025-05-27 0:00:00", 604800, 25, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008 | 110009"
26, "2025-05-27 0:00:00", "2025-06-03 0:00:00", 604800, 26, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008 | 110009"
27, "2025-06-03 0:00:00", "2025-06-10 0:00:00", 604800, 27, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008 | 110009"
28, "2025-06-10 0:00:00", "2025-06-17 0:00:00", 604800, 28, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008 | 110009"
29, "2025-06-17 0:00:00", "2025-06-24 0:00:00", 604800, 29, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008 | 110009"
30, "2025-06-24 0:00:00", "2025-07-01 0:00:00", 604800, 30, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008 | 110009"
31, "2025-07-01 0:00:00", "2025-07-08 0:00:00", 604800, 31, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008 | 110009"
32, "2025-07-08 0:00:00", "2025-07-15 0:00:00", 604800, 32, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008 | 110009"
33, "2025-07-15 0:00:00", "2025-07-22 0:00:00", 604800, 33, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008 | 110009"
34, "2025-07-22 0:00:00", "2025-07-29 0:00:00", 604800, 34, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008 | 110009"
35, "2025-07-29 0:00:00", "2025-08-05 0:00:00", 604800, 35, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008 | 110009"
36, "2025-08-05 0:00:00", "2025-08-12 0:00:00", 604800, 36, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008 | 110009"
37, "2025-08-12 0:00:00", "2025-08-19 0:00:00", 604800, 37, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008 | 110009"
38, "2025-08-19 0:00:00", "2025-08-26 0:00:00", 604800, 38, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008 | 110009"
39, "2025-08-26 0:00:00", "2025-09-02 0:00:00", 604800, 39, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008 | 110009"
40, "2025-09-02 0:00:00", "2025-09-09 0:00:00", 604800, 40, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008 | 110009"
41, "2025-09-09 0:00:00", "2025-09-16 0:00:00", 604800, 41, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008 | 110009"
42, "2025-09-16 0:00:00", "2025-09-23 0:00:00", 604800, 42, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008 | 110009"
43, "2025-09-23 0:00:00", "2025-09-30 0:00:00", 604800, 43, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008 | 110009"
44, "2025-09-30 0:00:00", "2025-10-07 0:00:00", 604800, 44, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008 | 110009"
45, "2025-10-07 0:00:00", "2025-10-14 0:00:00", 604800, 45, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008 | 110009"
46, "2025-10-14 0:00:00", "2025-10-21 0:00:00", 604800, 46, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008 | 110009"
47, "2025-10-21 0:00:00", "2025-10-28 0:00:00", 604800, 47, "110002 | 110003 | 110004 | 110005 | 110006 | 110007 | 110008 | 110009"
