int, int, int, int, int, string, string, ESkinGradeType, bool, bool, string, string, string[], string[], string, bool, string, string
Id, ScheduleId, Order, UnitId, Price, Name, Description, Grade, IsEffectChange, IncludeHallow, ProjectileName, HitEffectName, AttackSoundNames, HitSoundNames, SummonSoundName, IsShowSpawnIcon, DefaultIllustration, DefaultIcon
100191, 1001, 91, 1001, "", "skin_name_100191", "skin_description_100191", "Common", "FALSE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_1001", "icon_100191_uiprofile"
100192, 1010, 92, 1001, "", "skin_name_100192", "skin_description_100192", "Common", "FALSE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_1001", "icon_100192_uiprofile"
100291, 1001, 91, 1002, "", "skin_name_100291", "skin_description_100291", "Common", "FALSE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_1002", "icon_100291_uiprofile"
100292, 1010, 92, 1002, "", "skin_name_100292", "skin_description_100292", "Common", "FALSE", "FALSE", "projectile_Bomb_1_skin92", "", "", "", "", "FALSE", "illust_unit_1002", "icon_100292_uiprofile"
100391, 1001, 91, 1003, "", "skin_name_100391", "skin_description_100391", "Common", "FALSE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_1003", "icon_100391_uiprofile"
100392, 1010, 92, 1003, "", "skin_name_100392", "skin_description_100392", "Common", "FALSE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_1003", "icon_100392_uiprofile"
100491, 1001, 91, 1004, "", "skin_name_100491", "skin_description_100491", "Common", "FALSE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_1004", "icon_100491_uiprofile"
100492, 1010, 92, 1004, "", "skin_name_100492", "skin_description_100492", "Common", "FALSE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_1004", "icon_100492_uiprofile"
100591, 1001, 91, 1005, "", "skin_name_100591", "skin_description_100591", "Common", "FALSE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_1005", "icon_100591_uiprofile"
100592, 1010, 92, 1005, "", "skin_name_100592", "skin_description_100592", "Common", "FALSE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_1005", "icon_100592_uiprofile"
500491, 1001, 91, 5004, "", "skin_name_500491", "skin_description_500491", "Common", "TRUE", "TRUE", "", "", "", "", "", "FALSE", "illust_unit_5004", "icon_500491_uiprofile"
300191, 1002, 91, 3001, "", "skin_name_300191", "skin_description_300191", "Common", "FALSE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_3001", "icon_300191_uiprofile"
300291, 1002, 91, 3002, "", "skin_name_300291", "skin_description_300291", "Common", "FALSE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_3002", "icon_300291_uiprofile"
300391, 1002, 91, 3003, "", "skin_name_300391", "skin_description_300391", "Common", "FALSE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_3003", "icon_300391_uiprofile"
300591, 1002, 91, 3005, "", "skin_name_300591", "skin_description_300591", "Common", "FALSE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_3005", "icon_300591_uiprofile"
300691, 1002, 91, 3006, "", "skin_name_300691", "skin_description_300691", "Common", "FALSE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_3006", "icon_300691_uiprofile"
500291, 1002, 91, 5002, "", "skin_name_500291", "skin_description_500291", "Common", "TRUE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_5002", "icon_500291_uiprofile"
400391, 1003, 91, 4003, "", "skin_name_400391", "skin_description_400391", "Common", "FALSE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_4003", "icon_400391_uiprofile"
400491, 1003, 91, 4004, "", "skin_name_400491", "skin_description_400491", "Common", "FALSE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_4004", "icon_400491_uiprofile"
400591, 1003, 91, 4005, "", "skin_name_400591", "skin_description_400591", "Common", "FALSE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_4005", "icon_400591_uiprofile"
400791, 1003, 91, 4007, "", "skin_name_400791", "skin_description_400791", "Common", "FALSE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_4007", "icon_400791_uiprofile"
300491, 1003, 91, 3004, "", "skin_name_300491", "skin_description_300491", "Common", "TRUE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_3004", "icon_300491_uiprofile"
200191, 1004, 91, 2001, "", "skin_name_200191", "skin_description_200191", "Common", "FALSE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_2001", "icon_200191_uiprofile"
200291, 1004, 91, 2002, "", "skin_name_200291", "skin_description_200291", "Common", "FALSE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_2002", "icon_200291_uiprofile"
200391, 1004, 91, 2003, "", "skin_name_200391", "skin_description_200391", "Common", "FALSE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_2003", "icon_200391_uiprofile"
200491, 1004, 91, 2004, "", "skin_name_200491", "skin_description_200491", "Common", "FALSE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_2004", "icon_200491_uiprofile"
200591, 1004, 91, 2005, "", "skin_name_200591", "skin_description_200591", "Common", "FALSE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_2005", "icon_200591_uiprofile"
300791, 1004, 91, 3007, "", "skin_name_300791", "skin_description_300791", "Common", "TRUE", "FALSE", "projectile_3007_skin91", "", "", "", "", "FALSE", "illust_unit_3007", "icon_300791_uiprofile"
200192, 1011, 92, 2001, "", "skin_name_200192", "skin_description_200192", "Common", "FALSE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_2001", "icon_200192_uiprofile"
200292, 1011, 92, 2002, "", "skin_name_200292", "skin_description_200292", "Common", "FALSE", "FALSE", "", "", "", "", "", "FALSE", "illust_unit_2002", "icon_200292_uiprofile"
