string, ERegion
Text, Region
"111fans", "US"
"13클돌주사위", "KR"
"1q2w3e4r", "US"
"1ucifer", "US"
"2024monster", "US"
"360도달라진나", "KR"
"71in", "US"
"8锦鸟云翔8", "TW"
"가나다라마바사", "KR"
"可愛い猫", "JP"
"개쩌는사람", "KR"
"劍斷青絲", "TW"
"겨울이", "KR"
"故事未完", "TW"
"고세구", "KR"
"고양이털날리기", "KR"
"공포의떡볶이", "KR"
"관악구피바라기", "KR"
"驕傲如初", "TW"
"舊琴破碎", "TW"
"君已陌路", "TW"
"그루밍하기", "KR"
"그리고비만", "KR"
"근본♬본질", "KR"
"幾欲逢花", "TW"
"나랑같이춤을추자", "KR"
"나만성장없어", "KR"
"나의라임쩌는나무", "KR"
"나일론머스크", "KR"
"내가촌쏭에맞아라", "KR"
"너도성장없니", "KR"
"넌이미죽어있다", "KR"
"노스트라다이스", "KR"
"눈물이추적추적", "KR"
"니넥서스다터진다", "KR"
"니이모를찾아서", "KR"
"닉네임은여덟글자", "KR"
"닥터전자레인지", "KR"
"大吉", "TW"
"대박", "KR"
"大將軍888", "TW"
"덤벼라애송아", "KR"
"데이바이데이", "KR"
"桃太郎", "JP"
"돌굴러가유", "KR"
"돌주사위얍얍", "KR"
"東京行きてぇ", "JP"
"돼지고기삼형제", "KR"
"등킨드나스", "KR"
"떡잎", "KR"
"또르륵또르륵", "KR"
"똥빚는기계", "KR"
"라비비비바비디부", "KR"
"狼群軍刀", "TW"
"랜덤다마스워즈", "KR"
"랜워다즈", "KR"
"레오나르도다이스", "KR"
"레이", "KR"
"릴파", "KR"
"魔境仙踪", "TW"
"마스크좀해라", "KR"
"마크스펙터", "KR"
"맨날커피마셔", "KR"
"머박", "KR"
"멸망", "KR"
"명란젓코난", "KR"
"名無し", "JP"
"모르는개산책", "KR"
"무사재밌낸", "KR"
"無雙劍皇", "TW"
"무지성합성좌", "KR"
"默然等待", "TW"
"문나이트", "KR"
"文字制限", "JP"
"바나냥", "KR"
"바른말고운말", "KR"
"반응좀해라", "KR"
"반지하의제왕", "KR"
"발상과표현", "KR"
"방바다쿠와따시노", "KR"
"배고파요", "KR"
"白米", "TW"
"백호사자", "KR"
"별은내가슴에", "KR"
"本物なの", "JP"
"볼케이노", "KR"
"봉구스박보검", "KR"
"不常在線", "TW"
"浮生夢涼", "TW"
"분홍쏘시지", "KR"
"分からない", "JP"
"불금치맥", "KR"
"붐주사위빔은온다", "KR"
"負け犬", "JP"
"비긴이게임", "KR"
"비비", "KR"
"비챤", "KR"
"삐까쭈", "KR"
"사다리또걸림", "KR"
"山川情詩", "TW"
"逝水無痕", "TW"
"서울시립미술관", "KR"
"雪落紛紛", "TW"
"世界那么大", "TW"
"世當戮滅", "TW"
"세븐대죄", "KR"
"소리없는정우성", "KR"
"슈뢰딩거의주사위", "KR"
"스벅진동벨도둑", "KR"
"時間支配者", "JP"
"식빵굽기", "KR"
"신림동피바라기", "KR"
"紳士風度", "TW"
"晨曦怒風", "TW"
"深秋無痕", "TW"
"싹싹빌면원코드림", "KR"
"썬더네이키드", "KR"
"씨제이", "KR"
"아리가또데스네", "KR"
"아리가또죽으면", "KR"
"아무단어", "KR"
"我想去看看", "TW"
"아이네", "KR"
"아이미니미이니모", "KR"
"애오우오오웅", "KR"
"액자식구성", "KR"
"야수l밤바l다", "KR"
"夜知冷暖", "TW"
"俺の勝ち", "JP"
"에어컨시래기", "KR"
"에어팟한쪽팜", "KR"
"역대급천재괴물", "KR"
"역삼동불기둥", "KR"
"오든친구바이든", "KR"
"오애오애오옹", "KR"
"오즈의맙소사", "KR"
"온보딩3년차", "KR"
"王的溫柔", "TW"
"搖滾枷鎖", "TW"
"용암주사위", "KR"
"월연봉190만원", "KR"
"月曜日好き", "JP"
"윤하조아", "KR"
"油断したな", "JP"
"응가대마왕", "KR"
"이긴사람대머리", "KR"
"이쑤신장군", "KR"
"이유없는아이유", "KR"
