int, int, int, int, int, int[], int, int, int[], int, int, int, int, int, int, int, int, int, int, int, int, int, int, int
Id, BehaviourGroup, WaveGroup, PlayerLevel, UnitLevel, UnitLevelRandomMinMax, UnitCount, MythicalUnitCount, PrioritizedMythicalUnitIds, HyperUnitCount, HyperUnitLevel, HallowLevel, HallowCount, ExclusiveHallowCount, RelicLevel, RelicCount, PetLevel, PetCount, PetMaxGrade, Level, FailWave, FailCount, BestWave, BestTier
0, 1, 1, 5, 3, "-1 | 2", 7, 4, " 3007 | 5009 | 5014 | 5001 | 5005 | 3004", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0
1, 1, 1, 6, 4, "-1 | 2", 8, 5, " 3007 | 5009 | 5010 | 5015 | 5016 | 5005 | 3004", 0, 0, 0, 0, 0, 1, 5, 0, 0, 0, 4, 20, 3, 0, 0
2, 1, 1, 7, 5, "-1 | 2", 10, 6, " 3007 | 5009 | 5010 | 5015 | 5016 | 5005 | 3004", 0, 0, 0, 0, 0, 2, 10, 0, 0, 0, 4, 30, 8, 0, 0
3, 1, 1, 8, 6, "--1 | 2", 10, 7, " 3007 | 5009 | 5010 | 5015 | 5016 | 5005 | 3004", 0, 0, 0, 0, 0, 3, 10, 0, 0, 0, 4, 40, 10, 0, 0
4, 2, 1, 9, 8, "-1 | 2", 15, 8, " 3007 | 5009 | 5010 | 5015 | 5016 | 5005 | 3004", 0, 0, 0, 0, 0, 4, 15, 0, 0, 0, 4, 50, 10, 0, 0
5, 2, 1, 10, 10, "-1 | 2", 20, 8, " 3007 | 5009 | 5010 | 5015 | 5016 | 5005 | 3004", 0, 0, 0, 0, 0, 6, 20, 0, 0, 0, 4, 70, 11, 0, 0
10, 1, 1, 3, 2, "-1 | 2", 7, 4, " 3007 | 5005 | 3004 | 5009", 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0
11, 7, 90, 1, 1, "0|0", 0, 0, "", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12, 8, 90, 1, 1, "0|0", 0, 1, 3007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
