int, int, int, float, bool, int[], int[], int, EGradeType, EBuffCardType, EBuffCardActivateType, string, string, int, int, FP[], string
Id, LogicId, PoolId, Ratio, IsUnlimited, ConditionIds, ConditionValues, Cost, GradeType, CardType, ActivateType, Title, Description, TargetUnitId, TargetId, BuffParams, IconPath
1, 1, 1, 10, "FALSE", "", "", "", "Common", "Special", "Instantly", "title_buffcard_1", "desc_buffcard_1", "", "", "", "InGame/icon_buffcard_promotion"
2, 2, 1, 10, "FALSE", "", "", "", "Legend", "Special", "WaveStart", "title_buffcard_2", "desc_buffcard_2", "", "", 10, "InGame/icon_buffcard_fortune_box"
3, 3, 1, 10, "FALSE", "", "", "", "Legend", "Special", "Always", "title_buffcard_3", "desc_buffcard_3", "", "", 20, "InGame/icon_buffcard_fortune_gun"
4, 4, 1, 5, "FALSE", "", "", "", "Common", "Special", "WaveStart", "title_buffcard_4", "desc_buffcard_4", "", "", "-10 | 20", "InGame/icon_buffcard_bit_coin"
5, 5, 1, 10, "FALSE", "", "", "", "Common", "Special", "Instantly", "title_buffcard_5", "desc_buffcard_5", "", "", "0 | 30", "InGame/icon_buffcard_master_of_investment"
6, 6, 1, 5, "FALSE", "", "", "", "Legend", "Special", "Always", "title_buffcard_6", "desc_buffcard_6", "", "", 25, "InGame/icon_buffcard_shoes_of_hermes"
7, 7, 1, 10, "FALSE", "", "", "", "Common", "Special", "Always", "title_buffcard_7", "desc_buffcard_7", "", "", 6, "InGame/icon_buffcard_mythical_market"
8, 8, 1, 10, "FALSE", "", "", "", "Common", "Special", "Always", "title_buffcard_8", "desc_buffcard_8", "", 0, "5 | 11", "InGame/icon_buffcard_old_fairy_bow"
9, 9, 1, 10, "FALSE", "", "", "", "Common", "Special", "Always", "title_buffcard_9", "desc_buffcard_9", "", 1, "10 | 11", "InGame/icon_buffcard_old_big_sword"
10, 10, 1, 10, "FALSE", "", "", "", "Common", "Special", "Always", "title_buffcard_10", "desc_buffcard_10", "", 3, "10 | 11", "InGame/icon_buffcard_old_staff"
11, 11, -1, 0, "FALSE", "", "", "", "Legend", "Special", "Always", "title_buffcard_11", "desc_buffcard_11", "", "", "30 | 30 | 5 | 5000", "InGame/icon_buffcard_weaponmaster"
12, 12, 1, 10, "FALSE", "", "", "", "Epic", "Special", "Instantly", "title_buffcard_12", "desc_buffcard_12", "", "", 1, "InGame/icon_buffcard_magical_shield"
13, 99999, 1, 10, "FALSE", "", "", "", "Common", "IndividualStat", "Always", "title_buffcard_13", "desc_buffcard_13", "", 11, 100, "InGame/icon_buffcard_super_gloves"
