int, int, int, int, int, FP, FP, FP, int, EChallengeReward, FP[], string, string
Id, WaveGroup, Step, MonsterId, Level, Duration, Cooltime, FailedCooltime, ElseSpecialPoint, RewardType, Parameters, IconResourceName, IconButtonName
1001, 1, 0, 20001, 0, 60, 120, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20001", "Icon/icon_challenge_golem_1"
1002, 1, 1, 20001, 20, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20001", "Icon/icon_challenge_golem_1"
1003, 1, 2, 20001, 30, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20001", "Icon/icon_challenge_golem_1"
1004, 1, 3, 20001, 40, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20001", "Icon/icon_challenge_golem_1"
1005, 1, 4, 20002, 0, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20002", "Icon/icon_challenge_golem_2"
1006, 1, 5, 20002, 2, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20002", "Icon/icon_challenge_golem_2"
1007, 1, 6, 20002, 4, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20002", "Icon/icon_challenge_golem_2"
1008, 1, 7, 20002, 6, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20002", "Icon/icon_challenge_golem_2"
1009, 1, 8, 20003, 8, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
1010, 1, 9, 20003, 8, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
1011, 1, 10, 20003, 8, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
1012, 1, 11, 20003, 10, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
1013, 1, 12, 20003, 11, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
1014, 1, 13, 20003, 12, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
1015, 1, 14, 20003, 13, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
1016, 1, 15, 20003, 14, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
1017, 1, 16, 20003, 16, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
1018, 1, 17, 20003, 18, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
1019, 1, 18, 20003, 20, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
1020, 1, 19, 20003, 22, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
1021, 1, 20, 20003, 24, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
2001, 2, 0, 20001, 10, 60, 120, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20001", "Icon/icon_challenge_golem_1"
2002, 2, 1, 20001, 60, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20001", "Icon/icon_challenge_golem_1"
2003, 2, 2, 20001, 110, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20001", "Icon/icon_challenge_golem_1"
2004, 2, 3, 20001, 200, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20001", "Icon/icon_challenge_golem_1"
2005, 2, 4, 20002, 20, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20002", "Icon/icon_challenge_golem_2"
2006, 2, 5, 20002, 30, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20002", "Icon/icon_challenge_golem_2"
2007, 2, 6, 20002, 40, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20002", "Icon/icon_challenge_golem_2"
2008, 2, 7, 20002, 60, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20002", "Icon/icon_challenge_golem_2"
2009, 2, 8, 20003, 30, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
2010, 2, 9, 20003, 40, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
2011, 2, 10, 20003, 50, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
2012, 2, 11, 20003, 70, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
2013, 2, 12, 20003, 100, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
2014, 2, 13, 20003, 150, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
2015, 2, 14, 20003, 200, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
2016, 2, 15, 20003, 250, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
2017, 2, 16, 20003, 300, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
2018, 2, 17, 20003, 350, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
2019, 2, 18, 20003, 400, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
2020, 2, 19, 20003, 450, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
2021, 2, 20, 20003, 500, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
3001, 3, 0, 20011, 30, 60, 120, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20011", "Icon/icon_challenge_blob_1"
3002, 3, 1, 20011, 150, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20011", "Icon/icon_challenge_blob_1"
3003, 3, 2, 20011, 300, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20011", "Icon/icon_challenge_blob_1"
3004, 3, 3, 20011, 700, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20011", "Icon/icon_challenge_blob_1"
3005, 3, 4, 20012, 30, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20012", "Icon/icon_challenge_blob_2"
3006, 3, 5, 20012, 50, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20012", "Icon/icon_challenge_blob_2"
3007, 3, 6, 20012, 70, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20012", "Icon/icon_challenge_blob_2"
3008, 3, 7, 20012, 110, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20012", "Icon/icon_challenge_blob_2"
3009, 3, 8, 20013, 60, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20013", "Icon/icon_challenge_blob_3"
3010, 3, 9, 20013, 85, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20013", "Icon/icon_challenge_blob_3"
3011, 3, 10, 20013, 110, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20013", "Icon/icon_challenge_blob_3"
3012, 3, 11, 20013, 155, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20013", "Icon/icon_challenge_blob_3"
3013, 3, 12, 20013, 230, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20013", "Icon/icon_challenge_blob_3"
3014, 3, 13, 20013, 350, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20013", "Icon/icon_challenge_blob_3"
3015, 3, 14, 20013, 480, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20013", "Icon/icon_challenge_blob_3"
3016, 3, 15, 20013, 610, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20013", "Icon/icon_challenge_blob_3"
3017, 3, 16, 20013, 750, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20013", "Icon/icon_challenge_blob_3"
