int, int, int, TableReward, TableReward, TableReward
Id, Group, Day, Reward_1, Reward_2, Reward_3
100101, 1001, 1, "106,50,50"
100102, 1001, 2, "103,1000,1000"
100103, 1001, 3, "201,5,5"
100104, 1001, 4, "102,3000,3000"
100105, 1001, 5, "106,50,50"
100106, 1001, 6, "103,1000,1000"
100107, 1001, 7, "104,100,100"
100201, 1002, 1, "110,50,50"
100202, 1002, 2, "103,1000,1000"
100203, 1002, 3, "201,5,5"
100204, 1002, 4, "102,3000,3000"
100205, 1002, 5, "110,50,50"
100206, 1002, 6, "103,1000,1000"
100207, 1002, 7, "104,100,100"
100301, 1003, 1, "111,50,50"
100302, 1003, 2, "103,1000,1000"
100303, 1003, 3, "201,5,5"
100304, 1003, 4, "102,3000,3000"
100305, 1003, 5, "111,50,50"
100306, 1003, 6, "103,1000,1000"
100307, 1003, 7, "104,100,100"
100401, 1004, 1, "112,50,50"
100402, 1004, 2, "103,1000,1000"
100403, 1004, 3, "201,5,5"
100404, 1004, 4, "102,3000,3000"
100405, 1004, 5, "112,50,50"
100406, 1004, 6, "103,1000,1000"
100407, 1004, 7, "104,100,100"
100601, 1006, 1, "117,50,50"
100602, 1006, 2, "901,1,1"
100603, 1006, 3, "201,5,5"
100604, 1006, 4, "102,3000,3000"
100605, 1006, 5, "117,50,50"
100606, 1006, 6, "103,1000,1000"
100607, 1006, 7, "104,100,100"
100701, 1007, 1, "2000, 5022, 1, 1", "119,50,50"
100702, 1007, 2, "201,5,5"
100703, 1007, 3, "102,3000,3000"
100704, 1007, 4, "119,50,50"
100705, 1007, 5, "201,5,5"
100706, 1007, 6, "103,1000,1000"
100707, 1007, 7, "104,100,100"
100901, 1009, 1, "121,50,50"
100902, 1009, 2, "104,50,50"
100903, 1009, 3, "201,5,5"
100904, 1009, 4, "102,3000,3000"
100905, 1009, 5, "121,100,100"
100906, 1009, 6, "103,1000,1000"
100907, 1009, 7, "104,100,100"
101101, 1011, 1, "124,50,50"
101102, 1011, 2, "104,50,50"
101103, 1011, 3, "201,5,5"
101104, 1011, 4, "102,3000,3000"
101105, 1011, 5, "124,50,50"
101106, 1011, 6, "103,1000,1000"
101107, 1011, 7, "104,100,100"
120001, 1200, 1, "901,1,1"
120002, 1200, 2, "104, 100, 100"
120003, 1200, 3, "201, 5, 5"
120004, 1200, 4, "104, 100, 100"
120005, 1200, 5, "102, 2000, 2000"
120006, 1200, 6, "201, 10, 10"
120007, 1200, 7, "4001, 14, 14"
130001, 1300, 1, "101, 5000, 5000"
130002, 1300, 2, "2000, 5006, 1, 1"
130003, 1300, 3, "103, 300, 300"
130004, 1300, 4, "201, 5, 5"
130005, 1300, 5, "101, 10000, 10000"
130006, 1300, 6, "103, 500, 500"
130007, 1300, 7, "104, 100, 100"
130101, 1301, 1, "101, 5000, 5000"
130102, 1301, 2, "2000, 5006, 1, 1"
130103, 1301, 3, "103, 300, 300"
130104, 1301, 4, "102, 1000, 1000", "201, 5, 5"
130105, 1301, 5, "101, 10000, 10000"
130106, 1301, 6, "103, 500, 500"
130107, 1301, 7, "104, 100, 100", "6000, 64001, 1, 1"
130201, 1302, 1, "102,3000,3000"
130202, 1302, 2, "201, 20, 20"
130203, 1302, 3, "113, 150, 150"
130204, 1302, 4, "104, 200, 200"
130205, 1302, 5, "101, 100000, 100000"
130206, 1302, 6, "107, 15, 15"
130207, 1302, 7, "102,10000,10000"
