int, int, int, int, int, int, int, int, int, int
Id, WaveGroupId, Step, AppearWave, MonsterId, GivePoint, GiveSpecialPoint, GiveCombatPoint, WinCombatPoint, TimeLimit
50001, 501, 0, 5, 50101, 0, 0, 100, 10, 60
50002, 501, 1, 10, 50102, 0, 0, 150, 20, 60
50003, 501, 2, 15, 50103, 0, 0, 200, 30, 60
50004, 501, 3, 20, 50104, 0, 0, 250, 40, 60
50005, 501, 4, 25, 50105, 0, 0, 300, 50, 60
50006, 501, 5, 30, 50106, 0, 0, 350, 60, 60
50007, 501, 6, 35, 50107, 0, 0, 400, 70, 60
50008, 501, 7, 40, 50108, 0, 0, 450, 80, 60
50009, 501, 8, 45, 50109, 0, 0, 500, 90, 60
50010, 501, 9, 50, 50110, 0, 0, 600, 100, 60
50201, 502, 0, 5, 50201, 0, 0, 100, 10, 60
50202, 502, 1, 10, 50202, 0, 0, 150, 20, 60
50203, 502, 2, 15, 50203, 0, 0, 200, 30, 60
50204, 502, 3, 20, 50204, 0, 0, 250, 40, 60
50205, 502, 4, 25, 50205, 0, 0, 300, 50, 60
50206, 502, 5, 30, 50206, 0, 0, 350, 60, 60
