int, int, bool, bool, bool, System.DateTime, System.DateTime, System.DateTime, System.DateTime, int, int, int[]
Id, Season, IsFreeSeason, IsBanSeason, Is1vs1Season, StartAt, FreeAt, FreeEndAt, EndAt, RewardGroupId, Seed, MileageShopProducts
1, "", "TRUE", "FALSE", "FALSE", "2025-02-28 0:00:00", "2025-03-17 0:00:00", "2025-03-18 0:00:00", "2025-03-18 0:00:00", 1, 1, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008"
2, 1, "FALSE", "FALSE", "FALSE", "2025-03-18 0:00:00", "2025-03-31 0:00:00", "2025-04-01 0:00:00", "2025-04-01 0:00:00", 1, 2, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008"
3, 2, "FALSE", "FALSE", "FALSE", "2025-04-01 0:00:00", "2025-04-14 0:00:00", "2025-04-15 0:00:00", "2025-04-15 0:00:00", 2, 3, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008"
4, 3, "FALSE", "TRUE", "FALSE", "2025-04-15 0:00:00", "2025-04-28 0:00:00", "2025-04-29 0:00:00", "2025-04-29 0:00:00", 2, 4, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008"
5, 4, "FALSE", "TRUE", "FALSE", "2025-04-29 0:00:00", "2025-05-12 0:00:00", "2025-05-13 0:00:00", "2025-05-13 0:00:00", 3, 5, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008"
6, 5, "FALSE", "TRUE", "FALSE", "2025-05-13 0:00:00", "2025-05-26 0:00:00", "2025-05-27 0:00:00", "2025-05-27 0:00:00", 3, 6, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
7, 6, "FALSE", "TRUE", "FALSE", "2025-05-27 0:00:00", "2025-06-09 0:00:00", "2025-06-10 0:00:00", "2025-06-10 0:00:00", 3, 7, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
8, 7, "FALSE", "TRUE", "FALSE", "2025-06-10 0:00:00", "2025-06-23 0:00:00", "2025-06-24 0:00:00", "2025-06-24 0:00:00", 3, 8, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
9, 8, "FALSE", "TRUE", "FALSE", "2025-06-24 0:00:00", "2025-07-07 0:00:00", "2025-07-08 0:00:00", "2025-07-08 0:00:00", 3, 9, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
10, 9, "FALSE", "TRUE", "TRUE", "2025-07-08 0:00:00", "2025-07-21 0:00:00", "2025-07-22 0:00:00", "2025-07-22 0:00:00", 3, 10, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
11, 10, "FALSE", "TRUE", "TRUE", "2025-07-22 0:00:00", "2025-08-04 0:00:00", "2025-08-05 0:00:00", "2025-08-05 0:00:00", 3, 11, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
12, 11, "FALSE", "TRUE", "TRUE", "2025-08-05 0:00:00", "2025-08-18 0:00:00", "2025-08-19 0:00:00", "2025-08-19 0:00:00", 3, 12, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
13, 12, "FALSE", "TRUE", "TRUE", "2025-08-19 0:00:00", "2025-09-01 0:00:00", "2025-09-02 0:00:00", "2025-09-02 0:00:00", 3, 13, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
14, 13, "FALSE", "TRUE", "TRUE", "2025-09-02 0:00:00", "2025-09-15 0:00:00", "2025-09-16 0:00:00", "2025-09-16 0:00:00", 3, 14, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
15, 14, "FALSE", "TRUE", "TRUE", "2025-09-16 0:00:00", "2025-09-29 0:00:00", "2025-09-30 0:00:00", "2025-09-30 0:00:00", 3, 15, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
16, 15, "FALSE", "TRUE", "TRUE", "2025-09-30 0:00:00", "2025-10-13 0:00:00", "2025-10-14 0:00:00", "2025-10-14 0:00:00", 3, 16, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
17, 16, "FALSE", "TRUE", "TRUE", "2025-10-14 0:00:00", "2025-10-27 0:00:00", "2025-10-28 0:00:00", "2025-10-28 0:00:00", 3, 17, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
18, 17, "FALSE", "TRUE", "TRUE", "2025-10-28 0:00:00", "2025-11-10 0:00:00", "2025-11-11 0:00:00", "2025-11-11 0:00:00", 3, 18, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
19, 18, "FALSE", "TRUE", "TRUE", "2025-11-11 0:00:00", "2025-11-24 0:00:00", "2025-11-25 0:00:00", "2025-11-25 0:00:00", 3, 19, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
20, 19, "FALSE", "TRUE", "TRUE", "2025-11-25 0:00:00", "2025-12-08 0:00:00", "2025-12-09 0:00:00", "2025-12-09 0:00:00", 3, 20, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
21, 20, "FALSE", "TRUE", "TRUE", "2025-12-09 0:00:00", "2025-12-22 0:00:00", "2025-12-23 0:00:00", "2025-12-23 0:00:00", 3, 21, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
22, 21, "FALSE", "TRUE", "TRUE", "2025-12-23 0:00:00", "2026-01-05 0:00:00", "2026-01-06 0:00:00", "2026-01-06 0:00:00", 3, 22, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
23, 22, "FALSE", "TRUE", "TRUE", "2026-01-06 0:00:00", "2026-01-19 0:00:00", "2026-01-20 0:00:00", "2026-01-20 0:00:00", 3, 23, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
24, 23, "FALSE", "TRUE", "TRUE", "2026-01-20 0:00:00", "2026-02-02 0:00:00", "2026-02-03 0:00:00", "2026-02-03 0:00:00", 3, 24, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
25, 24, "FALSE", "TRUE", "TRUE", "2026-02-03 0:00:00", "2026-02-16 0:00:00", "2026-02-17 0:00:00", "2026-02-17 0:00:00", 3, 25, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
26, 25, "FALSE", "TRUE", "TRUE", "2026-02-17 0:00:00", "2026-03-02 0:00:00", "2026-03-03 0:00:00", "2026-03-03 0:00:00", 3, 26, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
27, 26, "FALSE", "TRUE", "TRUE", "2026-03-03 0:00:00", "2026-03-16 0:00:00", "2026-03-17 0:00:00", "2026-03-17 0:00:00", 3, 27, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
28, 27, "FALSE", "TRUE", "TRUE", "2026-03-17 0:00:00", "2026-03-30 0:00:00", "2026-03-31 0:00:00", "2026-03-31 0:00:00", 3, 28, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
29, 28, "FALSE", "TRUE", "TRUE", "2026-03-31 0:00:00", "2026-04-13 0:00:00", "2026-04-14 0:00:00", "2026-04-14 0:00:00", 3, 29, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
30, 29, "FALSE", "TRUE", "TRUE", "2026-04-14 0:00:00", "2026-04-27 0:00:00", "2026-04-28 0:00:00", "2026-04-28 0:00:00", 3, 30, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
31, 30, "FALSE", "TRUE", "TRUE", "2026-04-28 0:00:00", "2026-05-11 0:00:00", "2026-05-12 0:00:00", "2026-05-12 0:00:00", 3, 31, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
32, 31, "FALSE", "TRUE", "TRUE", "2026-05-12 0:00:00", "2026-05-25 0:00:00", "2026-05-26 0:00:00", "2026-05-26 0:00:00", 3, 32, "120001 | 120002 | 120003 | 120004 | 120005 | 120006 | 120007 | 120008 | 120009"
