int, int, int, TableReward, TableReward, TableReward, TableReward
Id, GroupId, Wave, Reward_1, Reward_2, Reward_3, Reward_4
1, 1, 1, "", "10,10,10", "103, 1, 1", "101,40,40"
2, 1, 2, "", "10,10,10", "103, 1, 1", "101,40,40"
3, 1, 3, "", "10,10,10", "103, 1, 1", "101,40,40"
4, 1, 4, "", "10,10,10", "103, 1, 1", "101,40,40"
5, 1, 5, "", "10,10,10", "103, 1, 1", "101,40,40"
6, 1, 6, "", "10,10,10", "103, 1, 1", "101,40,40"
7, 1, 7, "", "10,10,10", "103, 1, 1", "101,40,40"
8, 1, 8, "", "10,10,10", "103, 1, 1", "101,40,40"
9, 1, 9, "", "10,10,10", "103, 1, 1", "101,40,40"
10, 1, 10, "", "10,50,50", "103, 3, 3", "101,40,40"
11, 1, 11, "", "10,10,10", "103, 1, 1", "101,40,40"
12, 1, 12, "", "10,10,10", "103, 1, 1", "101,40,40"
13, 1, 13, "", "10,10,10", "103, 1, 1", "101,40,40"
14, 1, 14, "", "10,10,10", "103, 1, 1", "101,40,40"
15, 1, 15, "", "10,10,10", "103, 1, 1", "101,40,40"
16, 1, 16, "", "10,10,10", "103, 1, 1", "101,40,40"
17, 1, 17, "", "10,10,10", "103, 1, 1", "101,40,40"
18, 1, 18, "", "10,10,10", "103, 1, 1", "101,40,40"
19, 1, 19, "", "10,10,10", "103, 1, 1", "101,40,40"
20, 1, 20, "", "10,50,50", "103, 3, 3", "101,40,40"
21, 1, 21, "", "10,10,10", "103, 1, 1", "101,40,40"
22, 1, 22, "", "10,10,10", "103, 1, 1", "101,40,40"
23, 1, 23, "", "10,10,10", "103, 1, 1", "101,40,40"
24, 1, 24, "", "10,10,10", "103, 1, 1", "101,40,40"
25, 1, 25, "", "10,10,10", "103, 1, 1", "101,40,40"
26, 1, 26, "", "10,10,10", "103, 1, 1", "101,40,40"
27, 1, 27, "", "10,10,10", "103, 1, 1", "101,40,40"
28, 1, 28, "", "10,10,10", "103, 1, 1", "101,40,40"
29, 1, 29, "", "10,10,10", "103, 1, 1", "101,40,40"
30, 1, 30, "201, 1, 1", "10,50,50", "103, 3, 3", "101,40,40"
31, 1, 31, "", "10,10,10", "103, 1, 1", "101,40,40"
32, 1, 32, "", "10,10,10", "103, 1, 1", "101,40,40"
33, 1, 33, "", "10,10,10", "103, 1, 1", "101,40,40"
34, 1, 34, "", "10,10,10", "103, 1, 1", "101,40,40"
35, 1, 35, "", "10,10,10", "103, 1, 1", "101,40,40"
36, 1, 36, "", "10,10,10", "103, 1, 1", "101,40,40"
37, 1, 37, "", "10,10,10", "103, 1, 1", "101,40,40"
38, 1, 38, "", "10,10,10", "103, 1, 1", "101,40,40"
39, 1, 39, "", "10,10,10", "103, 1, 1", "101,40,40"
40, 1, 40, "", "10,50,50", "103, 3, 3", "101,40,40"
41, 1, 41, "", "10,10,10", "103, 1, 1", "101,40,40"
42, 1, 42, "", "10,10,10", "103, 1, 1", "101,40,40"
43, 1, 43, "", "10,10,10", "103, 1, 1", "101,40,40"
44, 1, 44, "", "10,10,10", "103, 1, 1", "101,40,40"
45, 1, 45, "", "10,10,10", "103, 1, 1", "101,40,40"
46, 1, 46, "", "10,10,10", "103, 1, 1", "101,40,40"
47, 1, 47, "", "10,10,10", "103, 1, 1", "101,40,40"
48, 1, 48, "", "10,10,10", "103, 1, 1", "101,40,40"
49, 1, 49, "", "10,10,10", "103, 1, 1", "101,40,40"
50, 1, 50, "201, 1, 1", "10,50,50", "103, 3, 3", "101,40,40"
51, 2, 1, "", "10,10,10", "103, 1, 1", "101,40,40"
52, 2, 2, "", "10,10,10", "103, 1, 1", "101,40,40"
53, 2, 3, "", "10,10,10", "103, 1, 1", "101,40,40"
54, 2, 4, "", "10,10,10", "103, 1, 1", "101,40,40"
55, 2, 5, "", "10,10,10", "103, 1, 1", "101,40,40"
56, 2, 6, "", "10,10,10", "103, 1, 1", "101,40,40"
57, 2, 7, "", "10,10,10", "103, 1, 1", "101,40,40"
58, 2, 8, "", "10,10,10", "103, 1, 1", "101,40,40"
59, 2, 9, "", "10,10,10", "103, 1, 1", "101,40,40"
60, 2, 10, "104, 1,1", "10,50,50", "103, 3, 3", "101,40,40"
61, 2, 11, "", "10,10,10", "103, 1, 1", "101,40,40"
62, 2, 12, "", "10,10,10", "103, 1, 1", "101,40,40"
63, 2, 13, "", "10,10,10", "103, 1, 1", "101,40,40"
64, 2, 14, "", "10,10,10", "103, 1, 1", "101,40,40"
65, 2, 15, "", "10,10,10", "103, 1, 1", "101,40,40"
66, 2, 16, "", "10,10,10", "103, 1, 1", "101,40,40"
67, 2, 17, "", "10,10,10", "103, 1, 1", "101,40,40"
68, 2, 18, "", "10,10,10", "103, 1, 1", "101,40,40"
69, 2, 19, "", "10,10,10", "103, 1, 1", "101,40,40"
70, 2, 20, "104, 1,1", "10,50,50", "103, 3, 3", "101,40,40"
71, 2, 21, "", "10,10,10", "103, 1, 1", "101,40,40"
72, 2, 22, "", "10,10,10", "103, 1, 1", "101,40,40"
73, 2, 23, "", "10,10,10", "103, 1, 1", "101,40,40"
74, 2, 24, "", "10,10,10", "103, 1, 1", "101,40,40"
75, 2, 25, "", "10,10,10", "103, 1, 1", "101,40,40"
76, 2, 26, "", "10,10,10", "103, 1, 1", "101,40,40"
77, 2, 27, "", "10,10,10", "103, 1, 1", "101,40,40"
78, 2, 28, "", "10,10,10", "103, 1, 1", "101,40,40"
79, 2, 29, "", "10,10,10", "103, 1, 1", "101,40,40"
80, 2, 30, "104, 1,1", "10,50,50", "103, 3, 3", "101,40,40"
81, 2, 31, "", "10,10,10", "103, 1, 1", "101,40,40"
82, 2, 32, "", "10,10,10", "103, 1, 1", "101,40,40"
83, 2, 33, "", "10,10,10", "103, 1, 1", "101,40,40"
84, 2, 34, "", "10,10,10", "103, 1, 1", "101,40,40"
85, 2, 35, "", "10,10,10", "103, 1, 1", "101,40,40"
86, 2, 36, "", "10,10,10", "103, 1, 1", "101,40,40"
87, 2, 37, "", "10,10,10", "103, 1, 1", "101,40,40"
88, 2, 38, "", "10,10,10", "103, 1, 1", "101,40,40"
89, 2, 39, "", "10,10,10", "103, 1, 1", "101,40,40"
90, 2, 40, "104, 1,1", "10,50,50", "103, 3, 3", "101,40,40"
91, 2, 41, "", "10,10,10", "103, 1, 1", "101,40,40"
92, 2, 42, "", "10,10,10", "103, 1, 1", "101,40,40"
93, 2, 43, "", "10,10,10", "103, 1, 1", "101,40,40"
94, 2, 44, "", "10,10,10", "103, 1, 1", "101,40,40"
95, 2, 45, "", "10,10,10", "103, 1, 1", "101,40,40"
96, 2, 46, "", "10,10,10", "103, 1, 1", "101,40,40"
97, 2, 47, "", "10,10,10", "103, 1, 1", "101,40,40"
98, 2, 48, "", "10,10,10", "103, 1, 1", "101,40,40"
99, 2, 49, "", "10,10,10", "103, 1, 1", "101,40,40"
100, 2, 50, "104, 1,1", "10,50,50", "103, 3, 3", "101,40,40"
101, 3, 1, "", "10,10,10", "103, 1, 1", "101,40,40"
102, 3, 2, "", "10,10,10", "103, 1, 1", "101,40,40"
103, 3, 3, "", "10,10,10", "103, 1, 1", "101,40,40"
104, 3, 4, "", "10,10,10", "103, 1, 1", "101,40,40"
105, 3, 5, "", "10,10,10", "103, 1, 1", "101,40,40"
106, 3, 6, "", "10,10,10", "103, 1, 1", "101,40,40"
107, 3, 7, "", "10,10,10", "103, 1, 1", "101,40,40"
108, 3, 8, "", "10,10,10", "103, 1, 1", "101,40,40"
109, 3, 9, "", "10,10,10", "103, 1, 1", "101,40,40"
110, 3, 10, "", "10,50,50", "103, 3, 3", "101,40,40"
111, 3, 11, "", "10,10,10", "103, 1, 1", "101,40,40"
112, 3, 12, "", "10,10,10", "103, 1, 1", "101,40,40"
113, 3, 13, "", "10,10,10", "103, 1, 1", "101,40,40"
114, 3, 14, "", "10,10,10", "103, 1, 1", "101,40,40"
115, 3, 15, "", "10,10,10", "103, 1, 1", "101,40,40"
116, 3, 16, "", "10,10,10", "103, 1, 1", "101,40,40"
117, 3, 17, "", "10,10,10", "103, 1, 1", "101,40,40"
118, 3, 18, "", "10,10,10", "103, 1, 1", "101,40,40"
119, 3, 19, "", "10,10,10", "103, 1, 1", "101,40,40"
120, 3, 20, "113, 5, 5", "10,50,50", "103, 3, 3", "101,40,40"
121, 3, 21, "", "10,10,10", "103, 1, 1", "101,40,40"
122, 3, 22, "", "10,10,10", "103, 1, 1", "101,40,40"
123, 3, 23, "", "10,10,10", "103, 1, 1", "101,40,40"
124, 3, 24, "", "10,10,10", "103, 1, 1", "101,40,40"
125, 3, 25, "", "10,10,10", "103, 1, 1", "101,40,40"
126, 3, 26, "", "10,10,10", "103, 1, 1", "101,40,40"
127, 3, 27, "", "10,10,10", "103, 1, 1", "101,40,40"
128, 3, 28, "", "10,10,10", "103, 1, 1", "101,40,40"
129, 3, 29, "", "10,10,10", "103, 1, 1", "101,40,40"
130, 3, 30, "113, 5, 5", "10,50,50", "103, 3, 3", "101,40,40"
131, 3, 31, "", "10,10,10", "103, 1, 1", "101,40,40"
132, 3, 32, "", "10,10,10", "103, 1, 1", "101,40,40"
133, 3, 33, "", "10,10,10", "103, 1, 1", "101,40,40"
134, 3, 34, "", "10,10,10", "103, 1, 1", "101,40,40"
135, 3, 35, "", "10,10,10", "103, 1, 1", "101,40,40"
136, 3, 36, "", "10,10,10", "103, 1, 1", "101,40,40"
137, 3, 37, "", "10,10,10", "103, 1, 1", "101,40,40"
138, 3, 38, "", "10,10,10", "103, 1, 1", "101,40,40"
139, 3, 39, "", "10,10,10", "103, 1, 1", "101,40,40"
140, 3, 40, "113, 5, 5", "10,50,50", "103, 3, 3", "101,40,40"
141, 3, 41, "", "10,10,10", "103, 1, 1", "101,40,40"
142, 3, 42, "", "10,10,10", "103, 1, 1", "101,40,40"
143, 3, 43, "", "10,10,10", "103, 1, 1", "101,40,40"
144, 3, 44, "", "10,10,10", "103, 1, 1", "101,40,40"
145, 3, 45, "", "10,10,10", "103, 1, 1", "101,40,40"
146, 3, 46, "", "10,10,10", "103, 1, 1", "101,40,40"
147, 3, 47, "", "10,10,10", "103, 1, 1", "101,40,40"
148, 3, 48, "", "10,10,10", "103, 1, 1", "101,40,40"
149, 3, 49, "", "10,10,10", "103, 1, 1", "101,40,40"
150, 3, 50, "113, 5, 5", "10,50,50", "103, 3, 3", "101,40,40"
151, 4, 1, "", "10,10,10", "103, 1, 1", "101,40,40"
152, 4, 2, "", "10,10,10", "103, 1, 1", "101,40,40"
153, 4, 3, "", "10,10,10", "103, 1, 1", "101,40,40"
154, 4, 4, "", "10,10,10", "103, 1, 1", "101,40,40"
155, 4, 5, "", "10,10,10", "103, 1, 1", "101,40,40"
156, 4, 6, "", "10,10,10", "103, 1, 1", "101,40,40"
157, 4, 7, "", "10,10,10", "103, 1, 1", "101,40,40"
158, 4, 8, "", "10,10,10", "103, 1, 1", "101,40,40"
159, 4, 9, "", "10,10,10", "103, 1, 1", "101,40,40"
160, 4, 10, "", "10,50,50", "103, 3, 3", "101,40,40"
161, 4, 11, "", "10,10,10", "103, 1, 1", "101,40,40"
162, 4, 12, "", "10,10,10", "103, 1, 1", "101,40,40"
