int, string, TableReward, ELuckBuffType, FP[], string
Id, Text, Reward_1, BuffType, BuffParams, Description
1, "dailyluck_des_1", "", "DailyShopResetCount", 1, "dailyluck_dailyshopresetcount"
2, "dailyluck_des_2", "", "SpecialSpawn", "3 | 0.5", "dailyluck_specialspawn"
3, "dailyluck_des_3", "", "SpecialSpawn", "2 | 0.5", "dailyluck_specialspawn"
4, "dailyluck_des_4", "103, 10, 10", "", "", ""
5, "dailyluck_des_5", "", "SpecialSpawn", "1 | 1", "dailyluck_specialspawn"
6, "dailyluck_des_6", "103, 10, 10", "", "", ""
7, "dailyluck_des_7", "1, 5, 5", "", "", ""
8, "dailyluck_des_8", "102, 30, 30", "", "", ""
9, "dailyluck_des_9", "", "StartPoint", 30, "dailyluck_startpoint"
10, "dailyluck_des_10", "", "StartSpecialPoint", 1, "dailyluck_startspecialpoint"
11, "dailyluck_des_11", "", "SpawnBonusUnit", 5, "dailyluck_spawnbonusunit"
12, "dailyluck_des_12", "102, 10, 10", "", "", ""
13, "dailyluck_des_13", "", "SpecialSpawn", "3 | 0.5", "dailyluck_specialspawn"
14, "dailyluck_des_14", "", "GameReward", "103 | 2", "dailyluck_gamereward"
15, "dailyluck_des_15", "102, 10, 10", "", "", ""
16, "dailyluck_des_16", "101, 500, 500", "", "", ""
17, "dailyluck_des_17", "102, 30, 30", "", "", ""
18, "dailyluck_des_18", "103, 10, 10", "", "", ""
19, "dailyluck_des_19", "", "GameReward", "103 | 2", "dailyluck_gamereward"
20, "dailyluck_des_20", "102, 30, 30", "", "", ""
21, "dailyluck_des_21", "103, 10, 10", "", "", ""
22, "dailyluck_des_22", "", "StartSpecialPoint", 1, "dailyluck_startspecialpoint"
23, "dailyluck_des_23", "102, 30, 30", "", "", ""
24, "dailyluck_des_24", "101, 500, 500", "", "", ""
25, "dailyluck_des_25", "", "GameReward", "101 | 50", "dailyluck_gamereward"
26, "dailyluck_des_26", "", "GameReward", "103 | 2", "dailyluck_gamereward"
27, "dailyluck_des_27", "103, 10, 10", "", "", ""
28, "dailyluck_des_28", "102, 30, 30", "", "", ""
29, "dailyluck_des_29", "102, 30, 30", "", "", ""
30, "dailyluck_des_30", "102, 30, 30", "", "", ""
31, "dailyluck_des_31", "102, 30, 30", "", "", ""
32, "dailyluck_des_32", "102, 30, 30", "", "", ""
33, "dailyluck_des_33", "", "SpecialSpawn", "3 | 0.5", "dailyluck_specialspawn"
34, "dailyluck_des_34", "101, 500, 500", "", "", ""
35, "dailyluck_des_35", "101, 1000, 1000", "", "", ""
36, "dailyluck_des_36", "103, 10, 10", "", "", ""
37, "dailyluck_des_37", "", "SpecialSpawn", "3 | 0.5", "dailyluck_specialspawn"
38, "dailyluck_des_38", "1, 5, 5", "", "", ""
39, "dailyluck_des_39", "1, 5, 5", "", "", ""
40, "dailyluck_des_40", "", "GameReward", "103 | 2", "dailyluck_gamereward"
41, "dailyluck_des_41", "", "SpecialSpawn", "1 | 1", "dailyluck_specialspawn"
42, "dailyluck_des_42", "", "GameReward", "101 | 50", "dailyluck_gamereward"
43, "dailyluck_des_43", "", "GameReward", "103 | 2", "dailyluck_gamereward"
44, "dailyluck_des_44", "", "SpecialSpawn", "2 | 0.5", "dailyluck_specialspawn"
45, "dailyluck_des_45", "102, 30, 30", "", "", ""
46, "dailyluck_des_46", "104, 1, 1", "", "", ""
47, "dailyluck_des_47", "101, 500, 500", "", "", ""
48, "dailyluck_des_48", "101, 500, 500", "", "", ""
