int, int, bool, bool, int, int, int, int, TableReward, TableReward[], int[], int, int, int[], int, int, string, string, string, TableReward, FP, int, int, int[], TableReward[], string
Id, ScheduleId, IsShowDDay, IsPrivate, PrivateEventDays, PointShopId, ShopKeepOpenDuration, ItemId, EventCost, FinalRewards, FinalNeedCount, FreeTicketProductId, AdsTicketProductId, ShopProductIds, EventMileageMaxCount, MonsterId, MonsterIconPath, MonsterButtonPath, MonsterFramePath, MonsterKillReward, MonsterProbability, MonsterMaxCount, TargetWaves, TargetWaveGroups, WaveClearReward, ButtonPath
1001, 1001, "FALSE", "FALSE", "", "", "", 106, "[106, 10, 10]", "[2001, 500491, 1, 1]", "", 10091, 10092, "10092 | 10093 | 10094 | 10095", 0, 20101, "Icon/Monster/icon_uiprofile_20101", "Icon/icon_challenge_fat_rabbit", "Icon/ChallengeFrame/frame_Challenge_fullmoon", "106,2,2", 7, 2, "", "", "", "EventFullMoonButton"
1002, 1002, "FALSE", "FALSE", "", "", "", 110, "[110, 10, 10]", "[2001, 500291, 1, 1]", "", 10191, 10192, "10192 | 10193 | 10194 | 10195", 10, 20102, "Icon/Monster/icon_uiprofile_20102", "Icon/icon_challenge_snowman", "Icon/ChallengeFrame/frame_Challenge_xmas", "110,2,2", 7, 2, "", "", "", "EventXmasButton"
1003, 1003, "FALSE", "FALSE", "", "", "", 111, "[111, 10, 10]", "[2001, 400391, 1, 1] | [101, 30000, 30000] |  [2001, 400591, 1, 1] | [102, 2000, 2000] | [2001, 400791, 1, 1] | [201, 5, 5] | [2001, 400491, 1, 1] | [2001, 300491, 1, 1]", "1 | 5 | 10 | 15 | 20 | 25 | 30 | 30", 10391, 10392, "10392 | 10393 | 10394 | 10395", 10, 20103, "Icon/Monster/icon_uiprofile_20103", "Icon/icon_challenge_newyear", "Icon/ChallengeFrame/frame_Challenge_newyear", "111,2,2", 7, 2, "", "", "", "EventNewYearButton"
1004, 1004, "FALSE", "FALSE", "", "", "", 112, "[112, 10, 10]", "[2001, 200491, 1, 1] | [2001, 200591, 1, 1] | [102, 2000, 2000] | [2001, 200291, 1, 1] | [201, 5, 5] | [2001, 200191, 1, 1] | [2001, 200391, 1, 1] | [2001, 300791, 1, 1]", "1000 | 2000 | 3000 | 4000 | 5000 | 6000 | 7000 | 7000", 10491, 10492, "10492 | 10493 | 10494 | 10495", 100, 20104, "Icon/Monster/icon_uiprofile_20104", "Icon/icon_challenge_dartgolem", "Icon/ChallengeFrame/frame_Challenge_carnival", "112,2,2", 7, 2, "", "", "", "EventLuckyCarnivalButton"
1005, 1005, "FALSE", "FALSE", "", "", "", 114, "[114, 100, 100]", "[6000, 64001, 1, 1]", "", 10591, 10592, "10592 | 10593 | 10594 | 10595", 10, "", "", "", "", "", "", "", 10, "1 | 2 | 3 | 4", "[114,4,4] | [114,5,5] | [114,6,6] | [114,7,7] ", "EventPetPicnicButton"
1006, 1006, "FALSE", "FALSE", "", "", "", 117, "[117, 10, 10]", "", "", 10691, 10692, "10692 | 10693 | 10694 | 10695 | 10696 | 10697 | 10698", 10, 20105, "Icon/Monster/icon_uiprofile_20105", "Icon/icon_challenge_1st_anni", "Icon/ChallengeFrame/frame_Challenge_1st", "117,2,2", 7, 2, "", "", "", "EventAnniversary1stButton"
1007, 1007, "FALSE", "FALSE", "", "", "", 119, "[119, 10, 10]", "[104, 50, 50] | [101, 30000, 30000] | [201, 5, 5] | [113, 50, 50] | [115, 200, 200] | [104, 300, 300] | [2001, 502191, 1, 1]", "5 | 10 | 15 | 20 | 25 | 30 | 30", 10791, 10792, "10792 | 10793 | 10794 | 10795 | 10796", 10, 20106, "Icon/Monster/icon_uiprofile_20106", "Icon/icon_challenge_summer_golem", "Icon/ChallengeFrame/frame_Challenge_summer", "119,2,2", 7, 2, "", "", "", "EventSummerButton"
1008, 1008, "FALSE", "FALSE", "", "", "", 120, "[120, 100, 100]", "[113, 100, 100] | [107, 30, 30]", "", 10891, 10892, "10892 | 10893 | 10894 | 10895 | 10896", 10, "", "", "", "", "", "", "", 10, "1 | 2 | 3 | 4 | 5", "[120,4,4] | [120,5,5] | [120,6,6] | [120,7,7] | [120, 8, 8]", "EventPetstivalButton"
1009, 1009, "TRUE", "FALSE", "", 10092, 172800, 121, "[121, 10, 10]", "", "", 10991, 10992, "10992 | 10993 | 10994 | 10995 | 10996 | 10997", 10, 20107, "Icon/Monster/icon_uiprofile_20107", "Icon/icon_challenge_fat_rabbit_2", "Icon/ChallengeFrame/frame_Challenge_fullmoon_2", "121,2,2", 7, 2, "", "", "", "EventUnnoriButton"
1010, 1010, "TRUE", "FALSE", "", "", "", 123, "[123, 100, 100]", "[2001, 500891, 1, 1]", "", 11091, 11092, "11092 | 11093 | 11094 | 11095 | 11096", 10, "", "", "", "", "", "", "", 10, "1 | 2 | 3 | 4 | 5", "[123,4,4] | [123,5,5] | [123,6,6] | [123,7,7] | [123, 8, 8]", "EventHalloweenButton"
