int, int, int, int, int, int, TableReward
Id, EventId, Level, NeedExp, Step, EventGroup, Reward_1
100601, 1006, 1, 300, 0, 0, "2000, 5021, 1, 1"
100602, 1006, 2, 400, 0, 0, "104,10,10"
100603, 1006, 3, 500, 0, 0, "101,10000,10000"
100604, 1006, 4, 700, 1, 0, "201,3,3"
100605, 1006, 5, 900, 1, 0, "103,300,300"
100606, 1006, 6, 1100, 1, 0, "102,1000,1000"
100607, 1006, 7, 1300, 2, 0, "101,20000,20000"
100608, 1006, 8, 1500, 2, 0, "113,30,30"
100609, 1006, 9, 1700, 2, 0, "115,50,50"
100610, 1006, 10, 1900, 3, 0, "107,5,5"
100611, 1006, 11, 2100, 3, 0, "201,5,5"
100612, 1006, 12, "", 0, 1, "102,2000,2000"
101201, 1012, 1, 300, 0, 0, "127,500,500"
101202, 1012, 2, 500, 0, 0, "104,10,10"
101203, 1012, 3, 600, 0, 0, "101,10000,10000"
101204, 1012, 4, 700, 1, 0, "201,3,3"
101205, 1012, 5, 800, 1, 0, "103,300,300"
101206, 1012, 6, 900, 1, 0, "102,1000,1000"
101207, 1012, 7, 1000, 2, 0, "101,20000,20000"
101208, 1012, 8, 1100, 2, 0, "113,30,30"
101209, 1012, 9, 1200, 2, 0, "115,50,50"
101210, 1012, 10, 1300, 3, 0, "107,5,5"
101211, 1012, 11, 1400, 3, 0, "201,5,5"
101212, 1012, 12, "", 0, 1, "102,2000,2000"
