int, EGradeType, int, float, TableReward
Id, Grade, GiveType, Ratio, Reward
1, "Legend", 0, "0.125", "116, 300, 300"
2, "Legend", 0, "0.125", "104, 600, 600"
3, "Legend", 0, "0.125", "201, 50, 50"
4, "Legend", 0, "0.125", "102, 30000, 30000"
5, "Epic", 0, "1.67", "116, 10, 10"
6, "Epic", 0, "1.67", "104, 20, 20"
7, "Epic", 0, "1.67", "201, 2, 2"
8, "Epic", 0, "1.67", "107, 4, 4"
9, "Epic", 0, "1.67", "113, 20, 20"
10, "Epic", 0, "1.67", "115, 100, 100"
11, "Rare", 0, "8.9", "104, 5, 5"
12, "Rare", 0, "8.9", "113, 5, 5"
13, "Rare", 0, "8.9", "115, 20, 20"
14, "Rare", 0, "8.9", "103, 100, 100"
15, "Rare", 0, "8.9", "101, 3000, 3000"
16, "Common", 0, "22.5", "101, 1000, 1000"
17, "Common", 0, "22.5", "103, 30, 30"
18, "Epic", 1, 0, "116, 10, 10"
19, "Epic", 1, 0, "104, 20, 20"
20, "Epic", 1, 0, "201, 2, 2"
21, "Epic", 1, 0, "107, 4, 4"
22, "Epic", 1, 0, "113, 20, 20"
23, "Epic", 1, 0, "115, 100, 100"
