int, EGradeType, string, string, float, float, float, TableReward, string
Id, Grade, Name, Description, Ratio, MinSize, MaxSize, Reward, IconResourceName
1, "Common", "fish_name_1", "fish_desc_1", 1, "0.1", 3, "125, 30, 30", "XmasFish_common_01"
2, "Common", "fish_name_2", "fish_desc_2", 1, "0.1", 3, "125, 30, 30", "XmasFish_common_02"
3, "Common", "fish_name_3", "fish_desc_3", 1, "0.1", 3, "125, 30, 30", "XmasFish_common_03"
4, "Common", "fish_name_4", "fish_desc_4", 1, "0.1", 3, "125, 30, 30", "XmasFish_common_04"
5, "Common", "fish_name_5", "fish_desc_5", 1, "0.1", 3, "125, 30, 30", "XmasFish_common_05"
6, "Common", "fish_name_6", "fish_desc_6", 1, "0.1", 3, "125, 30, 30", "XmasFish_common_06"
7, "Common", "fish_name_7", "fish_desc_7", 1, "0.1", 3, "125, 30, 30", "XmasFish_common_07"
8, "Common", "fish_name_8", "fish_desc_8", 1, "0.1", 3, "125, 30, 30", "XmasFish_common_08"
9, "Common", "fish_name_9", "fish_desc_9", 1, "0.1", 3, "125, 30, 30", "XmasFish_common_09"
10, "Common", "fish_name_10", "fish_desc_10", 1, "0.1", 3, "125, 30, 30", "XmasFish_common_10"
11, "Common", "fish_name_11", "fish_desc_11", 1, "0.1", 3, "125, 30, 30", "XmasFish_common_11"
12, "Common", "fish_name_12", "fish_desc_12", 1, "0.1", 3, "125, 30, 30", "XmasFish_common_12"
13, "Common", "fish_name_13", "fish_desc_13", 1, "0.1", 3, "125, 30, 30", "XmasFish_common_13"
14, "Common", "fish_name_14", "fish_desc_14", 1, "0.1", 3, "125, 30, 30", "XmasFish_common_14"
15, "Common", "fish_name_15", "fish_desc_15", 1, "0.1", 3, "125, 30, 30", "XmasFish_common_15"
16, "Common", "fish_name_16", "fish_desc_16", 1, "0.1", 3, "125, 30, 30", "XmasFish_common_16"
17, "Common", "fish_name_17", "fish_desc_17", 1, "0.1", 3, "125, 30, 30", "XmasFish_common_17"
18, "Common", "fish_name_18", "fish_desc_18", 1, "0.1", 3, "125, 30, 30", "XmasFish_common_18"
19, "Common", "fish_name_19", "fish_desc_19", 1, "0.1", 3, "125, 30, 30", "XmasFish_common_19"
20, "Common", "fish_name_20", "fish_desc_20", 1, "0.1", 3, "125, 30, 30", "XmasFish_common_20"
21, "Common", "fish_name_21", "fish_desc_21", 1, "0.1", 3, "125, 30, 30", "XmasFish_common_21"
22, "Common", "fish_name_22", "fish_desc_22", 1, "0.1", 3, "125, 30, 30", "XmasFish_common_22"
23, "Common", "fish_name_23", "fish_desc_23", 1, "0.1", 3, "125, 30, 30", "XmasFish_common_23"
24, "Common", "fish_name_24", "fish_desc_24", 1, "0.1", 3, "125, 30, 30", "XmasFish_common_24"
25, "Common", "fish_name_25", "fish_desc_25", 1, "0.1", 3, "125, 30, 30", "XmasFish_common_25"
26, "Rare", "fish_name_26", "fish_desc_26", 1, "1.5", 8, "125, 50, 50", "XmasFish_rare_01"
27, "Rare", "fish_name_27", "fish_desc_27", 1, "1.5", 8, "125, 50, 50", "XmasFish_rare_02"
28, "Rare", "fish_name_28", "fish_desc_28", 1, "1.5", 8, "125, 50, 50", "XmasFish_rare_03"
29, "Rare", "fish_name_29", "fish_desc_29", 1, "1.5", 8, "125, 50, 50", "XmasFish_rare_04"
30, "Rare", "fish_name_30", "fish_desc_30", 1, "1.5", 8, "125, 50, 50", "XmasFish_rare_05"
31, "Rare", "fish_name_31", "fish_desc_31", 1, "1.5", 8, "125, 50, 50", "XmasFish_rare_06"
32, "Rare", "fish_name_32", "fish_desc_32", 1, "1.5", 8, "125, 50, 50", "XmasFish_rare_07"
33, "Rare", "fish_name_33", "fish_desc_33", 1, "1.5", 8, "125, 50, 50", "XmasFish_rare_08"
34, "Rare", "fish_name_34", "fish_desc_34", 1, "1.5", 8, "125, 50, 50", "XmasFish_rare_09"
35, "Rare", "fish_name_35", "fish_desc_35", 1, "1.5", 8, "125, 50, 50", "XmasFish_rare_10"
36, "Rare", "fish_name_36", "fish_desc_36", 1, "1.5", 8, "125, 50, 50", "XmasFish_rare_11"
37, "Rare", "fish_name_37", "fish_desc_37", 1, "1.5", 8, "125, 50, 50", "XmasFish_rare_12"
38, "Rare", "fish_name_38", "fish_desc_38", 1, "1.5", 8, "125, 50, 50", "XmasFish_rare_13"
39, "Rare", "fish_name_39", "fish_desc_39", 1, "1.5", 8, "125, 50, 50", "XmasFish_rare_14"
40, "Rare", "fish_name_40", "fish_desc_40", 1, "1.5", 8, "125, 50, 50", "XmasFish_rare_15"
41, "Rare", "fish_name_41", "fish_desc_41", 1, "1.5", 8, "125, 50, 50", "XmasFish_rare_16"
42, "Rare", "fish_name_42", "fish_desc_42", 1, "1.5", 8, "125, 50, 50", "XmasFish_rare_17"
43, "Rare", "fish_name_43", "fish_desc_43", 1, "1.5", 8, "125, 50, 50", "XmasFish_rare_18"
44, "Rare", "fish_name_44", "fish_desc_44", 1, "1.5", 8, "125, 50, 50", "XmasFish_rare_19"
45, "Rare", "fish_name_45", "fish_desc_45", 1, "1.5", 8, "125, 50, 50", "XmasFish_rare_20"
46, "Rare", "fish_name_46", "fish_desc_46", 1, "1.5", 8, "125, 50, 50", "XmasFish_rare_21"
47, "Rare", "fish_name_47", "fish_desc_47", 1, "1.5", 8, "125, 50, 50", "XmasFish_rare_22"
48, "Rare", "fish_name_48", "fish_desc_48", 1, "1.5", 8, "125, 50, 50", "XmasFish_rare_23"
49, "Rare", "fish_name_49", "fish_desc_49", 1, "1.5", 8, "125, 50, 50", "XmasFish_rare_24"
50, "Rare", "fish_name_50", "fish_desc_50", 1, "1.5", 8, "125, 50, 50", "XmasFish_rare_25"
51, "Rare", "fish_name_51", "fish_desc_51", 1, "1.5", 8, "125, 50, 50", "XmasFish_rare_26"
52, "Rare", "fish_name_52", "fish_desc_52", 1, "1.5", 8, "125, 50, 50", "XmasFish_rare_27"
53, "Rare", "fish_name_53", "fish_desc_53", 1, "1.5", 8, "125, 50, 50", "XmasFish_rare_28"
54, "Rare", "fish_name_54", "fish_desc_54", 1, "1.5", 8, "125, 50, 50", "XmasFish_rare_29"
55, "Rare", "fish_name_55", "fish_desc_55", 1, "1.5", 8, "125, 50, 50", "XmasFish_rare_30"
56, "Rare", "fish_name_56", "fish_desc_56", 1, "1.5", 8, "125, 50, 50", "XmasFish_rare_31"
57, "Rare", "fish_name_57", "fish_desc_57", 1, "1.5", 8, "125, 50, 50", "XmasFish_rare_32"
58, "Rare", "fish_name_58", "fish_desc_58", 1, "1.5", 8, "125, 50, 50", "XmasFish_rare_33"
59, "Rare", "fish_name_59", "fish_desc_59", 1, "1.5", 8, "125, 50, 50", "XmasFish_rare_34"
60, "Rare", "fish_name_60", "fish_desc_60", 1, "1.5", 8, "125, 50, 50", "XmasFish_rare_35"
61, "Epic", "fish_name_61", "fish_desc_61", 1, "4.5", 20, "125, 100, 100", "XmasFish_epic_01"
62, "Epic", "fish_name_62", "fish_desc_62", 1, "4.5", 20, "125, 100, 100", "XmasFish_epic_02"
63, "Epic", "fish_name_63", "fish_desc_63", 1, "4.5", 20, "125, 100, 100", "XmasFish_epic_03"
64, "Epic", "fish_name_64", "fish_desc_64", 1, "4.5", 20, "125, 100, 100", "XmasFish_epic_04"
65, "Epic", "fish_name_65", "fish_desc_65", 1, "4.5", 20, "125, 100, 100", "XmasFish_epic_05"
66, "Epic", "fish_name_66", "fish_desc_66", 1, "4.5", 20, "125, 100, 100", "XmasFish_epic_06"
67, "Epic", "fish_name_67", "fish_desc_67", 1, "4.5", 20, "125, 100, 100", "XmasFish_epic_07"
68, "Epic", "fish_name_68", "fish_desc_68", 1, "4.5", 20, "125, 100, 100", "XmasFish_epic_08"
69, "Epic", "fish_name_69", "fish_desc_69", 1, "4.5", 20, "125, 100, 100", "XmasFish_epic_09"
70, "Epic", "fish_name_70", "fish_desc_70", 1, "4.5", 20, "125, 100, 100", "XmasFish_epic_10"
71, "Epic", "fish_name_71", "fish_desc_71", 1, "4.5", 20, "125, 100, 100", "XmasFish_epic_11"
72, "Epic", "fish_name_72", "fish_desc_72", 1, "4.5", 20, "125, 100, 100", "XmasFish_epic_12"
73, "Epic", "fish_name_73", "fish_desc_73", 1, "4.5", 20, "125, 100, 100", "XmasFish_epic_13"
74, "Epic", "fish_name_74", "fish_desc_74", 1, "4.5", 20, "125, 100, 100", "XmasFish_epic_14"
75, "Epic", "fish_name_75", "fish_desc_75", 1, "4.5", 20, "125, 100, 100", "XmasFish_epic_15"
76, "Epic", "fish_name_76", "fish_desc_76", 1, "4.5", 20, "125, 100, 100", "XmasFish_epic_16"
77, "Epic", "fish_name_77", "fish_desc_77", 1, "4.5", 20, "125, 100, 100", "XmasFish_epic_17"
78, "Epic", "fish_name_78", "fish_desc_78", 1, "4.5", 20, "125, 100, 100", "XmasFish_epic_18"
79, "Epic", "fish_name_79", "fish_desc_79", 1, "4.5", 20, "125, 100, 100", "XmasFish_epic_19"
80, "Epic", "fish_name_80", "fish_desc_80", 1, "4.5", 20, "125, 100, 100", "XmasFish_epic_20"
81, "Epic", "fish_name_81", "fish_desc_81", 1, "4.5", 20, "125, 100, 100", "XmasFish_epic_21"
