int, int, bool, bool, int, float, TableReward, float
Id, EventId, IsVariableGroup, IsHighReward, GachaGroup, CostRatio, Reward, Ratio
1, 1013, "FALSE", "FALSE", 0, 1, "[104,3,3]", 50
2, 1013, "FALSE", "FALSE", 0, 1, "[104,10,10]", 30
3, 1013, "FALSE", "FALSE", 0, 1, "[104,5,5]", 30
4, 1013, "FALSE", "TRUE", 0, 1, "[104,30,30]", 5
5, 1013, "FALSE", "FALSE", 0, 1, "[104,20,20]", 10
6, 1013, "FALSE", "FALSE", 0, 1, "[104,3,3]", 50
7, 1013, "FALSE", "TRUE", 0, 1, "[104,50,50]", 5
8, 1013, "FALSE", "FALSE", 0, 1, "[104,5,5]", 30
9, 1013, "FALSE", "FALSE", 1, 1, "[107,1,1]", 110
10, 1013, "FALSE", "FALSE", 1, 1, "[107,3,3]", 10
11, 1013, "FALSE", "FALSE", 1, 1, "[107,1,1]", 120
12, 1013, "FALSE", "TRUE", 1, 1, "[107,9,9]", 1
13, 1013, "FALSE", "FALSE", 1, 1, "[107,2,2]", 10
14, 1013, "FALSE", "FALSE", 1, 1, "[107,3,3]", 5
15, 1013, "FALSE", "TRUE", 1, 1, "[107,6,6]", 2
16, 1013, "FALSE", "FALSE", 1, 1, "[107,3,3]", 10
17, 1013, "FALSE", "FALSE", 2, 1, "[113,5,5]", 100
18, 1013, "FALSE", "FALSE", 2, 1, "[113,10,10]", 100
19, 1013, "FALSE", "TRUE", 2, 1, "[113,30,30]", 10
20, 1013, "FALSE", "FALSE", 2, 1, "[113,5,5]", 100
21, 1013, "FALSE", "FALSE", 2, 1, "[113,20,20]", 30
22, 1013, "FALSE", "FALSE", 2, 1, "[113,5,5]", 100
23, 1013, "FALSE", "TRUE", 2, 1, "[113,50,50]", 5
24, 1013, "FALSE", "FALSE", 2, 1, "[113,5,5]", 100
25, 1013, "FALSE", "FALSE", 3, 1, "[116,1,1]", 100
26, 1013, "FALSE", "FALSE", 3, 1, "[116,5,5]", 50
27, 1013, "FALSE", "FALSE", 3, 1, "[116,10,10]", 10
28, 1013, "FALSE", "FALSE", 3, 1, "[116,3,3]", 5
29, 1013, "FALSE", "FALSE", 3, 1, "[116,1,1]", 100
30, 1013, "FALSE", "TRUE", 3, 1, "[116,50,50]", 1
31, 1013, "FALSE", "FALSE", 3, 1, "[116,5,5]", 50
32, 1013, "FALSE", "TRUE", 3, 1, "[116,20,20]", 10
33, 1013, "TRUE", "FALSE", 4, 1, "[104,10,10]", 50
34, 1013, "TRUE", "FALSE", 4, 1, "[101,1000,1000]", 50
35, 1013, "TRUE", "FALSE", 4, 1, "[103,30,30]", 50
36, 1013, "TRUE", "FALSE", 4, 1, "[201,1,1]", 50
37, 1013, "TRUE", "FALSE", 4, 1, "[107,3,3]", 50
38, 1013, "TRUE", "FALSE", 4, 1, "[113,10,10]", 50
39, 1013, "TRUE", "FALSE", 4, 1, "[115,10,10]", 50
40, 1013, "TRUE", "FALSE", 4, 1, "[116,5,5]", 50
