int, System.DateTime, System.DateTime, int, int, int[]
Id, StartAt, EndAt, Duration, Seed, MileageShopProducts
1, "2025-04-24 0:00:00", "2025-04-28 0:00:00", 345600, 1, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007"
2, "2025-04-28 0:00:00", "2025-05-05 0:00:00", 604800, 2, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007"
3, "2025-05-05 0:00:00", "2025-05-12 0:00:00", 604800, 3, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007"
4, "2025-05-12 0:00:00", "2025-05-19 0:00:00", 604800, 4, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
5, "2025-05-19 0:00:00", "2025-05-26 0:00:00", 604800, 5, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
6, "2025-05-26 0:00:00", "2025-06-02 0:00:00", 604800, 6, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
7, "2025-06-02 0:00:00", "2025-06-09 0:00:00", 604800, 7, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
8, "2025-06-09 0:00:00", "2025-06-16 0:00:00", 604800, 8, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
9, "2025-06-16 0:00:00", "2025-06-23 0:00:00", 604800, 9, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
10, "2025-06-23 0:00:00", "2025-06-30 0:00:00", 604800, 10, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
11, "2025-06-30 0:00:00", "2025-07-07 0:00:00", 604800, 11, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
12, "2025-07-07 0:00:00", "2025-07-14 0:00:00", 604800, 12, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
13, "2025-07-14 0:00:00", "2025-07-21 0:00:00", 604800, 13, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
14, "2025-07-21 0:00:00", "2025-07-28 0:00:00", 604800, 14, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
15, "2025-07-28 0:00:00", "2025-08-04 0:00:00", 604800, 15, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
16, "2025-08-04 0:00:00", "2025-08-11 0:00:00", 604800, 16, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
17, "2025-08-11 0:00:00", "2025-08-18 0:00:00", 604800, 17, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
18, "2025-08-18 0:00:00", "2025-08-25 0:00:00", 604800, 18, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
19, "2025-08-25 0:00:00", "2025-09-01 0:00:00", 604800, 19, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
20, "2025-09-01 0:00:00", "2025-09-08 0:00:00", 604800, 20, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
21, "2025-09-08 0:00:00", "2025-09-15 0:00:00", 604800, 21, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
22, "2025-09-15 0:00:00", "2025-09-22 0:00:00", 604800, 22, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
23, "2025-09-22 0:00:00", "2025-09-29 0:00:00", 604800, 23, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
24, "2025-09-29 0:00:00", "2025-10-06 0:00:00", 604800, 24, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
25, "2025-10-06 0:00:00", "2025-10-13 0:00:00", 604800, 25, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
26, "2025-10-13 0:00:00", "2025-10-20 0:00:00", 604800, 26, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
27, "2025-10-20 0:00:00", "2025-10-27 0:00:00", 604800, 27, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
28, "2025-10-27 0:00:00", "2025-11-03 0:00:00", 604800, 28, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
29, "2025-11-03 0:00:00", "2025-11-10 0:00:00", 604800, 29, "130001 | 130002 | 130003 | 130004 | 130005 | 130006 | 130007 | 130008"
