int, int, int, int, TableReward, float
Id, EventId, Step, Limit, Reward, Ratio
1, 1001, 0, 1, "[2001,100191, 1, 1]", "12.5"
2, 1001, 0, 1, "[104, 10, 10]", "12.5"
3, 1001, 0, 2, "[201, 1, 1]", "12.5"
4, 1001, 0, 2, "[102, 500, 500]", "12.5"
5, 1001, 0, -1, "[101, 500, 500]", "12.5"
6, 1001, 0, -1, "[101, 1000, 1000]", "12.5"
7, 1001, 0, -1, "[103, 15, 15]", "12.5"
8, 1001, 0, -1, "[103, 30, 30]", "12.5"
9, 1001, 1, 1, "[2001,100291, 1, 1]", "12.5"
10, 1001, 1, 1, "[104, 10, 10]", "12.5"
11, 1001, 1, 2, "[201, 1, 1]", "12.5"
12, 1001, 1, 2, "[102, 500, 500]", "12.5"
13, 1001, 1, -1, "[101, 500, 500]", "12.5"
14, 1001, 1, -1, "[101, 1000, 1000]", "12.5"
15, 1001, 1, -1, "[103, 15, 15]", "12.5"
16, 1001, 1, -1, "[103, 30, 30]", "12.5"
17, 1001, 2, 1, "[2001,100391, 1, 1]", "12.5"
18, 1001, 2, 1, "[104, 10, 10]", "12.5"
19, 1001, 2, 2, "[201, 1, 1]", "12.5"
20, 1001, 2, 2, "[102, 500, 500]", "12.5"
21, 1001, 2, -1, "[101, 500, 500]", "12.5"
22, 1001, 2, -1, "[101, 1000, 1000]", "12.5"
23, 1001, 2, -1, "[103, 15, 15]", "12.5"
24, 1001, 2, -1, "[103, 30, 30]", "12.5"
25, 1001, 3, 1, "[2001,100491, 1, 1]", "12.5"
26, 1001, 3, 1, "[104, 10, 10]", "12.5"
27, 1001, 3, 2, "[201, 1, 1]", "12.5"
28, 1001, 3, 2, "[102, 500, 500]", "12.5"
29, 1001, 3, -1, "[101, 500, 500]", "12.5"
30, 1001, 3, -1, "[101, 1000, 1000]", "12.5"
31, 1001, 3, -1, "[103, 15, 15]", "12.5"
32, 1001, 3, -1, "[103, 30, 30]", "12.5"
33, 1001, 4, 1, "[2001,100591, 1, 1]", "12.5"
34, 1001, 4, 1, "[104, 10, 10]", "12.5"
35, 1001, 4, 2, "[201, 1, 1]", "12.5"
36, 1001, 4, 2, "[102, 500, 500]", "12.5"
37, 1001, 4, -1, "[101, 500, 500]", "12.5"
38, 1001, 4, -1, "[101, 1000, 1000]", "12.5"
39, 1001, 4, -1, "[103, 15, 15]", "12.5"
40, 1001, 4, -1, "[103, 30, 30]", "12.5"
41, 1002, 0, 1, "[2001,300691, 1, 1]", "12.5"
42, 1002, 0, 1, "[104, 10, 10]", "12.5"
43, 1002, 0, 2, "[201, 1, 1]", "12.5"
44, 1002, 0, 2, "[102, 500, 500]", "12.5"
45, 1002, 0, -1, "[101, 500, 500]", "12.5"
46, 1002, 0, -1, "[101, 1000, 1000]", "12.5"
47, 1002, 0, -1, "[103, 15, 15]", "12.5"
48, 1002, 0, -1, "[103, 30, 30]", "12.5"
49, 1002, 1, 1, "[2001,300291, 1, 1]", "12.5"
50, 1002, 1, 1, "[104, 10, 10]", "12.5"
51, 1002, 1, 2, "[201, 1, 1]", "12.5"
52, 1002, 1, 2, "[102, 500, 500]", "12.5"
53, 1002, 1, -1, "[101, 500, 500]", "12.5"
54, 1002, 1, -1, "[101, 1000, 1000]", "12.5"
55, 1002, 1, -1, "[103, 15, 15]", "12.5"
56, 1002, 1, -1, "[103, 30, 30]", "12.5"
57, 1002, 2, 1, "[2001,300391, 1, 1]", "12.5"
58, 1002, 2, 1, "[104, 10, 10]", "12.5"
59, 1002, 2, 2, "[201, 1, 1]", "12.5"
60, 1002, 2, 2, "[102, 500, 500]", "12.5"
