int, int, EGuildBattleAreaType, EGuildBattleBuildingType, string, string, int[], int[], int, int, int
Id, AreaNumber, AreaType, BuildingType, Title, Description, Group, AvailableClassCategory, BossMonsterId, TryCount, ConquerPoint
1, 1, "Grassland", "Small", "title_battle_area_1", "desc_battle_area_1", "251001 | 251002 | 251003 | 251004 | 251005 | 251006 | 251007 | 251008 | 251009 | 251010 | 251011 | 251012 | 251013 | 251014 | 251015 | 251016 | 251017 | 251018 | 251019 | 251020 | 251021 | 251022 | 251023 | 251024 | 251025 | 251026 | 251027 | 251028 | 251029 | 251030", "", 251101, 8, 150
2, 2, "Grassland", "Medium", "title_battle_area_10", "desc_battle_area_10", "251001 | 251002 | 251003 | 251004 | 251005 | 251006 | 251007 | 251008 | 251009 | 251010 | 251011 | 251012 | 251013 | 251014 | 251015 | 251016 | 251017 | 251018 | 251019 | 251020 | 251021 | 251022 | 251023 | 251024 | 251025 | 251026 | 251027 | 251028 | 251029 | 251030", "6 | 2 | 2 | 4", 251101, 10, 200
3, 3, "Grassland", "Small", "title_battle_area_2", "desc_battle_area_2", "251001 | 251002 | 251003 | 251004 | 251005 | 251006 | 251007 | 251008 | 251009 | 251010 | 251011 | 251012 | 251013 | 251014 | 251015 | 251016 | 251017 | 251018 | 251019 | 251020 | 251021 | 251022 | 251023 | 251024 | 251025 | 251026 | 251027 | 251028 | 251029 | 251030", "", 251101, 8, 150
4, 4, "Wilderness", "Small", "title_battle_area_3", "desc_battle_area_3", "251001 | 251002 | 251003 | 251004 | 251005 | 251006 | 251007 | 251008 | 251009 | 251010 | 251011 | 251012 | 251013 | 251014 | 251015 | 251016 | 251017 | 251018 | 251019 | 251020 | 251021 | 251022 | 251023 | 251024 | 251025 | 251026 | 251027 | 251028 | 251029 | 251030", "6 | 6 | 5 | 5", 251102, 8, 150
5, 5, "Wilderness", "Medium", "title_battle_area_11", "desc_battle_area_11", "251001 | 251002 | 251003 | 251004 | 251005 | 251006 | 251007 | 251008 | 251009 | 251010 | 251011 | 251012 | 251013 | 251014 | 251015 | 251016 | 251017 | 251018 | 251019 | 251020 | 251021 | 251022 | 251023 | 251024 | 251025 | 251026 | 251027 | 251028 | 251029 | 251030", "", 251103, 10, 200
6, 6, "Plateau", "Medium", "title_battle_area_12", "desc_battle_area_12", "251001 | 251002 | 251003 | 251004 | 251005 | 251006 | 251007 | 251008 | 251009 | 251010 | 251011 | 251012 | 251013 | 251014 | 251015 | 251016 | 251017 | 251018 | 251019 | 251020 | 251021 | 251022 | 251023 | 251024 | 251025 | 251026 | 251027 | 251028 | 251029 | 251030", "", 251101, 10, 200
7, 7, "Plateau", "Large", "title_battle_area_15", "desc_battle_area_15", "251001 | 251002 | 251003 | 251004 | 251005 | 251006 | 251007 | 251008 | 251009 | 251010 | 251011 | 251012 | 251013 | 251014 | 251015 | 251016 | 251017 | 251018 | 251019 | 251020 | 251021 | 251022 | 251023 | 251024 | 251025 | 251026 | 251027 | 251028 | 251029 | 251030", "6 | 1 | 2 | 5", 251101, 15, 350
8, 8, "Wilderness", "Small", "title_battle_area_4", "desc_battle_area_4", "251001 | 251002 | 251003 | 251004 | 251005 | 251006 | 251007 | 251008 | 251009 | 251010 | 251011 | 251012 | 251013 | 251014 | 251015 | 251016 | 251017 | 251018 | 251019 | 251020 | 251021 | 251022 | 251023 | 251024 | 251025 | 251026 | 251027 | 251028 | 251029 | 251030", "", 251103, 8, 150
9, 9, "Wilderness", "Small", "title_battle_area_5", "desc_battle_area_5", "251001 | 251002 | 251003 | 251004 | 251005 | 251006 | 251007 | 251008 | 251009 | 251010 | 251011 | 251012 | 251013 | 251014 | 251015 | 251016 | 251017 | 251018 | 251019 | 251020 | 251021 | 251022 | 251023 | 251024 | 251025 | 251026 | 251027 | 251028 | 251029 | 251030", "6 | 6 | 2 | 4", 251104, 8, 150
