int, int, int, int[], int[], int[], int[], int[]
Id, GroupId, Level, HotZone, TileIdList, HotZoneWeights, AppearMin, AppearMax
1, 1, 1, "0 | 0 | 35 | 47", "1 | 2 | 3 | 4 | 5 | 6", "8970 | 1000 | 30 | 0 | 0 | 0", "1 | 1 | 1 | 0 | 0 | 0", "-1 | -1 | -1 | 0 | 0 | 0"
2, 1, 2, "2 | 7 | 9 | 15", "1 | 2 | 3 | 4 | 5 | 6", "6500 | 3000 | 500 | 0 | 0 | 0", "1 | 1 | 1 | 0 | 0 | 0", "-1 | -1 | -1 | 0 | 0 | 0"
3, 1, 3, "27 | 27 | 34 | 35", "1 | 2 | 3 | 4 | 5 | 6", "6500 | 3000 | 500 | 0 | 0 | 0", "1 | 1 | 1 | 0 | 0 | 0", "-1 | -1 | -1 | 0 | 0 | 0"
4, 1, 4, "2 | 42 | 15 | 47", "1 | 2 | 3 | 4 | 5 | 6", "6600 | 3000 | 400 | 0 | 0 | 0", "1 | 1 | 1 | 0 | 0 | 0", "-1 | -1 | -1 | 0 | 0 | 0"
5, 2, 1, "0 | 0 | 35 | 47", "1 | 2 | 3 | 4 | 5 | 6", "8850 | 1100 | 30 | 20 | 0 | 0", "1 | 1 | 1 | 1 | 0 | 0", "-1 | -1 | -1 | -1 | 0 | 0"
6, 2, 2, "20 | 5 | 32 | 11", "1 | 2 | 3 | 4 | 5 | 6", "6450 | 3000 | 450 | 100 | 0 | 0", "1 | 1 | 1 | 1 | 0 | 0", "-1 | -1 | -1 | -1 | 0 | 0"
7, 2, 3, "2 | 13 | 11 | 23", "1 | 2 | 3 | 4 | 5 | 6", "6510 | 3000 | 400 | 90 | 0 | 0", "1 | 1 | 1 | 1 | 0 | 0", "-1 | -1 | -1 | -1 | 0 | 0"
8, 2, 4, "4 | 45 | 32 | 47", "1 | 2 | 3 | 4 | 5 | 6", "6400 | 3000 | 500 | 100 | 0 | 0", "1 | 1 | 1 | 1 | 0 | 0", "-1 | -1 | -1 | -1 | 0 | 0"
9, 3, 1, "0 | 0 | 35 | 47", "1 | 2 | 3 | 4 | 5 | 6", "8730 | 1200 | 40 | 30 | 0 | 0", "1 | 1 | 1 | 1 | 0 | 0", "-1 | -1 | -1 | -1 | 0 | 0"
10, 3, 2, "13 | 6 | 21 | 23", "1 | 2 | 3 | 4 | 5 | 6", "6500 | 3100 | 300 | 100 | 0 | 0", "1 | 1 | 1 | 1 | 0 | 0", "-1 | -1 | -1 | -1 | 0 | 0"
11, 3, 3, "0 | 30 | 5 | 39", "1 | 2 | 3 | 4 | 5 | 6", "6400 | 2500 | 800 | 300 | 0 | 0", "1 | 1 | 1 | 1 | 0 | 0", "-1 | -1 | -1 | -1 | 0 | 0"
12, 3, 4, "30 | 34 | 35 | 47", "1 | 2 | 3 | 4 | 5 | 6", "5750 | 3500 | 550 | 200 | 0 | 0", "1 | 1 | 1 | 1 | 0 | 0", "-1 | -1 | -1 | -1 | 0 | 0"
13, 4, 1, "0 | 0 | 35 | 47", "1 | 2 | 3 | 4 | 5 | 6", "8620 | 1300 | 40 | 30 | 10 | 0", "1 | 1 | 1 | 1 | 1 | 0", "-1 | -1 | -1 | -1 | -1 | 0"
14, 4, 2, "1 | 6 | 34 | 8", "1 | 2 | 3 | 4 | 5 | 6", "5170 | 4000 | 500 | 250 | 80 | 0", "1 | 1 | 1 | 1 | 1 | 0", "-1 | -1 | -1 | -1 | -1 | 0"
15, 4, 3, "0 | 25 | 18 | 29", "1 | 2 | 3 | 4 | 5 | 6", "5150 | 3900 | 550 | 300 | 100 | 0", "1 | 1 | 1 | 1 | 1 | 0", "-1 | -1 | -1 | -1 | -1 | 0"
16, 4, 4, "14 | 36 | 34 | 41", "1 | 2 | 3 | 4 | 5 | 6", "5275 | 4000 | 450 | 200 | 75 | 0", "1 | 1 | 1 | 1 | 1 | 0", "-1 | -1 | -1 | -1 | -1 | 0"
17, 5, 1, "0 | 0 | 35 | 47", "1 | 2 | 3 | 4 | 5 | 6", "8490 | 1400 | 50 | 40 | 20 | 0", "1 | 1 | 1 | 1 | 1 | 0", "-1 | -1 | -1 | -1 | -1 | 0"
18, 5, 2, "27 | 4 | 33 | 17", "1 | 2 | 3 | 4 | 5 | 6", "4820 | 4000 | 600 | 400 | 180 | 0", "1 | 1 | 1 | 1 | 1 | 0", "-1 | -1 | -1 | -1 | -1 | 0"
19, 5, 3, "18 | 25 | 24 | 41", "1 | 2 | 3 | 4 | 5 | 6", "7590 | 1500 | 450 | 300 | 160 | 0", "1 | 1 | 1 | 1 | 1 | 0", "-1 | -1 | -1 | -1 | -1 | 0"
20, 5, 4, "2 | 32 | 5 | 46", "1 | 2 | 3 | 4 | 5 | 6", "5200 | 3000 | 900 | 600 | 300 | 0", "1 | 1 | 1 | 1 | 1 | 0", "-1 | -1 | -1 | -1 | -1 | 0"
