int, System.DateTime, System.DateTime, System.DateTime, int
Id, StartAt, FreeAt, EndAt, FloorGroupId
1, "2025-08-24 0:00:00", "2025-09-08 0:00:00", "2025-09-09 0:00:00", 1
2, "2025-09-09 0:00:00", "2025-09-22 0:00:00", "2025-09-23 0:00:00", 1
3, "2025-09-23 0:00:00", "2025-10-06 0:00:00", "2025-10-07 0:00:00", 1
4, "2025-10-07 0:00:00", "2025-10-20 0:00:00", "2025-10-21 0:00:00", 1
5, "2025-10-21 0:00:00", "2025-11-03 0:00:00", "2025-11-04 0:00:00", 1
6, "2025-11-04 0:00:00", "2025-11-17 0:00:00", "2025-11-18 0:00:00", 1
7, "2025-11-18 0:00:00", "2025-12-01 0:00:00", "2025-12-02 0:00:00", 1
8, "2025-12-02 0:00:00", "2025-12-15 0:00:00", "2025-12-16 0:00:00", 1
9, "2025-12-16 0:00:00", "2025-12-29 0:00:00", "2025-12-30 0:00:00", 1
10, "2025-12-30 0:00:00", "2026-01-12 0:00:00", "2026-01-13 0:00:00", 1
11, "2026-01-13 0:00:00", "2026-01-26 0:00:00", "2026-01-27 0:00:00", 1
12, "2026-01-27 0:00:00", "2026-02-09 0:00:00", "2026-02-10 0:00:00", 1
13, "2026-02-10 0:00:00", "2026-02-23 0:00:00", "2026-02-24 0:00:00", 1
14, "2026-02-24 0:00:00", "2026-03-09 0:00:00", "2026-03-10 0:00:00", 1
15, "2026-03-10 0:00:00", "2026-03-23 0:00:00", "2026-03-24 0:00:00", 1
16, "2026-03-24 0:00:00", "2026-04-06 0:00:00", "2026-04-07 0:00:00", 1
17, "2026-04-07 0:00:00", "2026-04-20 0:00:00", "2026-04-21 0:00:00", 1
18, "2026-04-21 0:00:00", "2026-05-04 0:00:00", "2026-05-05 0:00:00", 1
19, "2026-05-05 0:00:00", "2026-05-18 0:00:00", "2026-05-19 0:00:00", 1
20, "2026-05-19 0:00:00", "2026-06-01 0:00:00", "2026-06-02 0:00:00", 1
21, "2026-06-02 0:00:00", "2026-06-15 0:00:00", "2026-06-16 0:00:00", 1
22, "2026-06-16 0:00:00", "2026-06-29 0:00:00", "2026-06-30 0:00:00", 1
23, "2026-06-30 0:00:00", "2026-07-13 0:00:00", "2026-07-14 0:00:00", 1
24, "2026-07-14 0:00:00", "2026-07-27 0:00:00", "2026-07-28 0:00:00", 1
25, "2026-07-28 0:00:00", "2026-08-10 0:00:00", "2026-08-11 0:00:00", 1
26, "2026-08-11 0:00:00", "2026-08-24 0:00:00", "2026-08-25 0:00:00", 1
27, "2026-08-25 0:00:00", "2026-09-07 0:00:00", "2026-09-08 0:00:00", 1
28, "2026-09-08 0:00:00", "2026-09-21 0:00:00", "2026-09-22 0:00:00", 1
29, "2026-09-22 0:00:00", "2026-10-05 0:00:00", "2026-10-06 0:00:00", 1
30, "2026-10-06 0:00:00", "2026-10-19 0:00:00", "2026-10-20 0:00:00", 1
31, "2026-10-20 0:00:00", "2026-11-02 0:00:00", "2026-11-03 0:00:00", 1
32, "2026-11-03 0:00:00", "2026-11-16 0:00:00", "2026-11-17 0:00:00", 1
33, "2026-11-17 0:00:00", "2026-11-30 0:00:00", "2026-12-01 0:00:00", 1
34, "2026-12-01 0:00:00", "2026-12-14 0:00:00", "2026-12-15 0:00:00", 1
35, "2026-12-15 0:00:00", "2026-12-28 0:00:00", "2026-12-29 0:00:00", 1
36, "2026-12-29 0:00:00", "2027-01-11 0:00:00", "2027-01-12 0:00:00", 1
37, "2027-01-12 0:00:00", "2027-01-25 0:00:00", "2027-01-26 0:00:00", 1
38, "2027-01-26 0:00:00", "2027-02-08 0:00:00", "2027-02-09 0:00:00", 1
39, "2027-02-09 0:00:00", "2027-02-22 0:00:00", "2027-02-23 0:00:00", 1
40, "2027-02-23 0:00:00", "2027-03-08 0:00:00", "2027-03-09 0:00:00", 1
41, "2027-03-09 0:00:00", "2027-03-22 0:00:00", "2027-03-23 0:00:00", 1
42, "2027-03-23 0:00:00", "2027-04-05 0:00:00", "2027-04-06 0:00:00", 1
43, "2027-04-06 0:00:00", "2027-04-19 0:00:00", "2027-04-20 0:00:00", 1
44, "2027-04-20 0:00:00", "2027-05-03 0:00:00", "2027-05-04 0:00:00", 1
45, "2027-05-04 0:00:00", "2027-05-17 0:00:00", "2027-05-18 0:00:00", 1
46, "2027-05-18 0:00:00", "2027-05-31 0:00:00", "2027-06-01 0:00:00", 1
47, "2027-06-01 0:00:00", "2027-06-14 0:00:00", "2027-06-15 0:00:00", 1
48, "2027-06-15 0:00:00", "2027-06-28 0:00:00", "2027-06-29 0:00:00", 1
49, "2027-06-29 0:00:00", "2027-07-12 0:00:00", "2027-07-13 0:00:00", 1
50, "2027-07-13 0:00:00", "2027-07-26 0:00:00", "2027-07-27 0:00:00", 1
51, "2027-07-27 0:00:00", "2027-08-09 0:00:00", "2027-08-10 0:00:00", 1
52, "2027-08-10 0:00:00", "2027-08-23 0:00:00", "2027-08-24 0:00:00", 1
53, "2027-08-24 0:00:00", "2027-09-06 0:00:00", "2027-09-07 0:00:00", 1
54, "2027-09-07 0:00:00", "2027-09-20 0:00:00", "2027-09-21 0:00:00", 1
55, "2027-09-21 0:00:00", "2027-10-04 0:00:00", "2027-10-05 0:00:00", 1
56, "2027-10-05 0:00:00", "2027-10-18 0:00:00", "2027-10-19 0:00:00", 1
57, "2027-10-19 0:00:00", "2027-11-01 0:00:00", "2027-11-02 0:00:00", 1
58, "2027-11-02 0:00:00", "2027-11-15 0:00:00", "2027-11-16 0:00:00", 1
59, "2027-11-16 0:00:00", "2027-11-29 0:00:00", "2027-11-30 0:00:00", 1
60, "2027-11-30 0:00:00", "2027-12-13 0:00:00", "2027-12-14 0:00:00", 1
61, "2027-12-14 0:00:00", "2027-12-27 0:00:00", "2027-12-28 0:00:00", 1
62, "2027-12-28 0:00:00", "2028-01-10 0:00:00", "2028-01-11 0:00:00", 1
63, "2028-01-11 0:00:00", "2028-01-24 0:00:00", "2028-01-25 0:00:00", 1
64, "2028-01-25 0:00:00", "2028-02-07 0:00:00", "2028-02-08 0:00:00", 1
65, "2028-02-08 0:00:00", "2028-02-21 0:00:00", "2028-02-22 0:00:00", 1
66, "2028-02-22 0:00:00", "2028-03-06 0:00:00", "2028-03-07 0:00:00", 1
67, "2028-03-07 0:00:00", "2028-03-20 0:00:00", "2028-03-21 0:00:00", 1
68, "2028-03-21 0:00:00", "2028-04-03 0:00:00", "2028-04-04 0:00:00", 1
69, "2028-04-04 0:00:00", "2028-04-17 0:00:00", "2028-04-18 0:00:00", 1
70, "2028-04-18 0:00:00", "2028-05-01 0:00:00", "2028-05-02 0:00:00", 1
71, "2028-05-02 0:00:00", "2028-05-15 0:00:00", "2028-05-16 0:00:00", 1
72, "2028-05-16 0:00:00", "2028-05-29 0:00:00", "2028-05-30 0:00:00", 1
73, "2028-05-30 0:00:00", "2028-06-12 0:00:00", "2028-06-13 0:00:00", 1
74, "2028-06-13 0:00:00", "2028-06-26 0:00:00", "2028-06-27 0:00:00", 1
75, "2028-06-27 0:00:00", "2028-07-10 0:00:00", "2028-07-11 0:00:00", 1
76, "2028-07-11 0:00:00", "2028-07-24 0:00:00", "2028-07-25 0:00:00", 1
77, "2028-07-25 0:00:00", "2028-08-07 0:00:00", "2028-08-08 0:00:00", 1
78, "2028-08-08 0:00:00", "2028-08-21 0:00:00", "2028-08-22 0:00:00", 1
79, "2028-08-22 0:00:00", "2028-09-04 0:00:00", "2028-09-05 0:00:00", 1
80, "2028-09-05 0:00:00", "2028-09-18 0:00:00", "2028-09-19 0:00:00", 1
81, "2028-09-19 0:00:00", "2028-10-02 0:00:00", "2028-10-03 0:00:00", 1
82, "2028-10-03 0:00:00", "2028-10-16 0:00:00", "2028-10-17 0:00:00", 1
83, "2028-10-17 0:00:00", "2028-10-30 0:00:00", "2028-10-31 0:00:00", 1
