int, string, int, int[]
Id, EquipmentName, ExclusiveUnitId, StatIds
300001, "text_hallow300001", "", 300001
300002, "text_hallow300002", "", 300002
300003, "text_hallow300003", "", 300003
300004, "text_hallow300004", "", 300004
300005, "text_hallow300005", "", 300005
300006, "text_hallow300006", "", 300006
300007, "text_hallow300007", "", 300007
300008, "text_hallow300008", "", 300008
300009, "text_hallow300009", "", 300009
300010, "text_hallow300010", "", 300010
300011, "text_hallow300011", "", 300011
300012, "text_hallow300012", "", 300012
300013, "text_hallow300013", "", 300013
300014, "text_hallow300014", "", 300014
300015, "text_hallow300015", "", 300015
300016, "text_hallow300016", "", 300016
300017, "text_hallow300017", "", 300017
300018, "text_hallow300018", "", 300018
300019, "text_hallow300019", "", 300019
300020, "text_hallow300020", "", 300020
303004, "text_hallow303004", 3004, "303004 | 313004"
303007, "text_hallow303007", 3007, "303007 | 313007"
304001, "text_hallow304001", 4001, "304001 | 314001"
304002, "text_hallow304002", 4002, "304002 | 314002"
304006, "text_hallow304006", 4006, "304006 | 314006"
305001, "text_hallow305001", 5001, "305001 | 315001"
305002, "text_hallow305002", 5002, "305002 | 315002"
305003, "text_hallow305003", 5003, "305003 | 315003"
305004, "text_hallow305004", 5004, "305004 | 315004"
305005, "text_hallow305005", 5005, "305005 | 315005"
305006, "text_hallow305006", 5006, "305006 | 315006"
305007, "text_hallow305007", 5007, "305007 | 315007"
305008, "text_hallow305008", 5008, "305008 | 315008"
305009, "text_hallow305009", 5009, "305009 | 315009"
305010, "text_hallow305010", 5010, "305010 | 315010"
305011, "text_hallow305011", 5011, "305011 | 315011"
305012, "text_hallow305012", 5012, "305012 | 315012"
305013, "text_hallow305013", 5013, "305013 | 315013"
305014, "text_hallow305014", 5014, "305014 | 315014"
305015, "text_hallow305015", 5015, "305015 | 315015"
305016, "text_hallow305016", 5016, "305016 | 315016"
305017, "text_hallow305017", 5017, "305017 | 315017"
305018, "text_hallow305018", 5018, "305018 | 315018"
305019, "text_hallow305019", 5019, "305019 | 315019"
305020, "text_hallow305020", 5020, "305020 | 315020"
305021, "text_hallow305021", 5021, "305021 | 315021"
305022, "text_hallow305022", 5022, "305022 | 315022"
305023, "text_hallow305023", 5023, "305023 | 315023"
305024, "text_hallow305024", 5024, "305024 | 315024"
