"int", "ConditionLevel", 10
"int", "HallowCost", 3
"float", "ExclusiveDrawProbability", 3
"float", "MileageDrawProbability", 10
"float", "MileageDrawProbabilityPlus", 5
"int[]", "UpgradeNeedPointCost", "0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 1"
"int[]", "UpgradeNeedGoldCost", "5000 | 10000 | 15000 | 20000 | 25000 | 30000 | 35000 | 40000 | 45000 | 50000"
"float[]", "UpgradeProbability", "90 | 80 | 70 | 60 | 50 | 40 | 30 | 15 | 5 | 1"
"float[]", "BonusProbability", "9 | 8 | 7 | 6 | 5 | 4 | 3 | 1.5 | 0.5 | 0.1"
"float", "BonusMaxRatio", 1
"int", "MileageAddAmount", 1
"int", "MileageMaxCount", 10
