int, EStatType, string, FP[], FP[], FP[], FP[]
Id, StatType, Description, Params, UpgradeParams_1, UpgradeParams_2, UpgradeParams_3
300001, "PhysicalDamage", "text_statbuff_PhysicalDamage", 0, "1 | 2 | 3 | 5 | 6 | 7 | 8 | 9 | 11 | 13 | 15"
300002, "MagicalDamage", "text_statbuff_MagicalDamage", 0, "1 | 2 | 3 | 5 | 6 | 7 | 8 | 9 | 11 | 13 | 15"
300003, "AttackDamage", "text_statbuff_AttackDamage", 0, "1 | 2 | 3 | 5 | 6 | 7 | 8 | 9 | 11 | 13 | 15"
300004, "AttackSpeed", "text_statbuff_AttackSpeed", 0, "1 | 1.5 | 2 | 2.5 | 3 | 3.5 | 4 | 4.5 | 5 | 6 | 7"
300005, "SpRegen", "text_statbuff_SpRegen", 0, "1 | 2 | 3 | 5 | 7 | 9 | 12 | 15 | 18 | 21 | 25"
300006, "CooltimeRegen", "text_statbuff_CooltimeRegen", 0, "1 | 2 | 3 | 5 | 6 | 7 | 8 | 9 | 11 | 13 | 15"
300007, "CriticalPercentage", "text_statbuff_CriticalPercentage", 0, "1 | 1.5 | 2 | 2.5 | 3 | 4 | 5 | 6 | 7 | 8 | 10"
300008, "CriticalDamage", "text_statbuff_CriticalDamage", 0, "1 | 2 | 3 | 5 | 7 | 9 | 12 | 15 | 18 | 21 | 25"
300009, "StunDamage", "text_statbuff_StunDamage", 0, "1 | 2 | 3 | 5 | 6 | 7 | 8 | 9 | 11 | 13 | 15"
300010, "MonsterDefenseDecrease", "text_statbuff_MonsterDefenseDecrease", 0, "1 | 2 | 3 | 5 | 7 | 9 | 11 | 13 | 15 | 17 | 20"
300011, "MovementSpeed", "text_statbuff_MovementSpeed", 0, "3 | 5 | 7 | 9 | 11 | 15 | 20 | 30 | 40 | 50 | 70"
300012, "BasicAttackDamage", "text_statbuff_BasicAttackDamage", 0, "1 | 2 | 3 | 5 | 7 | 9 | 11 | 13 | 15 | 17 | 20"
300013, "SkillDamage", "text_statbuff_SkillDamage", 0, "1 | 2 | 3 | 5 | 6 | 7 | 8 | 9 | 11 | 13 | 15"
300014, "SkillChancePercentage", "text_statbuff_SkillChancePercentage", 0, "0.1 | 0.2 | 0.5 | 0.7 | 1 | 1.5 | 2 | 2.5 | 3 | 3.5 | 4"
300015, "AttackCountDecrease", "text_statbuff_AttackCountDecrease", 0, "1 | 2 | 3 | 5 | 6 | 7 | 8 | 9 | 11 | 13 | 15"
300016, "SpawnDamageBuff", "text_statbuff_SpawnDamageBuff", 0, "1 | 2 | 3 | 5 | 7 | 9 | 12 | 15 | 18 | 21 | 25", "10 | 10 | 10 | 10 | 10 | 10 | 10 | 10 | 10 | 10 | 10"
300017, "AfterMoveDamageBuff", "text_statbuff_AfterMoveDamageBuff", 0, "1 | 2 | 3 | 5 | 7 | 9 | 11 | 13 | 15 | 17 | 20", "3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3"
300018, "WaveStartDamageBuff", "text_statbuff_WaveStartDamageBuff", 0, "1 | 2 | 3 | 5 | 7 | 9 | 11 | 13 | 15 | 17 | 20", "5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5 | 5"
300019, "WaveStartManaRegen", "text_statbuff_WaveStartManaRegen", 0, "1 | 2 | 3 | 5 | 6 | 7 | 8 | 9 | 11 | 13 | 15"
300020, "UltimateDamage", "text_statbuff_UltimateDamage", 0, "1 | 2 | 3 | 5 | 7 | 9 | 11 | 13 | 15 | 17 | 20"
303004, "ExclusiveSkill_3004_1", "text_statbuff_ExclusiveSkill_3004_1", 0, "10 | 20 | 40 | 60 | 80 | 100 | 120 | 140 | 160 | 180 | 200"
313004, "SkillChancePercentage", "text_statbuff_SkillChancePercentage", 0, "0.1 | 0.3 | 0.5 | 1 | 1.5 | 2 | 2.5 | 3 | 3.5 | 4 | 5"
303007, "ExclusiveSkill_3007_1", "text_statbuff_ExclusiveSkill_3007_1", 0, "1 | 2 | 3 | 5 | 6 | 7 | 8 | 9 | 11 | 13 | 15"
313007, "UltimateDamage", "text_statbuff_UltimateDamage", 0, "1 | 2 | 3 | 5 | 7 | 10 | 13 | 16 | 19 | 22 | 25"
304001, "ExclusiveSkill_4001_1", "text_statbuff_ExclusiveSkill_4001_1", 0, "1 | 2 | 3 | 5 | 6 | 7 | 8 | 9 | 11 | 13 | 15", "3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3"
314001, "SkillChancePercentage", "text_statbuff_SkillChancePercentage", 0, "0.1 | 0.3 | 0.5 | 1 | 1.5 | 2 | 2.5 | 3 | 3.5 | 4 | 5"
