int, int, int, EHiddenCountType, int[], System.DateTime
Id, UnitId, ProfileId, CountType, Params, ShowDate
130041, 3004, 130041, "TotalValue", 50, "2025-05-20 0:00:00"
130071, 3007, 130071, "TotalValue", 3, "2025-05-20 0:00:00"
140011, 4001, 140011, "TotalValue", 150, "2025-05-20 0:00:00"
140021, 4002, 140021, "TotalValue", 20000, "2025-05-20 0:00:00"
140061, 4006, 140061, "TotalValue", 100, "2025-05-20 0:00:00"
150011, 5001, 150011, "TotalValue", 3, "2025-07-31 0:00:00"
150021, 5002, 150021, "TotalValue", 300, "2025-05-20 0:00:00"
150031, 5003, 150031, "TotalValue", 6, "2025-05-20 0:00:00"
150041, 5104, 150041, "SpawnCount", 7, "2025-05-20 0:00:00"
150051, 5005, 150051, "PassCount", 1200, "2025-05-20 0:00:00"
150061, 5106, 150061, "SpawnCount", 7, "2025-05-20 0:00:00"
150071, 5007, 150071, "TotalValue", 200, "2025-05-20 0:00:00"
150091, 5009, 150091, "PassCount", 2, "2025-05-20 0:00:00"
150101, 5010, 150101, "PassCount", 16, "2025-05-20 0:00:00"
150111, 5011, 150111, "TotalValue", 700, "2025-05-20 0:00:00"
150121, 5012, 150121, "TotalValue", 4, "2025-05-20 0:00:00"
150131, 5013, 150131, "PassCount", 350, "2025-05-20 0:00:00"
150141, 5014, 150141, "PassCount", 1, "2025-05-20 0:00:00"
150151, 5115, 150151, "SpawnCount", 5, "2025-05-20 0:00:00"
150161, 5016, 150161, "TotalValue", 5, "2025-05-20 0:00:00"
150171, 5017, 150171, "TotalValue", 10, "2025-05-20 0:00:00"
150181, 5018, 150181, "PassCount", 90, "2025-07-31 0:00:00"
150191, 5019, 150191, "TotalValue", 150, "2025-11-20 0:00:00"
150201, 5020, 150201, "TotalValue", 10, "2025-11-20 0:00:00"
