int, int, int, int, int, int, int, int, int, int, int[], FP, int
Id, WaveGroup, Step, MonsterId, GivePoint, GiveSpecialPoint, GiveCombatPoint, GiveOriginPoint, WinCombatPoint, GiveSelectPoint, GiveHuntBuffId, SpawnCooltime, TimeLimit
30001, 2, 0, 30001, 100, 0, 0, 0, 0, 0, 0, 0, 0
30002, 2, 1, 30002, 0, 1, 0, 0, 0, 0, 0, 0, 0
30003, 2, 2, 30003, 0, 1, 0, 0, 0, 0, 0, 0, 0
30004, 2, 3, 30004, 0, 1, 0, 0, 0, 0, 0, 0, 0
30005, 2, 4, 30005, 0, 1, 0, 0, 0, 0, 0, 0, 0
40001, 4, 0, 40001, 100, 0, 0, 0, 0, 0, "4001 | 4002 | 4003", 0, 180
40002, 4, 1, 40002, 0, 1, 0, 0, 0, 0, "4004 | 4005 | 4007", 0, 180
40003, 4, 2, 40003, 0, 1, 0, 0, 0, 0, "4008 | 4009 | 4010", 0, 180
40004, 4, 3, 40004, 0, 1, 0, 0, 0, 0, "4012 | 4013 | 4014 | 4016", 0, 180
40005, 4, 4, 40005, 0, 1, 0, 0, 0, 0, "4001 | 4002 | 4003 | 4004 | 4005 | 4007 | 4008 | 4009 | 4010 | 4012 | 4013 | 4014 | 4016", 0, 180
