int, int, int, int[], long, FP, int, int, int, int
Id, WaveGroup, Step, MonsterIds, BossHPAddRatio, DamageReductionRatio, GivePoint, GiveSpecialPoint, GiveBuffCardId, TimeLimit
3060001, 306, 0, 3060005, 50, 0, 500, 2, 306001, 300
3060002, 306, 1, 3060003, 150, 0, 1000, 2, 306002, 300
3060003, 306, 2, 3060004, 500, 0, 1500, 3, 306003, 300
3060004, 306, 3, 3060001, 1500, 0, 2000, 3, 306004, 300
3060005, 306, 4, 3060002, 4000, 0, 2500, 3, 306005, 300
3060006, 306, 5, 3060006, 6000, 0, 1000, 2, 0, 0
3060007, 306, 6, 3060006, 10000, 0, 1000, 2, 0, 0
3060008, 306, 7, 3060006, 12000, 0, 1000, 2, 0, 0
3060009, 306, 8, 3060006, 14000, 0, 1000, 2, 0, 0
3060010, 306, 9, 3060006, 16000, 0, 1000, 2, 0, 0
3060011, 306, 10, 3060006, 18000, 0, 1000, 2, 0, 0
3060012, 306, 11, 3060006, 20000, 0, 1000, 2, 0, 0
3060013, 306, 12, 3060006, 25000, 0, 1000, 2, 0, 0
3060014, 306, 13, 3060006, 30000, 0, 1000, 2, 0, 0
3060015, 306, 14, 3060006, 40000, 0, 1000, 2, 0, 0
3060016, 306, 15, 3060006, 50000, 0, 1000, 2, 0, 0
3060017, 306, 16, 3060006, 60000, 0, 1000, 2, 0, 0
3060018, 306, 17, 3060006, 70000, 0, 1000, 2, 0, 0
3060019, 306, 18, 3060006, 80000, 0, 1000, 2, 0, 0
3060020, 306, 19, 3060006, 90000, 0, 1000, 2, 0, 0
3060021, 306, 20, 3060006, 100000, 0, 1000, 2, 0, 0
3060022, 306, 21, 3060006, 110000, 0, 1000, 2, 0, 0
3060023, 306, 22, 3060006, 120000, 0, 1000, 2, 0, 0
3060024, 306, 23, 3060006, 130000, 0, 1000, 2, 0, 0
3060025, 306, 24, 3060006, 140000, 0, 1000, 2, 0, 0
3060026, 306, 25, 3060006, 150000, 0, 1000, 2, 0, 0
3060027, 306, 26, 3060006, 160000, 0, 1000, 2, 0, 0
3060028, 306, 27, 3060006, 170000, 0, 1000, 2, 0, 0
3060029, 306, 28, 3060006, 180000, 0, 1000, 2, 0, 0
3060030, 306, 29, 3060006, 190000, 0, 1000, 2, 0, 0
3060031, 306, 30, 3060006, 200000, 0, 1000, 2, 0, 0
3060032, 306, 31, 3060006, 210000, 0, 1000, 2, 0, 0
3060033, 306, 32, 3060006, 220000, 0, 1000, 2, 0, 0
3060034, 306, 33, 3060006, 230000, 0, 1000, 2, 0, 0
3060035, 306, 34, 3060006, 240000, 0, 1000, 2, 0, 0
3060036, 306, 35, 3060006, 250000, 0, 1000, 2, 0, 0
3060037, 306, 36, 3060006, 260000, 0, 1000, 2, 0, 0
3060038, 306, 37, 3060006, 270000, 0, 1000, 2, 0, 0
3060039, 306, 38, 3060006, 280000, 0, 1000, 2, 0, 0
3060040, 306, 39, 3060006, 290000, 0, 1000, 2, 0, 0
3060041, 306, 40, 3060006, 300000, 0, 1000, 2, 0, 0
3060042, 306, 41, 3060006, 310000, 0, 1000, 2, 0, 0
3060043, 306, 42, 3060006, 320000, 0, 1000, 2, 0, 0
3060044, 306, 43, 3060006, 330000, 0, 1000, 2, 0, 0
3060045, 306, 44, 3060006, 340000, 0, 1000, 2, 0, 0
3060046, 306, 45, 3060006, 350000, 0, 1000, 2, 0, 0
3060047, 306, 46, 3060006, 360000, 0, 1000, 2, 0, 0
3060048, 306, 47, 3060006, 370000, 0, 1000, 2, 0, 0
3060049, 306, 48, 3060006, 380000, 0, 1000, 2, 0, 0
3060050, 306, 49, 3060006, 390000, 0, 1000, 2, 0, 0
3060051, 306, 50, 3060006, 400000, 0, 1000, 2, 0, 0
3060052, 306, 51, 3060006, 410000, 0, 1000, 2, 0, 0
3060053, 306, 52, 3060006, 420000, 0, 1000, 2, 0, 0
3060054, 306, 53, 3060006, 430000, 0, 1000, 2, 0, 0
3060055, 306, 54, 3060006, 440000, 0, 1000, 2, 0, 0
3060056, 306, 55, 3060006, 450000, 0, 1000, 2, 0, 0
3060057, 306, 56, 3060006, 460000, 0, 1000, 2, 0, 0
3060058, 306, 57, 3060006, 470000, 0, 1000, 2, 0, 0
3060059, 306, 58, 3060006, 480000, 0, 1000, 2, 0, 0
3060060, 306, 59, 3060006, 490000, 0, 1000, 2, 0, 0
3060061, 306, 60, 3060006, 500000, 0, 1000, 2, 0, 0
3060062, 306, 61, 3060006, 510000, 0, 1000, 2, 0, 0
3060063, 306, 62, 3060006, 520000, 0, 1000, 2, 0, 0
3060064, 306, 63, 3060006, 530000, 0, 1000, 2, 0, 0
3060065, 306, 64, 3060006, 540000, 0, 1000, 2, 0, 0
3060066, 306, 65, 3060006, 550000, 0, 1000, 2, 0, 0
3060067, 306, 66, 3060006, 560000, 0, 1000, 2, 0, 0
3060068, 306, 67, 3060006, 570000, 0, 1000, 2, 0, 0
3060069, 306, 68, 3060006, 580000, 0, 1000, 2, 0, 0
3060070, 306, 69, 3060006, 590000, 0, 1000, 2, 0, 0
3060071, 306, 70, 3060006, 600000, 0, 1000, 2, 0, 0
3060072, 306, 71, 3060006, 610000, 0, 1000, 2, 0, 0
3060073, 306, 72, 3060006, 620000, 0, 1000, 2, 0, 0
3060074, 306, 73, 3060006, 630000, 0, 1000, 2, 0, 0
3060075, 306, 74, 3060006, 640000, 0, 1000, 2, 0, 0
3060076, 306, 75, 3060006, 650000, 0, 1000, 2, 0, 0
3060077, 306, 76, 3060006, 660000, 0, 1000, 2, 0, 0
3060078, 306, 77, 3060006, 670000, 0, 1000, 2, 0, 0
3060079, 306, 78, 3060006, 680000, 0, 1000, 2, 0, 0
3060080, 306, 79, 3060006, 690000, 0, 1000, 2, 0, 0
3060081, 306, 80, 3060006, 700000, 0, 1000, 2, 0, 0
3060082, 306, 81, 3060006, 710000, 0, 1000, 2, 0, 0
3060083, 306, 82, 3060006, 720000, 0, 1000, 2, 0, 0
3060084, 306, 83, 3060006, 730000, 0, 1000, 2, 0, 0
3060085, 306, 84, 3060006, 740000, 0, 1000, 2, 0, 0
3060086, 306, 85, 3060006, 750000, 0, 1000, 2, 0, 0
3060087, 306, 86, 3060006, 760000, 0, 1000, 2, 0, 0
3060088, 306, 87, 3060006, 770000, 0, 1000, 2, 0, 0
3060089, 306, 88, 3060006, 780000, 0, 1000, 2, 0, 0
3060090, 306, 89, 3060006, 790000, 0, 1000, 2, 0, 0
3060091, 306, 90, 3060006, 800000, 0, 1000, 2, 0, 0
3060092, 306, 91, 3060006, 810000, 0, 1000, 2, 0, 0
3060093, 306, 92, 3060006, 820000, 0, 1000, 2, 0, 0
3060094, 306, 93, 3060006, 830000, 0, 1000, 2, 0, 0
3060095, 306, 94, 3060006, 840000, 0, 1000, 2, 0, 0
3060096, 306, 95, 3060006, 850000, 0, 1000, 2, 0, 0
3060097, 306, 96, 3060006, 860000, 0, 1000, 2, 0, 0
3060098, 306, 97, 3060006, 870000, 0, 1000, 2, 0, 0
3060099, 306, 98, 3060006, 880000, 0, 1000, 2, 0, 0
3060100, 306, 99, 3060006, 890000, 0, 1000, 2, 0, 0
3060101, 306, 100, 3060006, 900000, 0, 1000, 2, 0, 0
3060102, 306, 101, 3060006, 910000, 0, 1000, 2, 0, 0
3060103, 306, 102, 3060006, 920000, 0, 1000, 2, 0, 0
3060104, 306, 103, 3060006, 930000, 0, 1000, 2, 0, 0
3060105, 306, 104, 3060006, 940000, 0, 1000, 2, 0, 0
3060106, 306, 105, 3060006, 950000, 0, 1000, 2, 0, 0
3060107, 306, 106, 3060006, 960000, 0, 1000, 2, 0, 0
3060108, 306, 107, 3060006, 970000, 0, 1000, 2, 0, 0
3060109, 306, 108, 3060006, 980000, 0, 1000, 2, 0, 0
3060110, 306, 109, 3060006, 990000, 0, 1000, 2, 0, 0
3060111, 306, 110, 3060006, 1000000, 0, 1000, 2, 0, 0
3060112, 306, 111, 3060006, 1010000, 0, 1000, 2, 0, 0
3060113, 306, 112, 3060006, 1020000, 0, 1000, 2, 0, 0
3060114, 306, 113, 3060006, 1030000, 0, 1000, 2, 0, 0
3060115, 306, 114, 3060006, 1040000, 0, 1000, 2, 0, 0
3060116, 306, 115, 3060006, 1050000, 0, 1000, 2, 0, 0
3060117, 306, 116, 3060006, 1060000, 0, 1000, 2, 0, 0
3060118, 306, 117, 3060006, 1070000, 0, 1000, 2, 0, 0
3060119, 306, 118, 3060006, 1080000, 0, 1000, 2, 0, 0
3060120, 306, 119, 3060006, 1090000, 0, 1000, 2, 0, 0
3060121, 306, 120, 3060006, 1100000, 0, 1000, 2, 0, 0
3060122, 306, 121, 3060006, 1110000, 0, 1000, 2, 0, 0
3060123, 306, 122, 3060006, 1120000, 0, 1000, 2, 0, 0
3060124, 306, 123, 3060006, 1130000, 0, 1000, 2, 0, 0
3060125, 306, 124, 3060006, 1140000, 0, 1000, 2, 0, 0
3060126, 306, 125, 3060006, 1150000, 0, 1000, 2, 0, 0
3060127, 306, 126, 3060006, 1160000, 0, 1000, 2, 0, 0
3060128, 306, 127, 3060006, 1170000, 0, 1000, 2, 0, 0
3060129, 306, 128, 3060006, 1180000, 0, 1000, 2, 0, 0
3060130, 306, 129, 3060006, 1190000, 0, 1000, 2, 0, 0
3060131, 306, 130, 3060006, 1200000, 0, 1000, 2, 0, 0
3060132, 306, 131, 3060006, 1210000, 0, 1000, 2, 0, 0
3060133, 306, 132, 3060006, 1220000, 0, 1000, 2, 0, 0
3060134, 306, 133, 3060006, 1230000, 0, 1000, 2, 0, 0
3060135, 306, 134, 3060006, 1240000, 0, 1000, 2, 0, 0
3060136, 306, 135, 3060006, 1250000, 0, 1000, 2, 0, 0
3060137, 306, 136, 3060006, 1260000, 0, 1000, 2, 0, 0
3060138, 306, 137, 3060006, 1270000, 0, 1000, 2, 0, 0
3060139, 306, 138, 3060006, 1280000, 0, 1000, 2, 0, 0
3060140, 306, 139, 3060006, 1290000, 0, 1000, 2, 0, 0
3060141, 306, 140, 3060006, 1300000, 0, 1000, 2, 0, 0
3060142, 306, 141, 3060006, 1310000, 0, 1000, 2, 0, 0
3060143, 306, 142, 3060006, 1320000, 0, 1000, 2, 0, 0
3060144, 306, 143, 3060006, 1330000, 0, 1000, 2, 0, 0
3060145, 306, 144, 3060006, 1340000, 0, 1000, 2, 0, 0
3060146, 306, 145, 3060006, 1350000, 0, 1000, 2, 0, 0
3060147, 306, 146, 3060006, 1360000, 0, 1000, 2, 0, 0
3060148, 306, 147, 3060006, 1370000, 0, 1000, 2, 0, 0
3060149, 306, 148, 3060006, 1380000, 0, 1000, 2, 0, 0
3060150, 306, 149, 3060006, 1390000, 0, 1000, 2, 0, 0
3060151, 306, 150, 3060006, 1400000, 0, 1000, 2, 0, 0
3060152, 306, 151, 3060006, 1410000, 0, 1000, 2, 0, 0
3060153, 306, 152, 3060006, 1420000, 0, 1000, 2, 0, 0
3060154, 306, 153, 3060006, 1430000, 0, 1000, 2, 0, 0
3060155, 306, 154, 3060006, 1440000, 0, 1000, 2, 0, 0
3060156, 306, 155, 3060006, 1450000, 0, 1000, 2, 0, 0
