int, bool, string, string, bool, string
Id, HasSubId, Name, Description, OnlyReceiveSingle, IconImageName
1, "FALSE", "item_name_1", "item_description_1", "FALSE", "icon_stamina"
2, "FALSE", "item_name_2", "item_description_2", "FALSE", "icon_resource_combat_ticket"
3, "FALSE", "item_name_3", "item_description_3", "FALSE", "icon_resource_guild_ticket"
4, "FALSE", "item_name_4", "item_description_4", "FALSE", "icon_resource_guild_ticket"
5, "FALSE", "item_name_5", "item_description_5", "FALSE", "icon_resource_singlemode_stamina"
10, "FALSE", "item_name_10", "item_description_10", "FALSE", "icon_exp"
11, "FALSE", "item_name_11", "item_description_11", "FALSE", "icon_wave_pass_point"
12, "FALSE", "item_name_12", "item_description_12", "FALSE", "icon_quest_point"
13, "FALSE", "item_name_13", "item_description_13", "FALSE", "icon_resource_quest_point_fullmoon"
14, "FALSE", "item_name_14", "item_description_14", "FALSE", "icon_resource_quest_point_xmas"
15, "FALSE", "item_name_15", "item_description_15", "FALSE", "icon_resource_quest_point_newyear"
16, "FALSE", "item_name_16", "item_description_16", "FALSE", "icon_resource_quest_point_luckycarnival"
17, "FALSE", "item_name_17", "item_description_17", "FALSE", "icon_resource_quest_point_petpicnic"
18, "FALSE", "item_name_18", "item_description_18", "FALSE", "icon_resource_quest_point_anniversary1st"
19, "FALSE", "item_name_19", "item_description_19", "FALSE", "icon_resource_event_exp"
20, "FALSE", "item_name_20", "item_description_20", "FALSE", "icon_resource_quest_point_summer"
21, "FALSE", "item_name_21", "item_description_21", "FALSE", "icon_resource_quest_point_petstival"
22, "FALSE", "item_name_22", "item_description_22", "FALSE", "icon_resource_quest_point_fullmoon_unnori"
23, "FALSE", "item_name_23", "item_description_23", "FALSE", "icon_resource_event_exp"
24, "FALSE", "item_name_24", "item_description_24", "FALSE", "icon_resource_quest_point_Halloween"
25, "FALSE", "item_name_25", "item_description_25", "FALSE", "icon_resource_quest_point_XmasV2"
26, "FALSE", "item_name_26", "item_description_26", "FALSE", "icon_resource_quest_point_anniversary1st"
27, "FALSE", "item_name_27", "item_description_27", "FALSE", "icon_resource_event_exp"
28, "FALSE", "item_name_28", "item_description_28", "FALSE", "icon_resource_quest_point_runeevent"
101, "FALSE", "item_name_101", "item_description_101", "FALSE", "icon_resource_gold"
102, "FALSE", "item_name_102", "item_description_102", "FALSE", "icon_resource_dia"
103, "FALSE", "item_name_103", "item_description_103", "FALSE", "icon_resource_scroll"
104, "FALSE", "item_name_104", "item_description_104", "FALSE", "icon_Mythstone"
105, "FALSE", "item_name_105", "item_description_105", "FALSE", "icon_resource_resetticket"
106, "FALSE", "item_name_106", "item_description_106", "FALSE", "icon_resource_fullmoon"
107, "FALSE", "item_name_107", "item_description_107", "FALSE", "icon_resource_chur"
108, "FALSE", "item_name_108", "item_description_108", "TRUE", "icon_resource_resetticket_5006"
109, "FALSE", "item_name_109", "item_description_109", "FALSE", "icon_resource_guildtoken"
110, "FALSE", "item_name_110", "item_description_110", "FALSE", "icon_resource_xmas"
111, "FALSE", "item_name_111", "item_description_111", "FALSE", "icon_resource_newyear"
112, "FALSE", "item_name_112", "item_description_112", "FALSE", "icon_resource_luckycarnival"
113, "FALSE", "item_name_113", "item_description_113", "FALSE", "icon_resource_pet_draw"
114, "FALSE", "item_name_114", "item_description_114", "FALSE", "icon_resource_petpicnic"
115, "FALSE", "item_name_115", "item_description_115", "FALSE", "icon_resource_pet_upgrade"
116, "FALSE", "item_name_116", "item_description_116", "FALSE", "icon_resource_hyper"
117, "FALSE", "item_name_117", "item_description_117", "FALSE", "icon_resource_anniversary_1st"
118, "FALSE", "item_name_118", "item_description_118", "FALSE", "icon_resource_resetticket"
119, "FALSE", "item_name_119", "item_description_119", "FALSE", "icon_resource_summer"
120, "FALSE", "item_name_120", "item_description_120", "FALSE", "icon_resource_petstival"
121, "FALSE", "item_name_121", "item_description_121", "FALSE", "icon_resource_fullmoon_unnori_play"
122, "FALSE", "item_name_122", "item_description_122", "FALSE", "icon_resource_fullmoon_unnori_store"
123, "FALSE", "item_name_123", "item_description_123", "FALSE", "icon_resource_halloween"
124, "FALSE", "item_name_124", "item_description_124", "FALSE", "icon_resource_xmas_v2_play"
125, "FALSE", "item_name_125", "item_description_125", "FALSE", "icon_resource_xmas_v2_store"
126, "FALSE", "item_name_126", "item_description_126", "FALSE", "icon_resource_xmas_v2_draw"
127, "FALSE", "item_name_127", "item_description_127", "FALSE", "icon_resource_event_newbie"
128, "FALSE", "item_name_128", "item_description_128", "FALSE", "icon_resource_gacha_play"
129, "FALSE", "item_name_129", "item_description_129", "FALSE", "icon_resource_eventrune"
140, "FALSE", "item_name_140", "item_description_140", "FALSE", "icon_resource_hyper_extended_point"
141, "FALSE", "item_name_141", "item_description_141", "FALSE", "icon_resource_rune_ticket"
151, "FALSE", "item_name_151", "item_description_151", "FALSE", "icon_resource_mileage_unit"
152, "FALSE", "item_name_152", "item_description_152", "FALSE", "icon_resource_mileage_combat"
153, "FALSE", "item_name_153", "item_description_153", "FALSE", "icon_resource_mileage_event"
164, "FALSE", "item_name_164", "item_description_164", "TRUE", "icon_resource_godmode_box_point"
192, "FALSE", "item_name_192", "item_description_192", "FALSE", "icon_resource_difficultybox_hard"
193, "FALSE", "item_name_193", "item_description_193", "FALSE", "icon_resource_difficultybox_hell"
194, "FALSE", "item_name_194", "item_description_194", "FALSE", "icon_resource_difficultybox_god"
195, "FALSE", "item_name_195", "item_description_195", "TRUE", "icon_resource_difficultybox_origin"
196, "FALSE", "item_name_195", "item_description_195", "FALSE", "icon_resource_difficultybox_origin"
200, "TRUE", "item_name_200", "item_description_200", "FALSE", "icon_box_key_{0}"
201, "FALSE", "item_name_201", "item_description_201", "FALSE", "icon_box_key_1"
202, "FALSE", "item_name_202", "item_description_202", "FALSE", "icon_box_key_2"
203, "FALSE", "item_name_203", "item_description_203", "FALSE", "icon_box_key_3"
204, "FALSE", "item_name_204", "item_description_204", "FALSE", "icon_resource_masterpiece_key"
205, "FALSE", "item_name_205", "item_description_205", "FALSE", "icon_resource_masterpiece_draw"
210, "FALSE", "item_name_210", "item_description_210", "FALSE", "icon_resource_singlemode_treelog"
300, "TRUE", "item_name_300", "item_description_300", "TRUE", "icon_relic_box_{0}"
400, "TRUE", "item_name_400", "item_description_400", "FALSE", "icon_random_relic_{0}"
500, "TRUE", "item_name_500", "item_description_500", "FALSE", "icon_random_unit_{0}"
600, "FALSE", "item_name_600", "item_description_600", "FALSE", "icon_random_myth"
700, "TRUE", "item_name_700", "item_description_700", "FALSE", "icon_emoji_{0}"
800, "TRUE", "item_name_800", "item_description_800", "FALSE"
900, "FALSE", "item_name_900", "item_description_900", "TRUE", "icon_resource_resetticket"
901, "FALSE", "item_name_901", "item_description_901", "TRUE", "icon_resource_resetticket"
1000, "TRUE", "item_name_1000", "item_description_1000", "FALSE", "icon_relic_{0}"
2000, "TRUE", "item_name_2000", "item_description_2000", "FALSE", "icon_relic_{0}"
2001, "TRUE", "item_name_2001", "item_description_2001", "FALSE", "icon_skin_{0}"
3000, "TRUE", "item_name_3000", "item_description_3000", "FALSE", "icon_profile_{0}"
3001, "TRUE", "item_name_3001", "item_description_3001", "FALSE", "icon_frame_{0}"
3002, "TRUE", "item_name_3002", "item_description_3002", "FALSE", "icon_nametag_{0}"
3003, "TRUE", "item_name_3003", "item_description_3003", "FALSE", "icon_emoji_{0}"
3004, "TRUE", "item_name_3004", "item_description_3004", "FALSE", "icon_emoji_{0}"
4000, "FALSE", "item_name_4000", "item_description_4000", "FALSE", "icon_BadgeVip"
4001, "FALSE", "item_name_4001", "item_description_4001", "FALSE", "icon_BadgeVVip"
4101, "FALSE", "item_name_4101", "item_description_4101", "FALSE", "icon_frame_{0}"
4201, "FALSE", "item_name_4201", "item_description_4201", "FALSE", "icon_playmultiple"
5000, "TRUE", "item_name_5000", "item_description_5000", "FALSE", "icon_frame_{0}"
6000, "TRUE", "item_name_6000", "item_description_6000", "FALSE", "icon_pet_{0}"
7000, "TRUE", "item_name_7000", "item_description_7000", "FALSE", "icon_rune_{0}"
8000, "TRUE", "item_name_8000", "item_description_8000", "FALSE", "icon_resource_rune_{0}"
9000, "FALSE", "item_name_9000", "item_description_9000", "FALSE", "icon_resource_guild_exp"
