"float", "MatchingDuration", 10
"float", "ReplayTimeout", 10
"int", "TryReconnectCount", 5
"float", "TryReconnectInterval", 3
"int", "PlayerTtlInSeconds", 0
"int", "EmptyRoomTtlInSeconds", 0
"float", "StartGameTimeoutInSeconds", 20
"float", "ReconnectInformationTimeout", 15
"int", "ChecksumInterval", 0
"bool", "UseSelectRegion", "FALSE"
"int", "MaxVerifiedTicksPerUpdate", 2100000000
"int", "RollbackWindow", 30
"int", "OffsetMin", 0
"float", "GameRequestTimeoutSec", 60
"int", "MatchingBanLimit", 3
"int", "CombatMatchingBanLimit", 5
"float", "PlusContributionPercent1", "0.95"
"float", "PlusContributionValue1", 2
"float", "PlusContributionPercent2", "0.8"
"float", "PlusContributionValue2", 1
"float", "MinusContributionPercent1", "0.05"
"float", "MinusContributionValue1", -2
"float", "MinusContributionPercent2", "0.2"
"float", "MinusContributionValue2", -1
"float", "MinContributionValue", -5
"float", "MaxContributionValue", 5
"float", "ContributionValueRatio", 10
"int", "TutorialMacthingUserLevel", 5
"float", "TutorialMacthingDuration", 10
