int, int, EMissionType, EMissionCheckType, string, string, string, FP[], int, int
Id, WaveGroup, MissionType, MissionCheckType, IconName, TitleName, Description, Parameters, GivePoint, GiveSpecialPoint
10001, 1, "GradeAllFindUnit", "Spawn", "", "mission_title_1", "mission_description_1", "0 | 5", 100
10002, 1, "GradeAllFindUnit", "Spawn", "", "mission_title_2", "mission_description_2", "1 | 5", 100
10003, 1, "GradeAllFindUnit", "Spawn", "", "mission_title_3", "mission_description_3", "2 | 5", "", 1
10004, 1, "GradeOwnUnit", "Spawn", "Emblem/emblem_grade_4_legend", "mission_title_4", "mission_description_4", "3 | 3", "", 2
10005, 1, "HasPoint", "GivePoint", "icon_resource_coin", "mission_title_5", "mission_description_5", "0 | 1000", 50
10006, 1, "HasPoint", "GivePoint", "icon_resource_lucky_gem", "mission_title_6", "mission_description_6", "1 | 10", 50
10007, 1, "ChallengeTimeAttack", "Challenge", "Emblem/emblem_mission_challenge", "mission_title_8", "mission_description_8", "10 | 1", 100
10008, 1, "Sell", "Sell", "Emblem/emblem_mission_challenge", "mission_title_16", "mission_description_16", 5, 100
10009, 1, "Lotto", "Spawn", "Emblem/emblem_grade_3_hero", "mission_title_10", "mission_description_10", "2 | 3", 50
10010, 1, "Lotto", "Spawn", "Emblem/emblem_grade_4_legend", "mission_title_11", "mission_description_11", "3 | 1", 100
10011, 1, "Gambling", "Gambling", "Emblem/emblem_gamble_common", "mission_title_12", "mission_description_12", "-1 | 20", "", 1
10012, 1, "GamblingFailed", "Gambling", "Emblem/emblem_gamble_common", "mission_title_13", "mission_description_13", "-1 | 10", 50
10013, 1, "GamblingSuccess", "Gambling", "Emblem/emblem_gamble_legend", "mission_title_14", "mission_description_14", "3 | 3", 100
10014, 1, "GamblingFailed", "Gambling", "Emblem/emblem_gamble_legend", "mission_title_15", "mission_description_15", "3 | 5", "", 1
10015, 1, "Kill", "Kill", "Emblem/emblem_mission_challenge", "mission_title_17", "mission_description_17", 40, 100
10016, 1, "Upgrade", "Upgrade", "Emblem/emblem_mission_challenge", "mission_title_18", "mission_description_18", 2, 100
20001, 2, "GradeAllFindUnit", "Spawn", "", "mission_title_1", "mission_description_1", "0 | 5", 100
20002, 2, "GradeAllFindUnit", "Spawn", "", "mission_title_2", "mission_description_2", "1 | 5", 100
20003, 2, "GradeAllFindUnit", "Spawn", "", "mission_title_3", "mission_description_3", "2 | 5", "", 1
20004, 2, "GradeOwnUnit", "Spawn", "Emblem/emblem_grade_4_legend", "mission_title_4", "mission_description_4", "3 | 3", "", 2
20005, 2, "HasPoint", "GivePoint", "icon_resource_coin", "mission_title_5", "mission_description_5", "0 | 1000", 50
20006, 2, "HasPoint", "GivePoint", "icon_resource_lucky_gem", "mission_title_6", "mission_description_6", "1 | 10", 50
20007, 2, "ChallengeTimeAttack", "Challenge", "Emblem/emblem_mission_challenge", "mission_title_8", "mission_description_8", "10 | 1", 100
20008, 2, "Sell", "Sell", "Emblem/emblem_mission_challenge", "mission_title_16", "mission_description_16", 5, 100
20009, 2, "Lotto", "Spawn", "Emblem/emblem_grade_3_hero", "mission_title_10", "mission_description_10", "2 | 3", 50
20010, 2, "Lotto", "Spawn", "Emblem/emblem_grade_4_legend", "mission_title_11", "mission_description_11", "3 | 1", 100
20011, 2, "Gambling", "Gambling", "Emblem/emblem_gamble_common", "mission_title_12", "mission_description_12", "-1 | 20", "", 1
20012, 2, "GamblingFailed", "Gambling", "Emblem/emblem_gamble_common", "mission_title_13", "mission_description_13", "-1 | 10", 50
20013, 2, "GamblingSuccess", "Gambling", "Emblem/emblem_gamble_legend", "mission_title_14", "mission_description_14", "3 | 3", 100
20014, 2, "GamblingFailed", "Gambling", "Emblem/emblem_gamble_legend", "mission_title_15", "mission_description_15", "3 | 5", "", 1
20015, 2, "Kill", "Kill", "Emblem/emblem_mission_challenge", "mission_title_17", "mission_description_17", 40, 100
20016, 2, "Upgrade", "Upgrade", "Emblem/emblem_mission_challenge", "mission_title_18", "mission_description_18", 2, 100
30001, 3, "GradeAllFindUnit", "Spawn", "", "mission_title_1", "mission_description_1", "0 | 5", 100
30002, 3, "GradeAllFindUnit", "Spawn", "", "mission_title_2", "mission_description_2", "1 | 5", 100
30003, 3, "GradeAllFindUnit", "Spawn", "", "mission_title_3", "mission_description_3", "2 | 5", "", 1
30004, 3, "GradeOwnUnit", "Spawn", "Emblem/emblem_grade_4_legend", "mission_title_4", "mission_description_4", "3 | 3", "", 2
30007, 3, "ChallengeTimeAttack", "Challenge", "Emblem/emblem_mission_challenge", "mission_title_8", "mission_description_8", "8 | 1", 100
30008, 3, "Sell", "Sell", "Emblem/emblem_mission_challenge", "mission_title_16", "mission_description_16", 10, 100
30009, 3, "Lotto", "Spawn", "Emblem/emblem_grade_3_hero", "mission_title_10", "mission_description_10", "2 | 5", 50
30010, 3, "Lotto", "Spawn", "Emblem/emblem_grade_4_legend", "mission_title_11", "mission_description_11", "3 | 1", 50
30011, 3, "Gambling", "Gambling", "Emblem/emblem_gamble_common", "mission_title_12", "mission_description_12", "-1 | 30", "", 1
30012, 3, "GamblingFailed", "Gambling", "Emblem/emblem_gamble_common", "mission_title_13", "mission_description_13", "-1 | 30", 50
30013, 3, "GamblingSuccess", "Gambling", "Emblem/emblem_gamble_legend", "mission_title_14", "mission_description_14", "3 | 5", 100
30014, 3, "GamblingFailed", "Gambling", "Emblem/emblem_gamble_legend", "mission_title_15", "mission_description_15", "3 | 10", "", 1
30015, 3, "Dead", "WaveCount", "Emblem/emblem_mission_challenge", "mission_title_9", "mission_description_9", 99, 200
40001, 4, "GradeAllFindUnit", "Spawn", "", "mission_title_1", "mission_description_1", "0 | 5", 100
40002, 4, "GradeAllFindUnit", "Spawn", "", "mission_title_2", "mission_description_2", "1 | 5", 100
40003, 4, "GradeAllFindUnit", "Spawn", "", "mission_title_3", "mission_description_3", "2 | 5", "", 1
40004, 4, "GradeOwnUnit", "Spawn", "Emblem/emblem_grade_4_legend", "mission_title_4", "mission_description_4", "3 | 3", "", 2
40005, 4, "ChallengeTimeAttack", "Challenge", "Emblem/emblem_mission_challenge", "mission_title_8", "mission_description_8", "8 | 1", 100
40006, 4, "Sell", "Sell", "Emblem/emblem_mission_challenge", "mission_title_16", "mission_description_16", 10, 100
40007, 4, "Lotto", "Spawn", "Emblem/emblem_grade_3_hero", "mission_title_10", "mission_description_10", "2 | 5", 50
40008, 4, "Lotto", "Spawn", "Emblem/emblem_grade_4_legend", "mission_title_11", "mission_description_11", "3 | 1", 50
40009, 4, "Gambling", "Gambling", "Emblem/emblem_gamble_common", "mission_title_12", "mission_description_12", "-1 | 30", "", 1
40010, 4, "GamblingFailed", "Gambling", "Emblem/emblem_gamble_common", "mission_title_13", "mission_description_13", "-1 | 30", 50
40011, 4, "GamblingSuccess", "Gambling", "Emblem/emblem_gamble_legend", "mission_title_14", "mission_description_14", "3 | 5", 100
40012, 4, "GamblingFailed", "Gambling", "Emblem/emblem_gamble_legend", "mission_title_15", "mission_description_15", "3 | 10", "", 1
40013, 4, "Dead", "WaveCount", "Emblem/emblem_mission_challenge", "mission_title_9", "mission_description_9", 100, 200
50001, 5, "GradeAllFindUnit", "Spawn", "", "mission_title_1", "mission_description_1", "0 | 5", 100
50002, 5, "GradeAllFindUnit", "Spawn", "", "mission_title_2", "mission_description_2", "1 | 5", 100
50003, 5, "GradeAllFindUnit", "Spawn", "", "mission_title_3", "mission_description_3", "2 | 5", "", 1
50004, 5, "GradeOwnUnit", "Spawn", "Emblem/emblem_grade_4_legend", "mission_title_4", "mission_description_4", "3 | 3", "", 2
50005, 5, "ChallengeTimeAttack", "Challenge", "Emblem/emblem_mission_challenge", "mission_title_8", "mission_description_8", "8 | 1", 100
50006, 5, "Sell", "Sell", "Emblem/emblem_mission_challenge", "mission_title_16", "mission_description_16", 10, 100
50007, 5, "Lotto", "Spawn", "Emblem/emblem_grade_3_hero", "mission_title_10", "mission_description_10", "2 | 5", 50
50008, 5, "Lotto", "Spawn", "Emblem/emblem_grade_4_legend", "mission_title_11", "mission_description_11", "3 | 1", 50
50009, 5, "Gambling", "Gambling", "Emblem/emblem_gamble_common", "mission_title_12", "mission_description_12", "-1 | 30", "", 1
50010, 5, "GamblingFailed", "Gambling", "Emblem/emblem_gamble_common", "mission_title_13", "mission_description_13", "-1 | 30", 50
50011, 5, "GamblingSuccess", "Gambling", "Emblem/emblem_gamble_legend", "mission_title_14", "mission_description_14", "3 | 5", 100
50012, 5, "GamblingFailed", "Gambling", "Emblem/emblem_gamble_legend", "mission_title_15", "mission_description_15", "3 | 10", "", 1
50013, 5, "Dead", "WaveCount", "Emblem/emblem_mission_challenge", "mission_title_9", "mission_description_9", 100, 200
910001, 91, "GradeAllFindUnit", "Spawn", "", "mission_title_1", "mission_description_1", "0 | 5", 100
910002, 91, "GradeAllFindUnit", "Spawn", "", "mission_title_2", "mission_description_2", "1 | 5", 100
910003, 91, "GradeAllFindUnit", "Spawn", "", "mission_title_3", "mission_description_3", "2 | 5", "", 1
910004, 91, "GradeOwnUnit", "Spawn", "Emblem/emblem_grade_4_legend", "mission_title_4", "mission_description_4", "3 | 3", "", 2
910005, 91, "HasPoint", "GivePoint", "icon_resource_coin", "mission_title_5", "mission_description_5", "0 | 1000", 50
910006, 91, "HasPoint", "GivePoint", "icon_resource_lucky_gem", "mission_title_6", "mission_description_6", "1 | 10", 50
910007, 91, "ChallengeTimeAttack", "Challenge", "Emblem/emblem_mission_challenge", "mission_title_8", "mission_description_8", "10 | 1", 100
910008, 91, "Sell", "Sell", "Emblem/emblem_mission_challenge", "mission_title_16", "mission_description_16", 5, 100
910009, 91, "Lotto", "Spawn", "Emblem/emblem_grade_3_hero", "mission_title_10", "mission_description_10", "2 | 3", 50
910010, 91, "Lotto", "Spawn", "Emblem/emblem_grade_4_legend", "mission_title_11", "mission_description_11", "3 | 1", 100
910011, 91, "Gambling", "Gambling", "Emblem/emblem_gamble_common", "mission_title_12", "mission_description_12", "-1 | 20", "", 1
910012, 91, "GamblingFailed", "Gambling", "Emblem/emblem_gamble_common", "mission_title_13", "mission_description_13", "-1 | 10", 50
910013, 91, "GamblingSuccess", "Gambling", "Emblem/emblem_gamble_legend", "mission_title_14", "mission_description_14", "3 | 3", 100
910014, 91, "GamblingFailed", "Gambling", "Emblem/emblem_gamble_legend", "mission_title_15", "mission_description_15", "3 | 5", "", 1
910015, 91, "Kill", "Kill", "Emblem/emblem_mission_challenge", "mission_title_17", "mission_description_17", 40, 100
910016, 91, "Upgrade", "Upgrade", "Emblem/emblem_mission_challenge", "mission_title_18", "mission_description_18", 2, 100
1010001, 101, "GradeAllFindUnit", "Spawn", "", "mission_title_1", "mission_description_1", "0 | 5", 100
1010002, 101, "GradeAllFindUnit", "Spawn", "", "mission_title_2", "mission_description_2", "1 | 5", 100
1010003, 101, "GradeAllFindUnit", "Spawn", "", "mission_title_3", "mission_description_3", "2 | 5", "", 1
1010004, 101, "GradeOwnUnit", "Spawn", "Emblem/emblem_grade_4_legend", "mission_title_4", "mission_description_4", "3 | 3", "", 2
1010005, 101, "HasPoint", "GivePoint", "icon_resource_coin", "mission_title_5", "mission_description_5", "0 | 1000", 50
1010006, 101, "HasPoint", "GivePoint", "icon_resource_lucky_gem", "mission_title_6", "mission_description_6", "1 | 10", 50
1010007, 101, "ChallengeTimeAttack", "Challenge", "Emblem/emblem_mission_challenge", "mission_title_8", "mission_description_8", "10 | 1", 100
1010008, 101, "Sell", "Sell", "Emblem/emblem_mission_challenge", "mission_title_16", "mission_description_16", 5, 100
1010009, 101, "Lotto", "Spawn", "Emblem/emblem_grade_3_hero", "mission_title_10", "mission_description_10", "2 | 3", 50
1010010, 101, "Lotto", "Spawn", "Emblem/emblem_grade_4_legend", "mission_title_11", "mission_description_11", "3 | 1", 100
1010011, 101, "Gambling", "Gambling", "Emblem/emblem_gamble_common", "mission_title_12", "mission_description_12", "-1 | 20", "", 1
1010012, 101, "GamblingFailed", "Gambling", "Emblem/emblem_gamble_common", "mission_title_13", "mission_description_13", "-1 | 10", 50
1010013, 101, "GamblingSuccess", "Gambling", "Emblem/emblem_gamble_legend", "mission_title_14", "mission_description_14", "3 | 3", 100
1010014, 101, "GamblingFailed", "Gambling", "Emblem/emblem_gamble_legend", "mission_title_15", "mission_description_15", "3 | 5", "", 1
1030001, 103, "GradeAllFindUnit", "Spawn", "", "mission_title_1", "mission_description_1", "0 | 5", 100
1030002, 103, "GradeAllFindUnit", "Spawn", "", "mission_title_2", "mission_description_2", "1 | 5", 100
1030003, 103, "GradeAllFindUnit", "Spawn", "", "mission_title_3", "mission_description_3", "2 | 5", "", 1
1030004, 103, "GradeOwnUnit", "Spawn", "Emblem/emblem_grade_4_legend", "mission_title_4", "mission_description_4", "3 | 3", "", 2
1030005, 103, "HasPoint", "GivePoint", "icon_resource_coin", "mission_title_5", "mission_description_5", "0 | 1000", 50
1030006, 103, "HasPoint", "GivePoint", "icon_resource_lucky_gem", "mission_title_6", "mission_description_6", "1 | 10", 50
1030007, 103, "ChallengeTimeAttack", "Challenge", "Emblem/emblem_mission_challenge", "mission_title_8", "mission_description_8", "10 | 1", 100
1030008, 103, "Sell", "Sell", "Emblem/emblem_mission_challenge", "mission_title_16", "mission_description_16", 5, 100
1030009, 103, "Lotto", "Spawn", "Emblem/emblem_grade_3_hero", "mission_title_10", "mission_description_10", "2 | 3", 50
1030010, 103, "Lotto", "Spawn", "Emblem/emblem_grade_4_legend", "mission_title_11", "mission_description_11", "3 | 1", 100
1030011, 103, "Gambling", "Gambling", "Emblem/emblem_gamble_common", "mission_title_12", "mission_description_12", "-1 | 20", "", 1
1030012, 103, "GamblingFailed", "Gambling", "Emblem/emblem_gamble_common", "mission_title_13", "mission_description_13", "-1 | 10", 50
1030013, 103, "GamblingSuccess", "Gambling", "Emblem/emblem_gamble_legend", "mission_title_14", "mission_description_14", "3 | 3", 100
1040001, 104, "GradeAllFindUnit", "Spawn", "", "mission_title_1", "mission_description_1", "0 | 5", 100
1040002, 104, "GradeAllFindUnit", "Spawn", "", "mission_title_2", "mission_description_2", "1 | 5", 100
