int, int, int, int, int, int, int, int, int, int, int, int, int
Level, CommonNeedCount, RareNeedCount, EpicNeedCount, LegendNeedCount, MythicalNeedCount, ImmortalNeedCount, CommonNeedCost, RareNeedCost, EpicNeedCost, LegendNeedCost, MythicalNeedCost, ImmortalNeedCost
1, 1, 1, 1, 1, 0, 0, 1, 2, 3, 4, 5, 6
2, 1, 1, 1, 1, 0, 0, 2, 4, 6, 8, 10, 12
3, 1, 1, 1, 1, 0, 0, 3, 6, 9, 12, 15, 18
4, 2, 2, 2, 1, 0, 0, 5, 10, 15, 20, 25, 30
5, 2, 2, 2, 1, 0, 0, 10, 20, 30, 40, 50, 60
6, 3, 3, 3, 2, 1, 0, 15, 30, 45, 60, 75, 90
7, 3, 3, 3, 2, 1, 0, 20, 40, 60, 80, 100, 120
8, 5, 5, 5, 2, 1, 0, 25, 50, 75, 100, 125, 150
9, 5, 5, 5, 2, 1, 0, 30, 60, 90, 120, 150, 180
10, 7, 7, 7, 5, 2, 1, 40, 80, 120, 160, 200, 240
11, 7, 7, 7, 5, 2, 1, 60, 120, 180, 240, 300, 360
12, 10, 10, 10, 5, 2, 1, 80, 160, 240, 320, 400, 480
13, 10, 10, 10, 5, 2, 1, 100, 200, 300, 400, 500, 600
14, 15, 15, 15, 10, 2, 1, 120, 240, 360, 480, 600, 720
15, 15, 15, 15, 10, 5, 1, 140, 280, 420, 560, 700, 840
16, 20, 20, 20, 20, 5, 1, 160, 320, 480, 640, 800, 960
17, 20, 20, 20, 20, 5, 1, 180, 360, 540, 720, 900, 1080
18, 30, 30, 30, 30, 5, 1, 200, 400, 600, 800, 1000, 1200
19, 30, 30, 30, 30, 10, 1, 220, 440, 660, 880, 1100, 1320
20, 40, 40, 40, 40, 10, 2, 240, 480, 720, 960, 1200, 1440
21, 50, 50, 50, 50, 10, 2, 260, 520, 780, 1040, 1300, 1560
22, 70, 70, 70, 60, 10, 2, 280, 560, 840, 1120, 1400, 1680
23, 90, 90, 90, 70, 15, 2, 300, 600, 900, 1200, 1500, 1800
24, 110, 110, 110, 80, 15, 2, 330, 660, 990, 1320, 1650, 1980
25, 130, 130, 130, 90, 15, 3, 360, 720, 1080, 1440, 1800, 2160
26, 150, 150, 150, 100, 15, 3, 390, 780, 1170, 1560, 1950, 2340
27, 170, 170, 170, 110, 20, 3, 420, 840, 1260, 1680, 2100, 2520
28, 190, 190, 190, 120, 20, 3, 450, 900, 1350, 1800, 2250, 2700
29, 210, 210, 210, 130, 20, 3, 480, 960, 1440, 1920, 2400, 2880
30, 230, 230, 230, 140, 30, 5, 510, 1020, 1530, 2040, 2550, 3060
31, 250, 250, 250, 150, 30, 5, 540, 1080, 1620, 2160, 2700, 3240
32, 280, 280, 280, 160, 35, 5, 570, 1140, 1710, 2280, 2850, 3420
33, 310, 310, 310, 180, 35, 10, 600, 1200, 1800, 2400, 3000, 3600
34, 340, 340, 340, 200, 40, 10, 640, 1280, 1920, 2560, 3200, 3840
35, 370, 370, 370, 220, 40, 15, 680, 1360, 2040, 2720, 3400, 4080
36, 400, 400, 400, 240, 50, 15, 720, 1440, 2160, 2880, 3600, 4320
37, 450, 450, 450, 260, 50, 20, 760, 1520, 2280, 3040, 3800, 4560
38, 500, 500, 500, 280, 60, 20, 800, 1600, 2400, 3200, 4000, 4800
39, 550, 550, 550, 300, 70, 25, 840, 1680, 2520, 3360, 4200, 5040
40, 600, 600, 600, 350, 80, 25, 880, 1760, 2640, 3520, 4400, 5280
41, 650, 650, 650, 400, 90, 30, 920, 1840, 2760, 3680, 4600, 5520
42, 700, 700, 700, 450, 110, 30, 960, 1920, 2880, 3840, 4800, 5760
43, 800, 800, 800, 500, 130, 35, 1000, 2000, 3000, 4000, 5000, 6000
44, 900, 900, 900, 550, 150, 35, 1050, 2100, 3150, 4200, 5250, 6300
45, 1000, 1000, 1000, 600, 170, 40, 1100, 2200, 3300, 4400, 5500, 6600
46, 1100, 1100, 1100, 650, 190, 40, 1150, 2300, 3450, 4600, 5750, 6900
47, 1200, 1200, 1200, 700, 210, 50, 1200, 2400, 3600, 4800, 6000, 7200
48, 1300, 1300, 1300, 750, 230, 60, 1250, 2500, 3750, 5000, 6250, 7500
49, 1400, 1400, 1400, 800, 250, 70, 1300, 2600, 3900, 5200, 6500, 7800
50, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
