int, EPetGradeType, string, string, FP, FP, EPetMoveType, int[], bool
Id, Grade, Name, Description, MoveSpeed, SkillRange, MoveType, SkillIds, IsDisable
61001, "Common", "pet_name_61001", "pet_description_61001", 4, 2, "RandomPatrol", "610010 | 610011", "FALSE"
61002, "Common", "pet_name_61002", "pet_description_61002", 4, 2, "RandomPatrol", "610020 | 610021", "FALSE"
61003, "Common", "pet_name_61003", "pet_description_61003", 4, 2, "RandomPatrol", "610030 | 610031", "FALSE"
61004, "Common", "pet_name_61004", "pet_description_61004", 4, 2, "RandomPatrol", "610040 | 610041", "FALSE"
61005, "Common", "pet_name_61005", "pet_description_61005", 4, 2, "RandomPatrol", "610050 | 610051", "FALSE"
61006, "Common", "pet_name_61006", "pet_description_61006", 4, 2, "RandomPatrol", "610060 | 610061", "FALSE"
62001, "Rare", "pet_name_62001", "pet_description_62001", 4, 2, "RandomPatrol", "620010 | 620011", "FALSE"
62002, "Rare", "pet_name_62002", "pet_description_62002", 4, 2, "RandomPatrol", "620020 | 620021", "FALSE"
62003, "Rare", "pet_name_62003", "pet_description_62003", 4, 2, "RandomPatrol", "620030 | 620031", "FALSE"
62004, "Rare", "pet_name_62004", "pet_description_62004", 4, 2, "RandomPatrol", "620040 | 620041", "FALSE"
62005, "Rare", "pet_name_62005", "pet_description_62005", 4, 2, "RandomPatrol", "620050 | 620051", "FALSE"
62006, "Rare", "pet_name_62006", "pet_description_62006", 4, 2, "RandomPatrol", "620060 | 620061", "FALSE"
63001, "Epic", "pet_name_63001", "pet_description_63001", 4, 2, "RandomPatrol", "630010 | 630011", "FALSE"
63002, "Epic", "pet_name_63002", "pet_description_63002", 4, 2, "RandomPatrol", "630020 | 630021", "FALSE"
63003, "Epic", "pet_name_63003", "pet_description_63003", 4, 2, "RandomPatrol", "630030 | 630031", "FALSE"
63004, "Epic", "pet_name_63004", "pet_description_63004", 4, 2, "RandomPatrol", "630040 | 630041", "FALSE"
63005, "Epic", "pet_name_63005", "pet_description_63005", 4, 2, "RandomPatrol", "630050 | 630051", "FALSE"
64001, "Legend", "pet_name_64001", "pet_description_64001", 4, 2, "RandomPatrol", "640010 | 640011", "FALSE"
64002, "Legend", "pet_name_64002", "pet_description_64002", 4, 2, "RandomPatrol", "640020 | 640021", "FALSE"
64003, "Legend", "pet_name_64003", "pet_description_64003", 4, 2, "RandomPatrol", "640030 | 640031", "FALSE"
64004, "Legend", "pet_name_64004", "pet_description_64004", 4, 2, "RandomPatrol", "640040 | 640041", "FALSE"
64005, "Legend", "pet_name_64005", "pet_description_64005", 4, 2, "RandomPatrol", "640050 | 640051", "FALSE"
65001, "Mythical", "pet_name_65001", "pet_description_65001", 4, 2, "RandomPatrol", "650010 | 650011", "FALSE"
65002, "Mythical", "pet_name_65002", "pet_description_65002", 4, 2, "RandomPatrol", "650020 | 650021", "FALSE"
65003, "Mythical", "pet_name_65003", "pet_description_65003", 4, 2, "RandomPatrol", "650030 | 650031", "FALSE"
65004, "Mythical", "pet_name_65004", "pet_description_65004", 4, 2, "RandomPatrol", "650040 | 650041", "FALSE"
66001, "Immortal", "pet_name_66001", "pet_description_66001", 4, 2, "RandomPatrol", "660010 | 660011 | 660012", "FALSE"
66002, "Immortal", "pet_name_66002", "pet_description_66002", 4, 2, "RandomPatrol", "660020 | 660021 | 660022", "FALSE"
