int, string, string, EGradeType, string, int, int, EUnitType, EUnitAttackType, int[], FP, FP, FP, FP, bool, FP, FP, FP, string, string, string[], string[], string, EUnlockPresetType[], int, int[], int[], int, int, int[], int[], bool, bool, bool, bool, bool, bool, bool, bool, bool, bool, string, string, string
Id, SpecificName, Name, Grade, Description, RaceType, RoleType, UnitType, AttackType, SkillIds, AttackDamage, PlusAttackDamagePercentage, UpgradeAttackDamage, AttackSpeed, IsFixedAttackSpeed, AttackRange, MoveSpeed, Sp, ProjectileName, HitEffectName, AttackSoundNames, HitSoundNames, SummonSoundName, UnlockPresets, ScheduleId, BestPositions, AiBestPositions, SkinTargetId, OriginId, NextId, SkinDisplayId, IsDisplayTrans, IsPreviewTrans, IsInGameLock, IsUse, IsOnlySingle, IsSpawnable, IsOwnable, isPolymorphic, IsHallowUnit, IsHyperUnit, DefaultIlluistration, DefaultIcon, TransKey
1001, "player_unit_1001", "player_unit_name_1001", "Common", "player_unit_description_1001", 1, 1, "Normal", "Ranged", 10010, 50, 1, "2.5", 1, "FALSE", 4, 4, 0, "projectile_Arrow_1", "Fx_Hit_01", "ingame_units_arrow_attack_1 | ingame_units_arrow_attack_2", "ingame_units_arrow_hit_1 | ingame_units_arrow_hit_2", "", "", "", "7 | 10 | 13 | 5 | 8 | 11", "7 | 8 | 10 | 11 | 13 | 14", "", "", "", "", "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "TRUE", "TRUE", "TRUE", "FALSE", "FALSE", "illust_unit_1001", "icon_1001_uiprofile"
1002, "player_unit_1002", "player_unit_name_1002", "Common", "player_unit_description_1002", 1, 1, "Normal", "Ranged", 10020, 50, 1, "2.5", 1, "FALSE", 4, 4, 0, "", "Fx_Hit_01", "ingame_units_shot_attack_1 | ingame_units_shot_attack_2", "ingame_units_shot_hit_1 | ingame_units_shot_hit_2", "", "", "", "7 | 10 | 13 | 5 | 8 | 11", "7 | 8 | 10 | 11 | 13 | 14", "", "", "", "", "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "TRUE", "TRUE", "TRUE", "FALSE", "FALSE", "illust_unit_1002", "icon_1002_uiprofile"
1003, "player_unit_1003", "player_unit_name_1003", "Common", "player_unit_description_1003", 1, 1, "Normal", "Melee", "10030 | 10031", 100, 1, 5, "0.5", "FALSE", "2.1", 4, 0, "", "Fx_babarian_Hit", "ingame_units_metal_attack_1 | ingame_units_metal_attack_2", "ingame_units_metal_hit_1 | ingame_units_metal_hit_2", "", "", "", "0 | 3 | 6 | 9", "0 | 3 | 6 | 9", "", "", "", "", "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "TRUE", "TRUE", "TRUE", "FALSE", "FALSE", "illust_unit_1003", "icon_1003_uiprofile"
1004, "player_unit_1004", "player_unit_name_1004", "Common", "player_unit_description_1004", 3, 3, "Normal", "Ranged", 10040, 60, 1, 3, 1, "FALSE", 4, 4, 0, "projectile_1004", "Fx_Hit_01", "ingame_units_throw_attack_1 | ingame_units_throw_attack_2", "ingame_units_throw_hit_1 | ingame_units_throw_hit_2", "", "", "", "7 | 10 | 13 | 5 | 8 | 11", "7 | 8 | 10 | 11 | 13 | 14", "", "", "", "", "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "TRUE", "TRUE", "TRUE", "FALSE", "FALSE", "illust_unit_1004", "icon_1004_uiprofile"
1005, "player_unit_1005", "player_unit_name_1005", "Common", "player_unit_description_1005", 1, 1, "Normal", "Melee", "10050 | 10051", 100, 1, 5, 1, "FALSE", "2.1", 4, 0, "", "Fx_Hit_01", "ingame_units_metal_attack_1 | ingame_units_metal_attack_2", "ingame_units_metal_hit_1 | ingame_units_metal_hit_2", "", "", "", "0 | 1 | 2", "0 | 1 | 2", "", "", "", "", "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "TRUE", "TRUE", "TRUE", "FALSE", "FALSE", "illust_unit_1005", "icon_1005_uiprofile"
2001, "player_unit_2001", "player_unit_name_2001", "Rare", "player_unit_description_2001", 1, 1, "Normal", "Ranged", 20010, 150, "0.75", "7.5", 2, "FALSE", 4, 4, 0, "projectile_Arrow_1", "Fx_Hit_01", "ingame_units_arrow_attack_1 | ingame_units_arrow_attack_2", "ingame_units_arrow_hit_1 | ingame_units_arrow_hit_2", "", "", "", "7 | 10 | 13 | 5 | 8 | 11", "7 | 8 | 10 | 11 | 13 | 14", "", "", "", "", "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "TRUE", "TRUE", "TRUE", "FALSE", "FALSE", "illust_unit_2001", "icon_2001_uiprofile"
2002, "player_unit_2002", "player_unit_name_2002", "Rare", "player_unit_description_2002", 2, 2, "Normal", "Ranged", 20020, 120, "0.75", 6, 2, "FALSE", 4, 4, 0, "projectile_2002", "Fx_Hit_01", "ingame_units_throw_attack_1 | ingame_units_throw_attack_2", "ingame_units_throw_hit_1 | ingame_units_throw_hit_2", "", "", "", "7 | 9 | 10", "7 | 9 | 10 | 11", "", "", "", "", "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "TRUE", "TRUE", "TRUE", "FALSE", "FALSE", "illust_unit_2002", "icon_2002_uiprofile"
2003, "player_unit_2003", "player_unit_name_2003", "Rare", "player_unit_description_2003", 1, 1, "Normal", "Melee", 20030, 150, "0.75", "7.5", 2, "FALSE", "2.1", 4, 0, "", "Fx_Hit_01", "ingame_units_metal_attack_1 | ingame_units_metal_attack_2", "ingame_units_metal_hit_1 | ingame_units_metal_hit_2", "", "", "", "0 | 3 | 1", "0 | 3 | 1", "", "", "", "", "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "TRUE", "TRUE", "TRUE", "FALSE", "FALSE", "illust_unit_2003", "icon_2003_uiprofile"
2004, "player_unit_2004", "player_unit_name_2004", "Rare", "player_unit_description_2004", 3, 3, "Normal", "Ranged", "20040 | 20041", 120, "0.75", 6, 2, "FALSE", 4, 4, 0, "projectile_2004", "Fx_Hit_01", "ingame_units_throw_attack_1 | ingame_units_throw_attack_2", "ingame_units_throw_hit_1 | ingame_units_throw_hit_2", "", "", "", "7 | 10 | 13 | 8 | 11 | 14", "7 | 8 | 10 | 11 | 13 | 14", "", "", "", "", "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "TRUE", "TRUE", "TRUE", "FALSE", "FALSE", "illust_unit_2004", "icon_2004_uiprofile"
2005, "player_unit_2005", "player_unit_name_2005", "Rare", "player_unit_description_2005", 5, 5, "Normal", "Melee", "20050 | 20051", 150, "0.75", "7.5", 2, "FALSE", "2.1", 4, 0, "", "Fx_Hit_01", "ingame_units_metal_attack_1 | ingame_units_metal_attack_2", "ingame_units_metal_hit_1 | ingame_units_metal_hit_2", "", "", "", "3 | 6 | 9 | 12", "6 | 9 | 12", "", "", "", "", "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "TRUE", "TRUE", "TRUE", "FALSE", "FALSE", "illust_unit_2005", "icon_2005_uiprofile"
