int, bool, bool, string, string, string, EUnlockPresetType[], int, int, int, int, int, int, int, int, int, int[], int[], FP, int[], TableReward[]
Id, IsMain, IsBox, TitleKey, DescKey, PropPrefabName, UnlockPresets, StageId, UnlockWallId, MinRelicLevel, GrowMigrationLevel, RequireClearStageId, MapId, WaveGroupId, AiNumber, QuestId, HPAddRatios, BossHPAddRatios, DecreasePrevStunResistance, Group, ClearRewards
1, "FALSE", "TRUE", "stage_multi_path", "description_singlemode_clear_result", "", "None", 999, "", 130, 1, "", 10, 701, "", "", "1000|1000|1100|1100|1200|1200|1100|1100|350|600|700|700|600|600|600|540|540|540|360|700|320|288|288|160|135|100|65|65|65|200", "", 10, "7910001 | 7910002 | 7910003 | 7910004 | 7910005 | 7910006 | 7910007 | 7910008 | 7910009 | 7910010 | 7910011 | 7910012 | 7910013 | 7910014 | 7910015 | 7910016 | 7910017 | 7910018 | 7910019 | 7910020 | 7910021 | 7910022 | 7910023 | 7910024 | 7910025 | 7910026 | 7910027 | 7910028 | 7910029 | 7910030", "[102,200,200]"
2, "FALSE", "TRUE", "stage_multi_path", "description_singlemode_clear_result", "", "None", 999, "", 130, 2, "", 11, 701, "", "", "1100|1100|1210|1210|1320|1320|1210|1210|385|660|770|770|660|660|660|594|594|594|396|770|352|317|317|176|149|111|72|72|72|220", " ", 20, "7910001 | 7910002 | 7910003 | 7910004 | 7910005 | 7910006 | 7910007 | 7910008 | 7910009 | 7910010 | 7910011 | 7910012 | 7910013 | 7910014 | 7910015 | 7910016 | 7910017 | 7910018 | 7910019 | 7910020 | 7910021 | 7910022 | 7910023 | 7910024 | 7910025 | 7910026 | 7910027 | 7910028 | 7910029 | 7910030", "[104,5,5]"
3, "FALSE", "TRUE", "stage_multi_path", "description_singlemode_clear_result", "", "None", 999, "", 130, 3, "", 21, 701, "", "", "1210|1210|1331|1331|1452|1452|1331|1331|424|727|848|848|726|726|726|653|653|653|436|847|387|349|349|194|164|122|79|79|79|242", " ", 20, "7910001 | 7910002 | 7910003 | 7910004 | 7910005 | 7910006 | 7910007 | 7910008 | 7910009 | 7910010 | 7910011 | 7910012 | 7910013 | 7910014 | 7910015 | 7910016 | 7910017 | 7910018 | 7910019 | 7910020 | 7910021 | 7910022 | 7910023 | 7910024 | 7910025 | 7910026 | 7910027 | 7910028 | 7910029 | 7910030", "[103,100,100]"
4, "FALSE", "TRUE", "stage_multi_path", "description_singlemode_clear_result", "", "None", 999, "", 130, 4, "", 13, 701, "", "", "1331|1331|1464|1464|1597|1597|1464|1464|466|801|932|932|798|798|798|718|718|718|479|932|426|384|384|213|180|134|87|87|87|266", " ", 30, "7910031 | 7910032 | 7910033 | 7910034 | 7910035 | 7910036 | 7910037 | 7910038 | 7910039 | 7910040 | 7910041 | 7910042 | 7910043 | 7910044 | 7910045 | 7910046 | 7910047 | 7910048 | 7910049 | 7910050 | 7910051 | 7910052 | 7910053 | 7910054 | 7910055 | 7910056 | 7910057 | 7910058 | 7910059 | 7910060", "[101,5000,5000]"
5, "FALSE", "TRUE", "stage_multi_path", "description_singlemode_clear_result", "", "None", 999, "", 130, 5, "", 4, 701, "", "", "1464|1464|1610|1610|1757|1757|1610|1610|513|882|1026|1026|878|878|878|790|790|790|527|1024|469|422|422|234|198|148|96|96|96|293", " ", 30, "7910031 | 7910032 | 7910033 | 7910034 | 7910035 | 7910036 | 7910037 | 7910038 | 7910039 | 7910040 | 7910041 | 7910042 | 7910043 | 7910044 | 7910045 | 7910046 | 7910047 | 7910048 | 7910049 | 7910050 | 7910051 | 7910052 | 7910053 | 7910054 | 7910055 | 7910056 | 7910057 | 7910058 | 7910059 | 7910060", "[201,1,1]"
6, "FALSE", "TRUE", "stage_multi_path", "description_singlemode_clear_result", "", "None", 999, "", 130, 6, "", 14, 701, "", "", "216|216|282|282|348|348|414|414|414|480|480|480|546|546|612|612|678|678|678|810|810|810|810|810|810|810|810|810|810|1140|942|942|942|942|942|942|942|942|942|1470", " ", 40, "7010001 | 7010002 | 7010003 | 7010004 | 7010005 | 7010006 | 7010007 | 7010008 | 7010009 | 7010010 | 7010011 | 7010012 | 7010013 | 7010014 | 7010015 | 7010016 | 7010017 | 7010018 | 7010019 | 7010020 | 7010021 | 7010022 | 7010023 | 7010024 | 7010025 | 7010026 | 7010027 | 7010028 | 7010029 | 7010030 | 7010031 | 7010032 | 7010033 | 7010034 | 7010035 | 7010036 | 7010037 | 7010038 | 7010039 | 7010040", "[102,250,250]"
7, "FALSE", "TRUE", "stage_multi_path", "description_singlemode_clear_result", "", "None", 999, "", 130, 7, "", 15, 701, "", "", "266|266|381|381|497|497|612|612|612|728|728|728|843|843|959|959|1074|1074|1074|1305|1305|1305|1305|1305|1305|1305|1305|1305|1305|1883|1536|1536|1536|1536|1536|1536|1536|1536|1536|2460", " ", 50, "7010121 | 7010122 | 7010123 | 7010124 | 7010125 | 7010126 | 7010127 | 7010128 | 7010129 | 7010130 | 7010131 | 7010132 | 7010133 | 7010134 | 7010135 | 7010136 | 7010137 | 7010138 | 7010139 | 7010140 | 7010141 | 7010142 | 7010143 | 7010144 | 7010145 | 7010146 | 7010147 | 7010148 | 7010149 | 7010150 | 7010151 | 7010152 | 7010153 | 7010154 | 7010155 | 7010156 | 7010157 | 7010158 | 7010159 | 7010160", "[103,100,100]"
8, "FALSE", "TRUE", "stage_multi_path", "description_singlemode_clear_result", "", "None", 999, "", 130, 8, "", 16, 701, "", "", "299|299|447|447|596|596|744|744|744|893|893|893|1041|1041|1190|1190|1338|1338|1338|1635|1635|1635|1635|1635|1635|1635|1635|1635|1635|2378|1932|1932|1932|1932|1932|1932|1932|1932|1932|3120", " ", 50, "7010041 | 7010042 | 7010043 | 7010044 | 7010045 | 7010046 | 7010047 | 7010048 | 7010049 | 7010050 | 7010051 | 7010052 | 7010053 | 7010054 | 7010055 | 7010056 | 7010057 | 7010058 | 7010059 | 7010060 | 7010061 | 7010062 | 7010063 | 7010064 | 7010065 | 7010066 | 7010067 | 7010068 | 7010069 | 7010070 | 7010071 | 7010072 | 7010073 | 7010074 | 7010075 | 7010076 | 7010077 | 7010078 | 7010079 | 7010080", "[104,5,5]"
9, "FALSE", "TRUE", "stage_multi_path", "description_singlemode_clear_result", "", "None", 999, "", 130, 9, "", 17, 701, "", "", "348|348|546|546|744|744|942|942|942|1140|1140|1140|1338|1338|1536|1536|1734|1734|1734|2130|2130|2130|2130|2130|2130|2130|2130|2130|2130|3120|2526|2526|2526|2526|2526|2526|2526|2526|2526|4110", " ", 50, "7010001 | 7010002 | 7010003 | 7010004 | 7010005 | 7010006 | 7010007 | 7010008 | 7010009 | 7010010 | 7010011 | 7010012 | 7010013 | 7010014 | 7010015 | 7010016 | 7010017 | 7010018 | 7010019 | 7010020 | 7010021 | 7010022 | 7010023 | 7010024 | 7010025 | 7010026 | 7010027 | 7010028 | 7010029 | 7010030 | 7010031 | 7010032 | 7010033 | 7010034 | 7010035 | 7010036 | 7010037 | 7010038 | 7010039 | 7010040", "[101,10000,10000]"
10, "FALSE", "TRUE", "stage_multi_path", "description_singlemode_clear_result", "", "None", 999, "", 130, 10, "", 18, 701, "", "", "414|414|678|678|942|942|1206|1206|1206|1470|1470|1470|1734|1734|1998|1998|2262|2262|2262|2790|2790|2790|2790|2790|2790|2790|2790|2790|2790|4110|3318|3318|3318|3318|3318|3318|3318|3318|3318|5430", " ", 50, "7010081 | 7010082 | 7010083 | 7010084 | 7010085 | 7010086 | 7010087 | 7010088 | 7010089 | 7010090 | 7010091 | 7010092 | 7010093 | 7010094 | 7010095 | 7010096 | 7010097 | 7010098 | 7010099 | 7010100 | 7010101 | 7010102 | 7010103 | 7010104 | 7010105 | 7010106 | 7010107 | 7010108 | 7010109 | 7010110 | 7010111 | 7010112 | 7010113 | 7010114 | 7010115 | 7010116 | 7010117 | 7010118 | 7010119 | 7010120", "[104,5,5]"
11, "FALSE", "TRUE", "stage_multi_path", "description_singlemode_clear_result", "", "None", 999, "", 130, 11, "", 19, 701, "", "", "480|480|810|810|1140|1140|1470|1470|1470|1800|1800|1800|2130|2130|2460|2460|2790|2790|2790|3450|3450|3450|3450|3450|3450|3450|3450|3450|3450|5100|4110|4110|4110|4110|4110|4110|4110|4110|4110|6750", " ", 50, "7010121 | 7010122 | 7010123 | 7010124 | 7010125 | 7010126 | 7010127 | 7010128 | 7010129 | 7010130 | 7010131 | 7010132 | 7010133 | 7010134 | 7010135 | 7010136 | 7010137 | 7010138 | 7010139 | 7010140 | 7010141 | 7010142 | 7010143 | 7010144 | 7010145 | 7010146 | 7010147 | 7010148 | 7010149 | 7010150 | 7010151 | 7010152 | 7010153 | 7010154 | 7010155 | 7010156 | 7010157 | 7010158 | 7010159 | 7010160", "[102,200,200]"
12, "FALSE", "TRUE", "stage_multi_path", "description_singlemode_clear_result", "", "None", 999, "", 130, 12, "", 20, 701, "", "", "563|563|975|975|1388|1388|1800|1800|1800|2213|2213|2213|2625|2625|3038|3038|3450|3450|3450|4275|4275|4275|4275|4275|4275|4275|4275|4275|4275|6338|5100|5100|5100|5100|5100|5100|5100|5100|5100|8400", " ", 50, "7010041 | 7010042 | 7010043 | 7010044 | 7010045 | 7010046 | 7010047 | 7010048 | 7010049 | 7010050 | 7010051 | 7010052 | 7010053 | 7010054 | 7010055 | 7010056 | 7010057 | 7010058 | 7010059 | 7010060 | 7010061 | 7010062 | 7010063 | 7010064 | 7010065 | 7010066 | 7010067 | 7010068 | 7010069 | 7010070 | 7010071 | 7010072 | 7010073 | 7010074 | 7010075 | 7010076 | 7010077 | 7010078 | 7010079 | 7010080", "[103,150,150]"
13, "FALSE", "TRUE", "stage_multi_path", "description_singlemode_clear_result", "", "None", 999, "", 153, 13, "", 12, 701, "", "", "167|167|183|183|216|216|249|249|249|315|315|315|315|315|315|315|315|315|315|480|348|348|348|348|348|348|348|348|348|810|398|398|398|398|398|398|398|398|398|893", " ", 50, "7010201 | 7010202 | 7010203 | 7010204 | 7010205 | 7010206 | 7010207 | 7010208 | 7010209 | 7010210 | 7010211 | 7010212 | 7010213 | 7010214 | 7010215 | 7010216 | 7010217 | 7010218 | 7010219 | 7010220 | 7010221 | 7010222 | 7010223 | 7010224 | 7010225 | 7010226 | 7010227 | 7010228 | 7010229 | 7010230 | 7010231 | 7010232 | 7010233 | 7010234 | 7010235 | 7010236 | 7010237 | 7010238 | 7010239 | 7010240", "[113,5,5]"
14, "FALSE", "TRUE", "stage_multi_path", "description_singlemode_clear_result", "", "None", 999, "", 158, 15, "", 22, 701, "", "", "170|170|190|190|229|229|269|269|269|348|348|348|348|348|348|348|348|348|348|546|388|388|388|388|388|388|388|388|388|942|406|406|406|406|406|406|406|406|406|946", " ", 50, "7010201 | 7010202 | 7010203 | 7010204 | 7010205 | 7010206 | 7010207 | 7010208 | 7010209 | 7010210 | 7010211 | 7010212 | 7010213 | 7010214 | 7010215 | 7010216 | 7010217 | 7010218 | 7010219 | 7010220 | 7010221 | 7010222 | 7010223 | 7010224 | 7010225 | 7010226 | 7010227 | 7010228 | 7010229 | 7010230 | 7010231 | 7010232 | 7010233 | 7010234 | 7010235 | 7010236 | 7010237 | 7010238 | 7010239 | 7010240", "[102,300,300]"
15, "FALSE", "TRUE", "stage_multi_path", "description_singlemode_clear_result", "", "None", 999, "", 163, 16, "", 23, 701, "", "", "176|176|203|203|256|256|308|308|308|414|414|414|414|414|414|414|414|414|414|678|467|467|467|467|467|467|467|467|467|1206|496|496|496|496|496|496|496|496|496|1216", " ", 50, "7010281 | 7010282 | 7010283 | 7010284 | 7010285 | 7010286 | 7010287 | 7010288 | 7010289 | 7010290 | 7010291 | 7010292 | 7010293 | 7010294 | 7010295 | 7010296 | 7010297 | 7010298 | 7010299 | 7010300 | 7010301 | 7010302 | 7010303 | 7010304 | 7010305 | 7010306 | 7010307 | 7010308 | 7010309 | 7010310 | 7010311 | 7010312 | 7010313 | 7010314 | 7010315 | 7010316 | 7010317 | 7010318 | 7010319 | 7010320", "[201,1,1]"
