int, int, int, int, int, int, int, long, int, int, FP
Id, PathId, Stage, Step, BreakableMonsterId, NoneBreakableMonsterId, Level, TriggerDamage, GivePoint, GiveSpecialPoint, ResetInterval
1, 0, 1, 0, 7030001, 7031001, 0, 100, 1, 0, "0.5"
2, 1, 1, 1, 7030002, 7031002, 0, 500, 5, 0, "0.5"
3, 2, 1, 2, 7030003, 7031003, 0, 1000, 10, 0, "0.5"
4, 3, 1, 3, 7030004, 7031004, 0, 2000, 15, 0, "0.5"
5, 4, 1, 4, 7030005, 7031005, 0, 5000, 20, 0, "0.5"
6, 5, 1, 5, 7030006, 7031006, 0, 10000, 50, 0, "0.5"
7, 0, 2, 0, 7030007, 7031001, 0, 100, 1, 0, "0.5"
8, 1, 2, 1, 7030008, 7031002, 0, 500, 5, 0, "0.5"
9, 2, 2, 2, 7030009, 7031003, 0, 1000, 10, 0, "0.5"
10, 3, 2, 3, 7030010, 7031004, 0, 2000, 15, 0, "0.5"
11, 4, 2, 4, 7030011, 7031005, 0, 5000, 20, 0, "0.5"
12, 5, 2, 5, 7030012, 7031006, 0, 10000, 50, 0, "0.5"
13, 0, 3, 0, 7030013, 7031001, 0, 100, 1, 0, "0.5"
14, 1, 3, 1, 7030014, 7031002, 0, 500, 5, 0, "0.5"
15, 2, 3, 2, 7030015, 7031003, 0, 1000, 10, 0, "0.5"
16, 3, 3, 3, 7030016, 7031004, 0, 2000, 15, 0, "0.5"
17, 4, 3, 4, 7030017, 7031005, 0, 5000, 20, 0, "0.5"
18, 5, 3, 5, 7030018, 7031006, 0, 10000, 50, 0, "0.5"
