int, FP, int, int, FP, string, string, string
Id, ExcavatePercentage, Grade, BuffId, BuffValue, BuffName, BuffDesc, IconName
1, 10, 0, 0, 5, "hyper_penguin_buff_name_1", "hyper_penguin_buff_text_1", "icon_musicianbuff_1"
2, 10, 0, 1, 7, "hyper_penguin_buff_name_2", "hyper_penguin_buff_text_2", "icon_musicianbuff_2"
3, 10, 0, 2, 5, "hyper_penguin_buff_name_3", "hyper_penguin_buff_text_3", "icon_musicianbuff_3"
4, 10, 0, 3, 5, "hyper_penguin_buff_name_4", "hyper_penguin_buff_text_4", "icon_musicianbuff_1"
5, 10, 0, 4, 2, "hyper_penguin_buff_name_5", "hyper_penguin_buff_text_5", "icon_musicianbuff_2"
6, 10, 0, 5, 10, "hyper_penguin_buff_name_6", "hyper_penguin_buff_text_6", "icon_musicianbuff_3"
7, 10, 0, 6, 10, "hyper_penguin_buff_name_7", "hyper_penguin_buff_text_7", "icon_musicianbuff_1"
8, 10, 0, 7, 5, "hyper_penguin_buff_name_8", "hyper_penguin_buff_text_8", "icon_musicianbuff_2"
9, 10, 0, 8, "0.5", "hyper_penguin_buff_name_9", "hyper_penguin_buff_text_9", "icon_musicianbuff_3"
10, 10, 0, 9, 10, "hyper_penguin_buff_name_10", "hyper_penguin_buff_text_10", "icon_musicianbuff_1"
11, 8, 1, 0, 15, "hyper_penguin_buff_name_1", "hyper_penguin_buff_text_1", "icon_musicianbuff_2"
12, 8, 1, 1, 20, "hyper_penguin_buff_name_2", "hyper_penguin_buff_text_2", "icon_musicianbuff_3"
13, 8, 1, 2, 15, "hyper_penguin_buff_name_3", "hyper_penguin_buff_text_3", "icon_musicianbuff_1"
14, 8, 1, 3, 15, "hyper_penguin_buff_name_4", "hyper_penguin_buff_text_4", "icon_musicianbuff_2"
15, 8, 1, 4, 6, "hyper_penguin_buff_name_5", "hyper_penguin_buff_text_5", "icon_musicianbuff_3"
16, 8, 1, 5, 30, "hyper_penguin_buff_name_6", "hyper_penguin_buff_text_6", "icon_musicianbuff_1"
17, 8, 1, 6, 30, "hyper_penguin_buff_name_7", "hyper_penguin_buff_text_7", "icon_musicianbuff_2"
18, 8, 1, 7, 10, "hyper_penguin_buff_name_8", "hyper_penguin_buff_text_8", "icon_musicianbuff_3"
19, 8, 1, 8, 2, "hyper_penguin_buff_name_9", "hyper_penguin_buff_text_9", "icon_musicianbuff_1"
20, 8, 1, 9, 30, "hyper_penguin_buff_name_10", "hyper_penguin_buff_text_10", "icon_musicianbuff_2"
21, 5, 2, 0, 30, "hyper_penguin_buff_name_1", "hyper_penguin_buff_text_1", "icon_musicianbuff_2"
22, 5, 2, 1, 40, "hyper_penguin_buff_name_2", "hyper_penguin_buff_text_2", "icon_musicianbuff_3"
23, 5, 2, 2, 30, "hyper_penguin_buff_name_3", "hyper_penguin_buff_text_3", "icon_musicianbuff_1"
24, 5, 2, 3, 30, "hyper_penguin_buff_name_4", "hyper_penguin_buff_text_4", "icon_musicianbuff_2"
25, 5, 2, 4, 10, "hyper_penguin_buff_name_5", "hyper_penguin_buff_text_5", "icon_musicianbuff_3"
26, 5, 2, 5, 50, "hyper_penguin_buff_name_6", "hyper_penguin_buff_text_6", "icon_musicianbuff_1"
27, 5, 2, 6, 50, "hyper_penguin_buff_name_7", "hyper_penguin_buff_text_7", "icon_musicianbuff_2"
28, 5, 2, 7, 30, "hyper_penguin_buff_name_8", "hyper_penguin_buff_text_8", "icon_musicianbuff_3"
29, 5, 2, 8, 4, "hyper_penguin_buff_name_9", "hyper_penguin_buff_text_9", "icon_musicianbuff_1"
30, 5, 2, 9, 50, "hyper_penguin_buff_name_10", "hyper_penguin_buff_text_10", "icon_musicianbuff_2"
31, 5, 2, 10, 100, "hyper_penguin_buff_name_11", "hyper_penguin_buff_text_11", "icon_musicianbuff_3"
