int, int, int, Table.EWaveEvent, string[]
Id, Wave, WaveGroup, WaveEventType, Paramters
1, 10, 306, "Debuff", "CoinGainReduce | 15"
2, 20, 306, "Debuff", "AttackSpeedReduce | 20"
3, 30, 306, "Debuff", "DamageReduce | 15"
4, 40, 306, "Debuff", "CoinGainReduce | 25"
5, 50, 306, "Debuff", "SpRecoveryReduce | 20"
6, 60, 306, "Debuff", "SkillCooltimeIncrease | 20"
7, 70, 306, "Debuff", "CoinGainReduce | 25"
8, 80, 306, "Debuff", "AttackSpeedReduce | 25"
9, 90, 306, "Debuff", "DamageReduce | 25"
10, 100, 306, "Debuff", "CoinGainReduce | 15"
11, 110, 306, "Debuff", "SpRecoveryReduce | 30"
12, 120, 306, "Debuff", "SkillCooltimeIncrease | 30"
13, 130, 306, "Debuff", "DamageReduce | 30"
14, 140, 306, "Debuff", "CoinGainReduce | 10"
15, 150, 306, "Debuff", "AttackSpeedReduce | 25"
16, 160, 306, "Debuff", "CoinGainReduce | 10"
17, 170, 306, "Debuff", "SpRecoveryReduce | 40"
18, 180, 306, "Debuff", "SkillCooltimeIncrease | 40"
19, 190, 306, "Debuff", "DamageReduce | 25"
20, 200, 306, "Debuff", "AttackSpeedReduce | 20"
