int, string, EModeType, bool, int, bool, bool, bool, bool, System.DateTime, System.DateTime, int, EUnlockPresetType, EItemType, int, int, FP, FP, FP, FP, FP, FP, FP, FP, FP, FP, bool, bool, bool, bool, bool, bool, bool, bool, bool, bool, bool, int, FP, FP, int, int, string, string, int, bool, float, float, int, bool, bool, bool, bool, bool, bool, bool, bool, bool, ETargetingType, ENoticeShowType, ENoticeShowType, bool, float, FP, int, FP, string
Id, Name, ModeType, IsHide, Index, UseSchedule, IsShowDDay, IsHideLevel, UseSeason, StartDate, EndDate, Duration, UnlockPresets, ItemType, QuickNeedAmount, TeamNeedAmount, MoveSpeedResistance, PrevStunResistance, StunResistance, PercentDamageResistance, PointCapacity, PointReduce, StartPoint, SpawnCost, IncreaseSpawnCost, UnitRangeRatio, IsSpawnFixed, IsTeamPath, IsMultiPath, EnableChallengeGameover, EnableDungeon, IsShowLife, EnableLifeMode, EnableBuffCard, EnableUserQuest, ExclusiveMode, GivePassPoint, DeadCount, DungeonTime, DungeonAlertTime, PlayerUnitLevel, RelicLevel, MapResourceName, LobbyResourceName, RankingIndex, IsCoop, CameraZoomLimit, CameraY, FpsLimit, UseFlip, UseBest, UseFastReplay, UseSpeedUp, IsDisableReplay, IsPauseAvailable, DisableBossWarning, UseWaveSystem, IsMapChanged, TargetingType, MythShowType, LottoShowType, IsHorizontalMythButton, MythSpawnYAnchor, GameOverDuration, StaminaMultiple, GameSpeed, BGMName
1, "mode_1", "Main", "FALSE", 0, "FALSE", "FALSE", "FALSE", "FALSE", "", "", "", "", "Stamina", 5, 5, 0, "", 0, 0, 0, 0, 100, 20, 2, 1, "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "TRUE", 100, 0, 0, 0, 0, "MapObject_1", "LobbyMap_1", 0, "TRUE", 9, "-1.2", 30, "TRUE", "TRUE", "TRUE", "TRUE", "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "Nearest", "All", "All", "FALSE", "", "", 3, "1.5", "bgm_luckydefense_ingame_default"
2, "mode_2", "Main", "FALSE", 1, "FALSE", "FALSE", "FALSE", "FALSE", "", "", "", "FastClear_Normal_1", "Stamina", 5, 5, 50, "", 50, 30, 0, 0, 100, 20, 2, 1, "FALSE", "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "TRUE", 100, 960, 60, 0, 0, "MapObject_2", "LobbyMap_2", 1, "TRUE", 9, "-1.2", 30, "TRUE", "TRUE", "TRUE", "TRUE", "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "Nearest", "All", "All", "FALSE", "", "", 3, "1.5", "bgm_luckydefense_ingame_hard"
3, "mode_3", "Main", "FALSE", 2, "FALSE", "FALSE", "FALSE", "FALSE", "", "", "", "FastClear_Hard_1", "Stamina", 5, 5, 50, "", 50, 70, 0, 0, 100, 20, 2, 1, "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "TRUE", 100, 0, 0, 0, 0, "MapObject_3", "LobbyMap_3", 2, "TRUE", 9, "-1.2", 30, "TRUE", "TRUE", "TRUE", "TRUE", "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "Nearest", "All", "All", "FALSE", "", "", 3, "1.5", "bgm_luckydefense_ingame_hell"
4, "mode_4", "Main", "FALSE", 3, "FALSE", "FALSE", "FALSE", "FALSE", "", "", "", "FastClear_Hell_1", "Stamina", 5, 5, 55, "", 55, 80, 0, 0, 100, 20, 2, 1, "FALSE", "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "TRUE", 100, 900, 60, 0, 0, "MapObject_4", "LobbyMap_4", 3, "TRUE", 9, "-1.2", 30, "TRUE", "TRUE", "TRUE", "TRUE", "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "Nearest", "All", "All", "FALSE", "", "", 3, "1.5", "bgm_luckydefense_ingame_god"
5, "mode_5", "Main", "FALSE", 4, "FALSE", "FALSE", "FALSE", "FALSE", "", "", "", "FastClear_God_1", "Stamina", 5, 5, 55, "", 55, 80, 10000, 0, 100, 20, 2, 1, "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "TRUE", "TRUE", "FALSE", "TRUE", 100, 0, 0, 0, 0, "MapObject_5", "LobbyMap_5", 4, "TRUE", 9, "-1.2", 30, "TRUE", "TRUE", "TRUE", "TRUE", "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "Nearest", "All", "All", "FALSE", "", "", 3, "1.5", "bgm_luckydefense_ingame_primeval"
90, "mode_90", "Main", "TRUE", 90, "FALSE", "FALSE", "TRUE", "FALSE", "", "", "", "", "Stamina", 5, 0, 0, "", 0, 0, 0, 0, 100, 20, 2, 1, "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", 100, 0, 0, 0, 0, "MapObject_90", "LobbyMap_90", 90, "TRUE", 9, "-1.2", 30, "TRUE", "TRUE", "TRUE", "TRUE", "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "Nearest", "All", "All", "FALSE", "", "", 3, "1.5", "bgm_luckydefense_ingame_default"
91, "mode_91", "Main", "TRUE", 91, "FALSE", "FALSE", "TRUE", "FALSE", "", "", "", "FastClear_Easy_1", "Stamina", 5, 0, 0, "", 0, 0, 0, 0, 100, 20, 2, 1, "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", 100, 0, 0, 0, 0, "MapObject_91", "LobbyMap_91", 91, "TRUE", 9, "-1.2", 30, "TRUE", "TRUE", "TRUE", "TRUE", "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "Nearest", "All", "All", "FALSE", "", "", 3, "1.5", "bgm_luckydefense_ingame_default"
101, "gamemode_101_title", "Arcade", "FALSE", 4, "TRUE", "FALSE", "FALSE", "FALSE", "2025-01-05 0:00:00", "2025-02-04 0:00:00", 2592000, "ModeClear_Normal_1", "Stamina", 5, 0, 0, "", 0, 0, 0, 0, 100, 20, 2, 1, "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "TRUE", 50, 0, 0, 6, 0, "MapObject_101", "", 1, "FALSE", 9, "-1.2", 30, "TRUE", "TRUE", "FALSE", "TRUE", "TRUE", "FALSE", "FALSE", "TRUE", "FALSE", "Nearest", "All", "All", "FALSE", "", 12000, 1, "1.5", "bgm_luckydefense_ingame_event"
102, "gamemode_102_title", "Arcade", "TRUE", "", "TRUE", "FALSE", "FALSE", "FALSE", "2025-01-05 0:00:00", "2025-02-04 0:00:00", 2592000, "ModeClear_Normal_1", "Stamina", 5, 0, 0, "", 0, 0, 0, 0, 100, 20, 2, 1, "FALSE", "FALSE", "FALSE", "TRUE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "TRUE", 9999, 0, 0, 0, 0, "MapObject_102", "", "", "TRUE", "9.65", "-1.2", 30, "FALSE", "TRUE", "TRUE", "TRUE", "FALSE", "FALSE", "FALSE", "FALSE", "FALSE", "Nearest", "None", "None", "FALSE", "", "", 1, "1.5", "bgm_luckydef_ingame_event_bomb"
