int, int[], int[], bool, bool, bool
GroupId, MonsterPoolIds, Probabilities, IsBlind, IsExcludeDuplicateSpawn, IsSingleSpawnAtCenter
1, "10202 | 10203 | 10204 | 10205 | 10207 | 10208 | 10209 | 10210 | 10211 | 10212", "10 | 5 | 3 | 10 | 5 | 10 | 3 | 10 | 5 | 10", "FALSE", "FALSE", "FALSE"
2, "10202 | 10203 | 10204 | 10205 | 10207 | 10208 | 10209 | 10210 | 10211 | 10212", "10 | 5 | 3 | 10 | 5 | 10 | 3 | 10 | 5 | 10", "FALSE", "FALSE", "FALSE"
3, "10202 | 10203 | 10204 | 10205 | 10207 | 10208 | 10209 | 10210 | 10211 | 10212", "10 | 5 | 3 | 10 | 5 | 10 | 3 | 10 | 5 | 10", "FALSE", "FALSE", "FALSE"
4, "10202 | 10203 | 10204 | 10205 | 10207 | 10208 | 10209 | 10210 | 10211 | 10212", "10 | 10 | 7 | 10 | 10 | 10 | 10 | 10 | 10 | 10", "FALSE", "FALSE", "FALSE"
5, "10202 | 10203 | 10204 | 10205 | 10207 | 10208 | 10209 | 10210 | 10211 | 10212", "10 | 10 | 7 | 10 | 10 | 10 | 10 | 10 | 10 | 10", "FALSE", "FALSE", "FALSE"
6, "10202 | 10203 | 10204 | 10205 | 10207 | 10208 | 10209 | 10210 | 10211 | 10212", "10 | 10 | 7 | 10 | 10 | 10 | 10 | 10 | 10 | 10", "FALSE", "FALSE", "FALSE"
7, "10202 | 10203 | 10204 | 10205 | 10207 | 10208 | 10209 | 10210 | 10211 | 10212", "10 | 10 | 7 | 10 | 10 | 10 | 10 | 10 | 10 | 10", "FALSE", "FALSE", "FALSE"
8, "10202 | 10203 | 10204 | 10205 | 10207 | 10208 | 10209 | 10210 | 10211 | 10212", "10 | 10 | 7 | 10 | 10 | 10 | 10 | 10 | 10 | 10", "FALSE", "FALSE", "FALSE"
9, "10202 | 10203 | 10204 | 10205 | 10207 | 10208 | 10209 | 10210 | 10211 | 10212", "10 | 10 | 10 | 10 | 10 | 10 | 10 | 10 | 10 | 10", "FALSE", "FALSE", "FALSE"
10, "10202 | 10203 | 10204 | 10205 | 10207 | 10208 | 10209 | 10210 | 10211 | 10212", "10 | 10 | 10 | 10 | 10 | 10 | 10 | 10 | 10 | 10", "TRUE", "FALSE", "FALSE"
21, "20202 | 20203 | 20204 | 20205 | 20207 | 20208 | 20209 | 20210 | 20211 | 20212", "10 | 10 | 7 | 10 | 10 | 10 | 10 | 10 | 10 | 10", "FALSE", "FALSE", "FALSE"
22, "20202 | 20203 | 20204 | 20205 | 20207 | 20208 | 20209 | 20210 | 20211 | 20212", "10 | 10 | 7 | 10 | 10 | 10 | 10 | 10 | 10 | 10", "FALSE", "FALSE", "FALSE"
23, "20202 | 20203 | 20204 | 20205 | 20207 | 20208 | 20209 | 20210 | 20211 | 20212", "10 | 10 | 7 | 10 | 10 | 10 | 10 | 10 | 10 | 10", "FALSE", "FALSE", "FALSE"
24, "20202 | 20203 | 20204 | 20205 | 20207 | 20208 | 20209 | 20210 | 20211 | 20212", "10 | 10 | 7 | 10 | 10 | 10 | 10 | 10 | 10 | 10", "FALSE", "FALSE", "FALSE"
25, "20202 | 20203 | 20204 | 20205 | 20207 | 20208 | 20209 | 20210 | 20211 | 20212", "10 | 10 | 7 | 10 | 10 | 10 | 10 | 10 | 10 | 10", "FALSE", "FALSE", "FALSE"
26, "20202 | 20203 | 20204 | 20205 | 20207 | 20208 | 20209 | 20210 | 20211 | 20212", "10 | 10 | 7 | 10 | 10 | 10 | 10 | 10 | 10 | 10", "FALSE", "FALSE", "FALSE"
27, "20202 | 20203 | 20204 | 20205 | 20207 | 20208 | 20209 | 20210 | 20211 | 20212", "10 | 10 | 7 | 10 | 10 | 10 | 10 | 10 | 10 | 10", "FALSE", "FALSE", "FALSE"
28, "20202 | 20203 | 20204 | 20205 | 20207 | 20208 | 20209 | 20210 | 20211 | 20212", "10 | 10 | 7 | 10 | 10 | 10 | 10 | 10 | 10 | 10", "FALSE", "FALSE", "FALSE"
29, "20202 | 20203 | 20204 | 20205 | 20207 | 20208 | 20209 | 20210 | 20211 | 20212", "10 | 10 | 7 | 10 | 10 | 10 | 10 | 10 | 10 | 10", "FALSE", "FALSE", "FALSE"
30, "20202 | 20203 | 20204 | 20205 | 20207 | 20208 | 20209 | 20210 | 20211 | 20212", "10 | 10 | 7 | 10 | 10 | 10 | 10 | 10 | 10 | 10", "TRUE", "FALSE", "FALSE"
31, "30213 | 30214 | 30215", "10 | 10 | 10", "FALSE", "TRUE", "TRUE"
32, "30202 | 30203 | 30204 | 30205 | 30207 | 30208 | 30209 | 30210 | 30211 | 30212", "10 | 10 | 7 | 10 | 10 | 10 | 10 | 10 | 10 | 10", "FALSE", "FALSE", "FALSE"
