int, int, int, bool, FP[], int, int, int, int, FP
Id, Wave, WaveGroup, SetRandomGrade, RandomGradeRatio, Slot_1, Slot_2, Slot_3, Refund, Duration
1, 10, 1, "FALSE", 0, 1, 1, 2, 2, 15
2, 20, 1, "FALSE", 0, 3, 3, 3, 2, 15
3, 30, 1, "FALSE", 0, 3, 3, 4, 3, 15
4, 40, 1, "FALSE", 0, 3, 3, 4, 3, 15
5, 50, 1, "FALSE", 0, 5, 5, 5, 5, 15
6, 10, 2, "FALSE", 0, 1, 1, 2, 2, 15
7, 20, 2, "FALSE", 0, 3, 3, 3, 2, 15
8, 30, 2, "FALSE", 0, 3, 3, 4, 3, 15
9, 40, 2, "FALSE", 0, 3, 3, 4, 3, 15
10, 50, 2, "FALSE", 0, 5, 5, 5, 5, 15
11, 10, 3, "FALSE", 0, 1, 1, 2, 2, 15
12, 20, 3, "FALSE", 0, 3, 3, 3, 2, 15
13, 30, 3, "FALSE", 0, 3, 3, 4, 3, 15
14, 40, 3, "FALSE", 0, 3, 3, 4, 3, 15
15, 50, 3, "FALSE", 0, 5, 5, 5, 5, 15
16, 10, 4, "FALSE", 0, 1, 1, 2, 2, 15
17, 20, 4, "FALSE", 0, 3, 3, 3, 2, 15
18, 30, 4, "FALSE", 0, 3, 3, 4, 3, 15
19, 40, 4, "FALSE", 0, 3, 3, 4, 3, 15
20, 50, 4, "FALSE", 0, 5, 5, 5, 5, 15
21, 10, 5, "FALSE", 0, 1, 1, 2, 2, 15
22, 20, 5, "TRUE", "60 | 0 | 40 | 0 | 0 | 0", 6, 6, 6, 2, 60
23, 30, 5, "FALSE", 0, 3, 3, 4, 3, 15
24, 40, 5, "TRUE", "40 | 0 | 40 | 20 | 0 | 0", 6, 6, 6, 2, 60
25, 50, 5, "FALSE", 0, 5, 5, 5, 5, 15
26, 60, 5, "TRUE", "40 | 0 | 40 | 20 | 0 | 0", 6, 6, 6, 2, 60
27, 5, 502, "TRUE", "60 | 0 | 40 | 0 | 0 | 0", 7, 7, 7, 2, 60
28, 10, 502, "TRUE", "50 | 0 | 40 | 10 | 0 | 0", 7, 7, 7, 2, 60
29, 15, 502, "TRUE", "40 | 0 | 40 | 20 | 0 | 0", 7, 7, 7, 2, 60
30, 20, 502, "TRUE", "40 | 0 | 30 | 30 | 0 | 0", 7, 7, 7, 2, 60
31, 25, 502, "TRUE", "40 | 0 | 30 | 30 | 0 | 0", 7, 7, 7, 2, 60
32, 30, 502, "TRUE", "40 | 0 | 30 | 30 | 0 | 0", 7, 7, 7, 2, 60
33, 10, 701, "FALSE", 0, 1, 1, 2, 2, 15
34, 20, 701, "FALSE", 0, 3, 3, 3, 2, 15
35, 30, 701, "FALSE", 0, 3, 3, 4, 3, 15
36, 40, 701, "FALSE", 0, 3, 3, 4, 3, 15
37, 10, 91, "FALSE", 0, 1, 1, 2, 2, 15
38, 20, 91, "FALSE", 0, 3, 3, 3, 2, 15
39, 30, 91, "FALSE", 0, 3, 3, 4, 3, 15
40, 40, 91, "FALSE", 0, 3, 3, 4, 3, 15
41, 50, 91, "FALSE", 0, 5, 5, 5, 5, 15
9999, 0, 0, "TRUE", "40 | 0 | 30 | 30 | 0 | 0", 7, 7, 7, 2, 60
306001, 0, 306, "TRUE", "60 | 0 | 40 | 0 | 0 | 0", 306, 306, 306, 2, 60
306002, 0, 306, "TRUE", "50 | 0 | 40 | 10 | 0 | 0", 306, 306, 306, 2, 60
306003, 0, 306, "TRUE", "40 | 0 | 30 | 30 | 0 | 0", 306, 306, 306, 2, 60
306004, 0, 306, "TRUE", "40 | 0 | 30 | 30 | 0 | 0", 306, 306, 306, 2, 60
306005, 0, 306, "TRUE", "40 | 0 | 30 | 30 | 0 | 0", 306, 306, 306, 2, 60
